header
IE0.0    -19.940       1       1 8.8742  8.1081  7.9511    56.14   56.14
OF160.0  -17.085    0.00 8.8756     0.00    0.00    0.00    0.00    0.00
OF162.0  -17.046    0.00 8.8757     0.00    0.00    0.00    0.00    0.00
OF164.0  -17.007    0.00 8.8757     0.00    0.00    0.00    0.00    0.00
OF166.0  -16.968    0.00 8.8757     0.00    0.00    0.00    0.00    0.00
OF168.0  -16.929    0.00 8.8757     0.00    0.00    0.00    0.00    0.00
OF170.0  -16.890    0.00 8.8758     0.00    0.00    0.00    0.00    0.00
OF172.0  -16.851    0.00 8.8758     0.00    0.00    0.00    0.00    0.00
OF174.0  -16.811    0.00 8.8758     0.00    0.00    0.00    0.00    0.00
OF176.0  -16.772    0.00 8.8758     0.00    0.00    0.00    0.00    0.00
OF178.0  -16.733    0.00 8.8758     0.00    0.00    0.00    0.00    0.00
OF180.0  -16.694    0.00 8.8759     0.00    0.00    0.00    0.00    0.00
OF182.0  -16.655    0.00 8.8759     0.00    0.00    0.00    0.00    0.00
OF184.0  -16.616    0.00 8.8759     0.00    0.00    0.00    0.00    0.00
OF186.0  -16.577    0.00 8.8759     0.00    0.00    0.00    0.00    0.00
OF188.0  -16.537    0.00 8.8759     0.00    0.00    0.00    0.00    0.00
OF190.0  -16.498    0.00 8.876      0.00    0.00    0.00    0.00    0.00
OF192.0  -16.459    0.00 8.876      0.00    0.00    0.00    0.00    0.00
OF194.0  -16.420    0.00 8.876      0.00    0.00    0.00    0.00    0.00
OF196.0  -16.381    0.00 8.876      0.00    0.00    0.00    0.00    0.00
OF198.0  -16.342    0.00 8.876      0.00    0.00    0.00    0.00    0.00
OF200.0  -16.303    0.00 8.8761     0.00    0.00    0.00    0.00    0.00
OF202.0  -16.264    0.00 8.8761     0.00    0.00    0.00    0.00    0.00
OF204.0  -16.224    0.00 8.8761     0.00    0.00    0.00    0.00    0.00
OF206.0  -16.185    0.00 8.8761     0.00    0.00    0.00    0.00    0.00
OF208.0  -16.146    0.00 8.8761     0.00    0.00    0.00    0.00    0.00
OF210.0  -16.107    0.00 8.8762     0.00    0.00    0.00    0.00    0.00
OF212.0  -16.068    0.00 8.8762     0.00    0.00    0.00    0.00    0.00
OF214.0  -16.029    0.00 8.8762     0.00    0.00    0.00    0.00    0.00
OF216.0  -15.99     0.00 8.8762     0.00    0.00    0.00    0.00    0.00
OF218.0  -15.950    0.00 8.8762     0.00    0.00    0.00    0.00    0.00
OF220.0  -15.911    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF222.0  -15.872    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF224.0  -15.833    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF226.0  -15.794    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF228.0  -15.755    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF230.0  -15.716    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF232.0  -15.676    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF234.0  -15.637    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF236.0  -15.598    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF238.0  -15.559    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF240.0  -15.520    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF242.0  -15.481    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF244.0  -15.442    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF246.0  -15.402    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF248.0  -15.363    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF250.0  -15.324    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF252.0  -15.285    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF254.0  -15.246    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF256.0  -15.207    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF258.0  -15.168    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF260.0  -15.129    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF262.0  -15.085    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF264.0  -15.039    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF266.0  -14.993    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF268.0  -14.947    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF270.0  -14.900    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF272.0  -14.854    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF274.0  -14.808    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF276.0  -14.762    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF278.0  -14.716    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
