header
IE0.0    -14.013       1       1 8.8944  5.9735  11.3023   56.14   56.14
OF1.0    -14.018    0.00 8.8944     0.00    0.00    0.00    0.00    0.00
OF2.0    -14.022    0.00 8.8945     0.00    0.00    0.00    0.00    0.00
OF3.0    -14.026    0.00 8.8945     0.00    0.00    0.00    0.00    0.00
OF4.0    -14.030    0.00 8.8945     0.00    0.00    0.00    0.00    0.00
OF5.0    -14.021    0.00 8.8945     0.00    0.00    0.00    0.00    0.00
OF6.0    -13.992    0.00 8.8945     0.00    0.00    0.00    0.00    0.00
OF7.0    -13.962    0.00 8.8946     0.00    0.00    0.00    0.00    0.00
OF8.0    -13.933    0.00 8.8946     0.00    0.00    0.00    0.00    0.00
OF9.0    -13.904    0.00 8.8946     0.00    0.00    0.00    0.00    0.00
OF10.0   -13.875    0.00 8.8946     0.00    0.00    0.00    0.00    0.00
OF11.0   -13.845    0.00 8.8947     0.00    0.00    0.00    0.00    0.00
OF12.0   -13.816    0.00 8.8947     0.00    0.00    0.00    0.00    0.00
OF13.0   -13.787    0.00 8.8947     0.00    0.00    0.00    0.00    0.00
OF14.0   -13.757    0.00 8.8947     0.00    0.00    0.00    0.00    0.00
OF15.0   -13.728    0.00 8.8947     0.00    0.00    0.00    0.00    0.00
OF16.0   -13.699    0.00 8.8948     0.00    0.00    0.00    0.00    0.00
OF17.0   -13.670    0.00 8.8948     0.00    0.00    0.00    0.00    0.00
OF18.0   -13.640    0.00 8.8948     0.00    0.00    0.00    0.00    0.00
OF19.0   -13.611    0.00 8.8948     0.00    0.00    0.00    0.00    0.00
OF20.0   -13.582    0.00 8.8949     0.00    0.00    0.00    0.00    0.00
OF21.0   -13.553    0.00 8.8949     0.00    0.00    0.00    0.00    0.00
OF22.0   -13.523    0.00 8.8949     0.00    0.00    0.00    0.00    0.00
OF23.0   -13.494    0.00 8.8949     0.00    0.00    0.00    0.00    0.00
OF24.0   -13.465    0.00 8.8949     0.00    0.00    0.00    0.00    0.00
OF25.0   -13.436    0.00 8.895      0.00    0.00    0.00    0.00    0.00
OF26.0   -13.406    0.00 8.895      0.00    0.00    0.00    0.00    0.00
OF27.0   -13.377    0.00 8.895      0.00    0.00    0.00    0.00    0.00
OF28.0   -13.348    0.00 8.895      0.00    0.00    0.00    0.00    0.00
OF29.0   -13.319    0.00 8.8951     0.00    0.00    0.00    0.00    0.00
OF30.0   -13.289    0.00 8.8951     0.00    0.00    0.00    0.00    0.00
OF31.0   -13.260    0.00 8.8951     0.00    0.00    0.00    0.00    0.00
OF32.0   -13.231    0.00 8.8951     0.00    0.00    0.00    0.00    0.00
OF33.0   -13.201    0.00 8.8951     0.00    0.00    0.00    0.00    0.00
OF34.0   -13.172    0.00 8.8952     0.00    0.00    0.00    0.00    0.00
OF35.0   -13.143    0.00 8.8952     0.00    0.00    0.00    0.00    0.00
OF36.0   -13.114    0.00 8.8952     0.00    0.00    0.00    0.00    0.00
OF37.0   -13.084    0.00 8.8952     0.00    0.00    0.00    0.00    0.00
OF38.0   -13.055    0.00 8.8953     0.00    0.00    0.00    0.00    0.00
OF39.0   -13.026    0.00 8.8953     0.00    0.00    0.00    0.00    0.00
OF40.0   -12.997    0.00 8.8953     0.00    0.00    0.00    0.00    0.00
OF41.0   -12.967    0.00 8.8953     0.00    0.00    0.00    0.00    0.00
OF42.0   -12.938    0.00 8.8953     0.00    0.00    0.00    0.00    0.00
OF43.0   -12.909    0.00 8.8954     0.00    0.00    0.00    0.00    0.00
OF44.0   -12.880    0.00 8.8954     0.00    0.00    0.00    0.00    0.00
OF45.0   -12.850    0.00 8.8954     0.00    0.00    0.00    0.00    0.00
OF46.0   -12.821    0.00 8.8954     0.00    0.00    0.00    0.00    0.00
OF47.0   -12.792    0.00 8.8955     0.00    0.00    0.00    0.00    0.00
OF48.0   -12.763    0.00 8.8955     0.00    0.00    0.00    0.00    0.00
OF49.0   -12.733    0.00 8.8955     0.00    0.00    0.00    0.00    0.00
OF50.0   -12.704    0.00 8.8955     0.00    0.00    0.00    0.00    0.00
OF51.0   -12.675    0.00 8.8955     0.00    0.00    0.00    0.00    0.00
OF52.0   -12.645    0.00 8.8956     0.00    0.00    0.00    0.00    0.00
OF53.0   -12.616    0.00 8.8956     0.00    0.00    0.00    0.00    0.00
OF54.0   -12.587    0.00 8.8956     0.00    0.00    0.00    0.00    0.00
OF55.0   -12.558    0.00 8.8956     0.00    0.00    0.00    0.00    0.00
OF56.0   -12.528    0.00 8.8957     0.00    0.00    0.00    0.00    0.00
OF57.0   -12.499    0.00 8.8957     0.00    0.00    0.00    0.00    0.00
OF58.0   -12.470    0.00 8.8957     0.00    0.00    0.00    0.00    0.00
