header
IE0.0    -20.327       1       1 8.9062  4.3916  4.9525    56.14   56.14
OF2.0    -20.327    0.00 8.9062     0.00    0.00    0.00    0.00    0.00
OF4.0    -20.327    0.00 8.9062     0.00    0.00    0.00    0.00    0.00
OF6.0    -20.327    0.00 8.9062     0.00    0.00    0.00    0.00    0.00
OF8.0    -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF10.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF12.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF14.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF16.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF18.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF20.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF22.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF24.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF26.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF28.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF30.0   -20.327    0.00 8.9063     0.00    0.00    0.00    0.00    0.00
OF32.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF34.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF36.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF38.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF40.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF42.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF44.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF46.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF48.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF50.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF52.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF54.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF56.0   -20.327    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF58.0   -20.175    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF60.0   -19.970    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF62.0   -19.765    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF64.0   -19.561    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF66.0   -19.356    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF68.0   -19.151    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF70.0   -18.946    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF72.0   -18.741    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF74.0   -18.536    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF76.0   -18.331    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF78.0   -18.127    0.00 8.9064     0.00    0.00    0.00    0.00    0.00
OF80.0   -17.922    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF82.0   -17.717    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF84.0   -17.512    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF86.0   -17.307    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF88.0   -17.102    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF90.0   -16.897    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF92.0   -16.692    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF94.0   -16.488    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF96.0   -16.283    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF98.0   -16.078    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF100.0  -15.873    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF102.0  -15.668    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF104.0  -15.463    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF106.0  -15.258    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF108.0  -15.053    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF110.0  -14.849    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF112.0  -14.644    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF114.0  -14.439    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF116.0  -14.234    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF118.0  -14.029    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF120.0  -13.824    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF122.0  -13.619    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF124.0  -13.415    0.00 8.9065     0.00    0.00    0.00    0.00    0.00
OF126.0  -13.211    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF128.0  -13.190    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF130.0  -13.169    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF132.0  -13.148    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF134.0  -13.127    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF136.0  -13.106    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF138.0  -13.085    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF140.0  -13.063    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF142.0  -13.042    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF144.0  -13.021    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF146.0  -13.000    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF148.0  -12.979    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF150.0  -12.958    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF152.0  -12.937    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF154.0  -12.916    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF156.0  -12.895    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF158.0  -12.874    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF160.0  -12.853    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF162.0  -12.832    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF164.0  -12.811    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF166.0  -12.790    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF168.0  -12.769    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF170.0  -12.748    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF172.0  -12.727    0.00 8.9066     0.00    0.00    0.00    0.00    0.00
OF174.0  -12.706    0.00 8.9067     0.00    0.00    0.00    0.00    0.00
OF176.0  -12.685    0.00 8.9067     0.00    0.00    0.00    0.00    0.00
OF178.0  -12.660    0.00 8.9067     0.00    0.00    0.00    0.00    0.00
OF180.0  -12.631    0.00 8.9067     0.00    0.00    0.00    0.00    0.00
