header
IE0.0    -50.257       1       1 8.8764  6.8258  10.7504   56.14   56.14
OF80.0   -38.682    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF81.0   -38.536    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF82.0   -38.390    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF83.0   -38.245    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF84.0   -38.099    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF85.0   -37.954    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF86.0   -37.808    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF87.0   -37.662    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF88.0   -37.517    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF89.0   -37.371    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF90.0   -37.290    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF91.0   -37.220    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF92.0   -37.150    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF93.0   -37.080    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF94.0   -37.010    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF95.0   -36.940    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF96.0   -36.871    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF97.0   -36.801    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF98.0   -36.731    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF99.0   -36.661    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF100.0  -36.591    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF101.0  -36.522    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF102.0  -36.452    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF103.0  -36.382    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF104.0  -36.312    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF105.0  -36.242    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF106.0  -36.172    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF107.0  -36.103    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF108.0  -36.033    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF109.0  -35.963    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF110.0  -35.893    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF111.0  -35.823    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF112.0  -35.753    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF113.0  -35.684    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF114.0  -35.614    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF115.0  -35.544    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF116.0  -35.474    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF117.0  -35.404    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF118.0  -35.335    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF119.0  -35.265    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF120.0  -35.195    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF121.0  -35.125    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF122.0  -35.055    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF123.0  -34.985    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF124.0  -34.916    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF125.0  -34.846    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF126.0  -34.776    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF127.0  -34.706    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF128.0  -34.636    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF129.0  -34.567    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF130.0  -34.497    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF131.0  -34.427    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF132.0  -34.357    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF133.0  -34.287    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF134.0  -34.217    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF135.0  -34.148    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF136.0  -34.078    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF137.0  -34.008    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF138.0  -33.938    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF139.0  -33.868    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF140.0  -33.798    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF141.0  -33.729    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF142.0  -33.659    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
