header
IE0.0    -30.457       1       1 8.7833  21.1129 14.0578   56.14   56.14
OF2.0    -30.427    0.00 8.7833     0.00    0.00    0.00    0.00    0.00
OF4.0    -30.398    0.00 8.7833     0.00    0.00    0.00    0.00    0.00
OF6.0    -30.368    0.00 8.7833     0.00    0.00    0.00    0.00    0.00
OF8.0    -30.339    0.00 8.7834     0.00    0.00    0.00    0.00    0.00
OF10.0   -30.309    0.00 8.7834     0.00    0.00    0.00    0.00    0.00
OF12.0   -30.280    0.00 8.7834     0.00    0.00    0.00    0.00    0.00
OF14.0   -30.250    0.00 8.7834     0.00    0.00    0.00    0.00    0.00
OF16.0   -30.221    0.00 8.7834     0.00    0.00    0.00    0.00    0.00
OF18.0   -30.191    0.00 8.7834     0.00    0.00    0.00    0.00    0.00
OF20.0   -30.162    0.00 8.7835     0.00    0.00    0.00    0.00    0.00
OF22.0   -30.132    0.00 8.7835     0.00    0.00    0.00    0.00    0.00
OF24.0   -30.103    0.00 8.7835     0.00    0.00    0.00    0.00    0.00
OF26.0   -30.074    0.00 8.7835     0.00    0.00    0.00    0.00    0.00
OF28.0   -30.044    0.00 8.7835     0.00    0.00    0.00    0.00    0.00
OF30.0   -30.015    0.00 8.7836     0.00    0.00    0.00    0.00    0.00
OF32.0   -29.985    0.00 8.7836     0.00    0.00    0.00    0.00    0.00
OF34.0   -29.956    0.00 8.7836     0.00    0.00    0.00    0.00    0.00
OF36.0   -29.926    0.00 8.7836     0.00    0.00    0.00    0.00    0.00
OF38.0   -29.897    0.00 8.7836     0.00    0.00    0.00    0.00    0.00
OF40.0   -29.867    0.00 8.7836     0.00    0.00    0.00    0.00    0.00
OF42.0   -29.838    0.00 8.7837     0.00    0.00    0.00    0.00    0.00
OF44.0   -29.808    0.00 8.7837     0.00    0.00    0.00    0.00    0.00
OF46.0   -29.779    0.00 8.7837     0.00    0.00    0.00    0.00    0.00
OF48.0   -29.749    0.00 8.7837     0.00    0.00    0.00    0.00    0.00
OF50.0   -29.720    0.00 8.7837     0.00    0.00    0.00    0.00    0.00
OF52.0   -29.691    0.00 8.7837     0.00    0.00    0.00    0.00    0.00
OF54.0   -29.661    0.00 8.7838     0.00    0.00    0.00    0.00    0.00
OF56.0   -29.632    0.00 8.7838     0.00    0.00    0.00    0.00    0.00
OF58.0   -29.602    0.00 8.7838     0.00    0.00    0.00    0.00    0.00
OF60.0   -29.573    0.00 8.7838     0.00    0.00    0.00    0.00    0.00
OF62.0   -29.543    0.00 8.7838     0.00    0.00    0.00    0.00    0.00
OF64.0   -29.514    0.00 8.7839     0.00    0.00    0.00    0.00    0.00
OF66.0   -29.484    0.00 8.7839     0.00    0.00    0.00    0.00    0.00
OF68.0   -29.455    0.00 8.7839     0.00    0.00    0.00    0.00    0.00
OF70.0   -29.425    0.00 8.7839     0.00    0.00    0.00    0.00    0.00
OF72.0   -29.396    0.00 8.7839     0.00    0.00    0.00    0.00    0.00
OF74.0   -29.366    0.00 8.7839     0.00    0.00    0.00    0.00    0.00
OF76.0   -29.295    0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF78.0   -29.218    0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF80.0   -29.140    0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF82.0   -29.063    0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF84.0   -28.941    0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF86.0   -28.795    0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF88.0   -28.649    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF90.0   -28.503    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF92.0   -28.357    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF94.0   -28.211    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF96.0   -28.065    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF98.0   -27.919    0.00 8.7842     0.00    0.00    0.00    0.00    0.00
OF100.0  -27.774    0.00 8.7842     0.00    0.00    0.00    0.00    0.00
OF102.0  -27.628    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF104.0  -27.482    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF106.0  -27.336    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF108.0  -27.190    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF110.0  -27.032    0.00 8.7841     0.00    0.00    0.00    0.00    0.00
OF112.0  -26.861    0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF114.0  -26.690    0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF116.0  -26.52     0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF118.0  -26.349    0.00 8.784      0.00    0.00    0.00    0.00    0.00
OF120.0  -26.178    0.00 8.7839     0.00    0.00    0.00    0.00    0.00
OF122.0  -26.007    0.00 8.7838     0.00    0.00    0.00    0.00    0.00
OF124.0  -25.836    0.00 8.7838     0.00    0.00    0.00    0.00    0.00
OF126.0  -25.666    0.00 8.7837     0.00    0.00    0.00    0.00    0.00
OF128.0  -25.495    0.00 8.7836     0.00    0.00    0.00    0.00    0.00
