header
IE0.0    -18.610       1       1 9.023   5.6271  5.0206    56.14   56.14
OF81.0   -15.863    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF82.0   -15.829    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF83.0   -15.795    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF84.0   -15.761    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF85.0   -15.727    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF86.0   -15.694    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF87.0   -15.66     0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF88.0   -15.626    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF89.0   -15.592    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF90.0   -15.558    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF91.0   -15.524    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF92.0   -15.490    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF93.0   -15.456    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF94.0   -15.422    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF95.0   -15.388    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF96.0   -15.354    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF97.0   -15.320    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF98.0   -15.287    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF99.0   -15.253    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF100.0  -15.219    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF101.0  -15.185    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF102.0  -15.151    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF103.0  -15.117    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF104.0  -15.083    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF105.0  -15.049    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF106.0  -15.015    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF107.0  -14.981    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF108.0  -14.947    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF109.0  -14.913    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF110.0  -14.88     0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF111.0  -14.846    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF112.0  -14.812    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF113.0  -14.778    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF114.0  -14.744    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF115.0  -14.710    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF116.0  -14.676    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF117.0  -14.642    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF118.0  -14.608    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF119.0  -14.574    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF120.0  -14.540    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF121.0  -14.506    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF122.0  -14.473    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF123.0  -14.439    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF124.0  -14.416    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF125.0  -14.399    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF126.0  -14.381    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF127.0  -14.364    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF128.0  -14.347    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF129.0  -14.329    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF130.0  -14.312    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF131.0  -14.295    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF132.0  -14.277    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF133.0  -14.260    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF134.0  -14.243    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF135.0  -14.225    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF136.0  -14.208    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF137.0  -14.191    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
