header
IE0.0    -34.913       1       1 8.9775  4.1063  3.481     56.14   56.14
OF80.0   -28.065    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF81.0   -27.975    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF82.0   -27.885    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF83.0   -27.795    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF84.0   -27.705    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF85.0   -27.615    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF86.0   -27.525    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF87.0   -27.435    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF88.0   -27.345    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF89.0   -27.256    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF90.0   -27.166    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF91.0   -27.076    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF92.0   -26.986    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF93.0   -26.896    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF94.0   -26.806    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF95.0   -26.716    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF96.0   -26.627    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF97.0   -26.537    0.00 8.9775     0.00    0.00    0.00    0.00    0.00
OF98.0   -26.447    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF99.0   -26.357    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF100.0  -26.267    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF101.0  -26.177    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF102.0  -26.100    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF103.0  -26.027    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF104.0  -25.954    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF105.0  -25.882    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF106.0  -25.809    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF107.0  -25.736    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF108.0  -25.663    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF109.0  -25.591    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF110.0  -25.518    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF111.0  -25.445    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF112.0  -25.373    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF113.0  -25.300    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF114.0  -25.227    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF115.0  -25.154    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF116.0  -25.082    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF117.0  -25.009    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF118.0  -24.936    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF119.0  -24.864    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF120.0  -24.791    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF121.0  -24.718    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF122.0  -24.646    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF123.0  -24.573    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF124.0  -24.500    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF125.0  -24.428    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF126.0  -24.355    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF127.0  -24.282    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF128.0  -24.209    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF129.0  -24.137    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF130.0  -24.064    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF131.0  -23.991    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF132.0  -23.919    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF133.0  -23.846    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF134.0  -23.773    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF135.0  -23.700    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF136.0  -23.628    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF137.0  -23.555    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
