header
IE0.0    -67.677       1       1 8.874   2.321   2.202     56.14   56.14
OF80.0   -61.828    0.00 8.8746     0.00    0.00    0.00    0.00    0.00
OF81.0   -61.693    0.00 8.8746     0.00    0.00    0.00    0.00    0.00
OF82.0   -61.558    0.00 8.8746     0.00    0.00    0.00    0.00    0.00
OF83.0   -61.423    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF84.0   -61.288    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF85.0   -61.153    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF86.0   -61.018    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF87.0   -60.883    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF88.0   -60.747    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF89.0   -60.612    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF90.0   -60.477    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF91.0   -60.342    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF92.0   -60.207    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF93.0   -60.072    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF94.0   -59.937    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF95.0   -59.801    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF96.0   -59.666    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF97.0   -59.531    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF98.0   -59.396    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF99.0   -59.261    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF100.0  -59.126    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF101.0  -58.991    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF102.0  -58.855    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF103.0  -58.720    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF104.0  -58.585    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF105.0  -58.450    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF106.0  -58.315    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF107.0  -58.180    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF108.0  -58.045    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
