header
IE0.0    -14.532       1       1 8.9177  2.3138  2.3       56.14   56.14
OF80.0   -14.165    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF81.0   -14.160    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF82.0   -14.156    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF83.0   -14.151    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF84.0   -14.147    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF85.0   -14.142    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF86.0   -14.137    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF87.0   -14.133    0.00 8.9178     0.00    0.00    0.00    0.00    0.00
OF88.0   -14.128    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF89.0   -14.124    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF90.0   -14.119    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF91.0   -14.114    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF92.0   -14.110    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF93.0   -14.105    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF94.0   -14.101    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF95.0   -14.096    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF96.0   -14.091    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF97.0   -14.087    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF98.0   -14.082    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF99.0   -14.078    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF100.0  -14.073    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF101.0  -14.069    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF102.0  -14.064    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF103.0  -14.059    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF104.0  -14.055    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF105.0  -14.050    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF106.0  -14.046    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF107.0  -14.041    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF108.0  -14.036    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF109.0  -14.032    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF110.0  -14.027    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF111.0  -14.023    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF112.0  -14.018    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF113.0  -14.013    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF114.0  -14.009    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF115.0  -14.004    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF116.0  -14.000    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF117.0  -13.995    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF118.0  -13.991    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF119.0  -13.986    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF120.0  -13.981    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF121.0  -13.977    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF122.0  -13.972    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF123.0  -13.968    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF124.0  -13.963    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF125.0  -13.958    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF126.0  -13.954    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF127.0  -13.949    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF128.0  -13.945    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF129.0  -13.940    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF130.0  -13.935    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF131.0  -13.932    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF132.0  -13.930    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF133.0  -13.928    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF134.0  -13.926    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF135.0  -13.924    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF136.0  -13.922    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF137.0  -13.920    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF138.0  -13.918    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF139.0  -13.916    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF140.0  -13.914    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF141.0  -13.912    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF142.0  -13.910    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF143.0  -13.908    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF144.0  -13.906    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF145.0  -13.905    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF146.0  -13.903    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF147.0  -13.901    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF148.0  -13.899    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF149.0  -13.897    0.00 8.918      0.00    0.00    0.00    0.00    0.00
