header
IE0.0    -24.08        1       1 8.804   8.9777  10.4458   56.14   56.14
OF162.0  -4.836     0.00 8.8039     0.00    0.00    0.00    0.00    0.00
OF164.0  -4.8744    0.00 8.8038     0.00    0.00    0.00    0.00    0.00
OF166.0  -4.9128    0.00 8.8038     0.00    0.00    0.00    0.00    0.00
OF168.0  -4.9308    0.00 8.8038     0.00    0.00    0.00    0.00    0.00
OF170.0  -4.94      0.00 8.8038     0.00    0.00    0.00    0.00    0.00
OF172.0  -4.9493    0.00 8.8038     0.00    0.00    0.00    0.00    0.00
OF174.0  -4.9585    0.00 8.8038     0.00    0.00    0.00    0.00    0.00
OF176.0  -4.9678    0.00 8.8038     0.00    0.00    0.00    0.00    0.00
OF178.0  -4.9761    0.00 8.8038     0.00    0.00    0.00    0.00    0.00
OF180.0  -5.0035    0.00 8.8038     0.00    0.00    0.00    0.00    0.00
OF182.0  -5.0309    0.00 8.8037     0.00    0.00    0.00    0.00    0.00
OF184.0  -5.0583    0.00 8.8037     0.00    0.00    0.00    0.00    0.00
OF186.0  -5.0857    0.00 8.8037     0.00    0.00    0.00    0.00    0.00
OF188.0  -5.1131    0.00 8.8037     0.00    0.00    0.00    0.00    0.00
OF190.0  -5.131     0.00 8.8037     0.00    0.00    0.00    0.00    0.00
OF192.0  -5.1414    0.00 8.8037     0.00    0.00    0.00    0.00    0.00
OF194.0  -5.0984    0.00 8.8036     0.00    0.00    0.00    0.00    0.00
OF196.0  -5.0628    0.00 8.8036     0.00    0.00    0.00    0.00    0.00
OF198.0  -5.0272    0.00 8.8036     0.00    0.00    0.00    0.00    0.00
OF200.0  -4.9791    0.00 8.8036     0.00    0.00    0.00    0.00    0.00
OF202.0  -4.92      0.00 8.8036     0.00    0.00    0.00    0.00    0.00
OF204.0  -4.8609    0.00 8.8036     0.00    0.00    0.00    0.00    0.00
OF206.0  -4.8018    0.00 8.8035     0.00    0.00    0.00    0.00    0.00
OF208.0  -4.8877    0.00 8.8035     0.00    0.00    0.00    0.00    0.00
OF210.0  -4.9884    0.00 8.8035     0.00    0.00    0.00    0.00    0.00
OF212.0  -4.9179    0.00 8.8035     0.00    0.00    0.00    0.00    0.00
OF214.0  -4.7687    0.00 8.8035     0.00    0.00    0.00    0.00    0.00
OF216.0  -4.6195    0.00 8.8035     0.00    0.00    0.00    0.00    0.00
OF218.0  -4.5322    0.00 8.8035     0.00    0.00    0.00    0.00    0.00
OF220.0  -4.6454    0.00 8.8034     0.00    0.00    0.00    0.00    0.00
OF222.0  -4.7771    0.00 8.8034     0.00    0.00    0.00    0.00    0.00
OF224.0  -4.834     0.00 8.8034     0.00    0.00    0.00    0.00    0.00
OF226.0  -5.1093    0.00 8.8034     0.00    0.00    0.00    0.00    0.00
OF228.0  -5.2584    0.00 8.8034     0.00    0.00    0.00    0.00    0.00
OF230.0  -5.2479    0.00 8.8034     0.00    0.00    0.00    0.00    0.00
OF232.0  -5.1751    0.00 8.8033     0.00    0.00    0.00    0.00    0.00
OF234.0  -5.1022    0.00 8.8033     0.00    0.00    0.00    0.00    0.00
OF236.0  -5.0293    0.00 8.8033     0.00    0.00    0.00    0.00    0.00
OF238.0  -5.0207    0.00 8.8033     0.00    0.00    0.00    0.00    0.00
OF240.0  -5.0598    0.00 8.8033     0.00    0.00    0.00    0.00    0.00
OF242.0  -5.0676    0.00 8.8033     0.00    0.00    0.00    0.00    0.00
OF244.0  -5.0895    0.00 8.8033     0.00    0.00    0.00    0.00    0.00
OF246.0  -5.0887    0.00 8.8032     0.00    0.00    0.00    0.00    0.00
OF248.0  -5.0818    0.00 8.8032     0.00    0.00    0.00    0.00    0.00
OF250.0  -5.0748    0.00 8.8032     0.00    0.00    0.00    0.00    0.00
OF252.0  -4.9679    0.00 8.8032     0.00    0.00    0.00    0.00    0.00
OF254.0  -4.8624    0.00 8.8032     0.00    0.00    0.00    0.00    0.00
