header
IE0.0    -23.920       1       1 8.8313  3.4083  3.4768    56.14   56.14
OF79.0   -5.9789    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF80.0   -5.7734    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF81.0   -5.568     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF82.0   -5.3625    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF83.0   -5.1571    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF84.0   -4.9516    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF85.0   -4.7462    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF86.0   -4.5407    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF87.0   -4.3348    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF88.0   -4.1293    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF89.0   -3.9239    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF90.0   -3.7184    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF91.0   -3.513     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF92.0   -3.3075    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF93.0   -3.1021    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF94.0   -2.8966    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF95.0   -2.6907    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF96.0   -2.4852    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF97.0   -2.2798    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF98.0   -2.0743    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF99.0   -1.8691    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF100.0  -1.6636    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF101.0  -1.4582    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF102.0  -1.2527    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF103.0  -1.0468    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF104.0  -0.8413    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF105.0  -0.6358    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF106.0  -0.4304    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF107.0  -0.2249    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
OF108.0  -0.0195    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF109.0  0.18595    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF110.0  0.3914     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF111.0  0.59737    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF112.0  0.80282    0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF113.0  1.0083     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF114.0  1.2137     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF115.0  1.4192     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF116.0  1.6246     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF117.0  1.8301     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF118.0  2.036      0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF119.0  2.2415     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF120.0  2.4469     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF121.0  2.6524     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF122.0  2.8578     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF156.5  4.3504     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF165.0  5.0689     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
IF165.9  8.8299     0.00 8.8299     0.00    0.00    0.00    0.00    0.00
PS START(420571.5907,4844879.2893)
PS END(420679.5905,4844850.7386)
ET
 
 
 
