header
IE0.0    -10.758       1       1 8.811   7.5088  13.4742   56.14   56.14
OF80.0   -12.295    0.00 8.8122     0.00    0.00    0.00    0.00    0.00
OF81.0   -12.314    0.00 8.8122     0.00    0.00    0.00    0.00    0.00
OF82.0   -12.327    0.00 8.8122     0.00    0.00    0.00    0.00    0.00
OF83.0   -12.331    0.00 8.8122     0.00    0.00    0.00    0.00    0.00
OF84.0   -12.335    0.00 8.8123     0.00    0.00    0.00    0.00    0.00
OF85.0   -12.339    0.00 8.8123     0.00    0.00    0.00    0.00    0.00
OF86.0   -12.343    0.00 8.8123     0.00    0.00    0.00    0.00    0.00
OF87.0   -12.347    0.00 8.8123     0.00    0.00    0.00    0.00    0.00
OF88.0   -12.352    0.00 8.8123     0.00    0.00    0.00    0.00    0.00
OF89.0   -12.356    0.00 8.8123     0.00    0.00    0.00    0.00    0.00
OF90.0   -12.360    0.00 8.8123     0.00    0.00    0.00    0.00    0.00
OF91.0   -12.364    0.00 8.8124     0.00    0.00    0.00    0.00    0.00
OF92.0   -12.368    0.00 8.8124     0.00    0.00    0.00    0.00    0.00
OF93.0   -12.372    0.00 8.8124     0.00    0.00    0.00    0.00    0.00
OF94.0   -12.376    0.00 8.8124     0.00    0.00    0.00    0.00    0.00
OF95.0   -12.380    0.00 8.8124     0.00    0.00    0.00    0.00    0.00
OF96.0   -12.384    0.00 8.8124     0.00    0.00    0.00    0.00    0.00
OF97.0   -12.388    0.00 8.8125     0.00    0.00    0.00    0.00    0.00
OF98.0   -12.392    0.00 8.8125     0.00    0.00    0.00    0.00    0.00
OF99.0   -12.396    0.00 8.8125     0.00    0.00    0.00    0.00    0.00
OF100.0  -12.400    0.00 8.8125     0.00    0.00    0.00    0.00    0.00
OF101.0  -12.405    0.00 8.8125     0.00    0.00    0.00    0.00    0.00
OF102.0  -12.409    0.00 8.8125     0.00    0.00    0.00    0.00    0.00
OF103.0  -12.413    0.00 8.8125     0.00    0.00    0.00    0.00    0.00
OF104.0  -12.417    0.00 8.8126     0.00    0.00    0.00    0.00    0.00
OF105.0  -12.421    0.00 8.8126     0.00    0.00    0.00    0.00    0.00
OF106.0  -12.425    0.00 8.8126     0.00    0.00    0.00    0.00    0.00
OF107.0  -12.429    0.00 8.8126     0.00    0.00    0.00    0.00    0.00
OF108.0  -12.433    0.00 8.8126     0.00    0.00    0.00    0.00    0.00
OF109.0  -12.437    0.00 8.8126     0.00    0.00    0.00    0.00    0.00
OF110.0  -12.441    0.00 8.8126     0.00    0.00    0.00    0.00    0.00
OF111.0  -12.445    0.00 8.8127     0.00    0.00    0.00    0.00    0.00
OF112.0  -12.449    0.00 8.8127     0.00    0.00    0.00    0.00    0.00
OF113.0  -12.453    0.00 8.8127     0.00    0.00    0.00    0.00    0.00
OF114.0  -12.458    0.00 8.8127     0.00    0.00    0.00    0.00    0.00
OF115.0  -12.462    0.00 8.8127     0.00    0.00    0.00    0.00    0.00
OF116.0  -12.466    0.00 8.8127     0.00    0.00    0.00    0.00    0.00
OF117.0  -12.470    0.00 8.8128     0.00    0.00    0.00    0.00    0.00
OF118.0  -12.474    0.00 8.8128     0.00    0.00    0.00    0.00    0.00
OF119.0  -12.478    0.00 8.8128     0.00    0.00    0.00    0.00    0.00
OF120.0  -12.482    0.00 8.8128     0.00    0.00    0.00    0.00    0.00
OF121.0  -12.486    0.00 8.8128     0.00    0.00    0.00    0.00    0.00
OF122.0  -12.490    0.00 8.8128     0.00    0.00    0.00    0.00    0.00
OF123.0  -12.494    0.00 8.8128     0.00    0.00    0.00    0.00    0.00
OF124.0  -12.498    0.00 8.8129     0.00    0.00    0.00    0.00    0.00
OF125.0  -12.502    0.00 8.8129     0.00    0.00    0.00    0.00    0.00
OF126.0  -12.506    0.00 8.8129     0.00    0.00    0.00    0.00    0.00
OF127.0  -12.511    0.00 8.8129     0.00    0.00    0.00    0.00    0.00
OF128.0  -12.514    0.00 8.8129     0.00    0.00    0.00    0.00    0.00
OF129.0  -12.519    0.00 8.8129     0.00    0.00    0.00    0.00    0.00
OF130.0  -12.523    0.00 8.8129     0.00    0.00    0.00    0.00    0.00
OF131.0  -12.527    0.00 8.813      0.00    0.00    0.00    0.00    0.00
OF132.0  -12.531    0.00 8.813      0.00    0.00    0.00    0.00    0.00
OF133.0  -12.535    0.00 8.813      0.00    0.00    0.00    0.00    0.00
OF134.0  -12.539    0.00 8.813      0.00    0.00    0.00    0.00    0.00
OF135.0  -12.543    0.00 8.813      0.00    0.00    0.00    0.00    0.00
OF136.0  -12.547    0.00 8.813      0.00    0.00    0.00    0.00    0.00
OF137.0  -12.551    0.00 8.8131     0.00    0.00    0.00    0.00    0.00
OF138.0  -12.555    0.00 8.8131     0.00    0.00    0.00    0.00    0.00
OF139.0  -12.559    0.00 8.8131     0.00    0.00    0.00    0.00    0.00
