header
OF725.0  -18.154    0.00 8.8559     0.00    0.00    0.00    0.00    0.00
OF730.0  -18.062    0.00 8.8559     0.00    0.00    0.00    0.00    0.00
OF731.0  -18.044    0.00 8.8559     0.00    0.00    0.00    0.00    0.00
OF736.0  -17.953    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF737.0  -17.934    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF742.0  -17.843    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF743.0  -17.825    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF748.0  -17.734    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF749.0  -17.715    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF754.0  -17.624    0.00 8.8562     0.00    0.00    0.00    0.00    0.00
OF755.0  -17.606    0.00 8.8562     0.00    0.00    0.00    0.00    0.00
OF758.0  -17.551    0.00 8.8562     0.00    0.00    0.00    0.00    0.00
OF814.0  -17.702    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF815.0  -17.705    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF820.0  -17.641    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF821.0  -17.627    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF826.0  -17.557    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF827.0  -17.543    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF832.0  -17.473    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF833.0  -17.459    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF838.0  -17.388    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF839.0  -17.374    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF844.0  -17.304    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF845.0  -17.290    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF850.0  -17.22     0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF851.0  -17.206    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF856.0  -17.135    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF857.0  -17.121    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF862.0  -17.051    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF863.0  -17.037    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF866.0  -16.995    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF868.0  -16.967    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF873.0  -16.908    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF874.0  -16.897    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF879.0  -16.842    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF880.0  -16.831    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF885.0  -16.775    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF886.0  -16.764    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF891.0  -16.709    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF892.0  -16.698    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF897.0  -16.642    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF898.0  -16.631    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF903.0  -16.576    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF904.0  -16.565    0.00 8.8561     0.00    0.00    0.00    0.00    0.00
OF909.0  -16.51     0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF910.0  -16.498    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF915.0  -16.443    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF916.0  -16.432    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF921.0  -16.377    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF922.0  -16.366    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF927.0  -16.310    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF928.0  -16.299    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF933.0  -16.244    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF934.0  -16.233    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF939.0  -16.177    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF940.0  -16.166    0.00 8.856      0.00    0.00    0.00    0.00    0.00
OF947.0  -16.115    0.00 8.8559     0.00    0.00    0.00    0.00    0.00
OF948.0  -16.111    0.00 8.8559     0.00    0.00    0.00    0.00    0.00
OF953.0  -16.094    0.00 8.8559     0.00    0.00    0.00    0.00    0.00
OF954.0  -16.090    0.00 8.8558     0.00    0.00    0.00    0.00    0.00
OF959.0  -16.073    0.00 8.8558     0.00    0.00    0.00    0.00    0.00
OF960.0  -16.069    0.00 8.8557     0.00    0.00    0.00    0.00    0.00
OF965.0  -16.052    0.00 8.8557     0.00    0.00    0.00    0.00    0.00
OF966.0  -16.048    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF971.0  -16.030    0.00 8.8556     0.00    0.00    0.00    0.00    0.00
OF972.0  -16.027    0.00 8.8555     0.00    0.00    0.00    0.00    0.00
OF977.0  -16.009    0.00 8.8555     0.00    0.00    0.00    0.00    0.00
OF978.0  -16.006    0.00 8.8554     0.00    0.00    0.00    0.00    0.00
OF983.0  -15.988    0.00 8.8554     0.00    0.00    0.00    0.00    0.00
OF984.0  -15.985    0.00 8.8553     0.00    0.00    0.00    0.00    0.00
OF989.0  -15.967    0.00 8.8553     0.00    0.00    0.00    0.00    0.00
OF990.0  -15.963    0.00 8.8553     0.00    0.00    0.00    0.00    0.00
OF995.0  -15.946    0.00 8.8552     0.00    0.00    0.00    0.00    0.00
OF996.0  -15.942    0.00 8.8552     0.00    0.00    0.00    0.00    0.00
OF1001.0 -15.925    0.00 8.8551     0.00    0.00    0.00    0.00    0.00
OF1002.0 -15.921    0.00 8.8551     0.00    0.00    0.00    0.00    0.00
OF1007.0 -15.888    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1008.0 -15.879    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1013.0 -15.830    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1014.0 -15.820    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1019.0 -15.772    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1020.0 -15.762    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1025.0 -15.713    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1026.0 -15.704    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1031.0 -15.655    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1032.0 -15.645    0.00 8.855      0.00    0.00    0.00    0.00    0.00
OF1037.0 -15.597    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
