header
IE0.0    -19.593       1       1 9.0068  6.2314  5         56.14   56.14
OF160.0  -16.225    0.00 9.0069     0.00    0.00    0.00    0.00    0.00
OF162.0  -16.181    0.00 9.0069     0.00    0.00    0.00    0.00    0.00
OF164.0  -16.137    0.00 9.007      0.00    0.00    0.00    0.00    0.00
OF166.0  -16.093    0.00 9.007      0.00    0.00    0.00    0.00    0.00
OF168.0  -16.048    0.00 9.007      0.00    0.00    0.00    0.00    0.00
OF170.0  -16.004    0.00 9.0071     0.00    0.00    0.00    0.00    0.00
OF172.0  -15.96     0.00 9.0071     0.00    0.00    0.00    0.00    0.00
OF174.0  -15.915    0.00 9.0071     0.00    0.00    0.00    0.00    0.00
OF176.0  -15.870    0.00 9.0072     0.00    0.00    0.00    0.00    0.00
OF178.0  -15.823    0.00 9.0072     0.00    0.00    0.00    0.00    0.00
OF180.0  -15.775    0.00 9.0072     0.00    0.00    0.00    0.00    0.00
OF182.0  -15.727    0.00 9.0073     0.00    0.00    0.00    0.00    0.00
OF184.0  -15.680    0.00 9.0073     0.00    0.00    0.00    0.00    0.00
OF186.0  -15.632    0.00 9.0073     0.00    0.00    0.00    0.00    0.00
OF188.0  -15.585    0.00 9.0074     0.00    0.00    0.00    0.00    0.00
OF190.0  -15.537    0.00 9.0074     0.00    0.00    0.00    0.00    0.00
OF192.0  -15.49     0.00 9.0074     0.00    0.00    0.00    0.00    0.00
OF194.0  -15.442    0.00 9.0075     0.00    0.00    0.00    0.00    0.00
OF196.0  -15.394    0.00 9.0075     0.00    0.00    0.00    0.00    0.00
OF198.0  -15.347    0.00 9.0075     0.00    0.00    0.00    0.00    0.00
OF200.0  -15.299    0.00 9.0076     0.00    0.00    0.00    0.00    0.00
OF202.0  -15.252    0.00 9.0076     0.00    0.00    0.00    0.00    0.00
OF204.0  -15.204    0.00 9.0076     0.00    0.00    0.00    0.00    0.00
OF206.0  -15.156    0.00 9.0076     0.00    0.00    0.00    0.00    0.00
OF208.0  -15.109    0.00 9.0077     0.00    0.00    0.00    0.00    0.00
OF210.0  -15.061    0.00 9.0077     0.00    0.00    0.00    0.00    0.00
OF212.0  -15.014    0.00 9.0077     0.00    0.00    0.00    0.00    0.00
OF214.0  -14.966    0.00 9.0078     0.00    0.00    0.00    0.00    0.00
OF216.0  -14.919    0.00 9.0078     0.00    0.00    0.00    0.00    0.00
OF218.0  -14.871    0.00 9.0078     0.00    0.00    0.00    0.00    0.00
OF220.0  -14.823    0.00 9.0079     0.00    0.00    0.00    0.00    0.00
OF222.0  -14.776    0.00 9.0079     0.00    0.00    0.00    0.00    0.00
OF224.0  -14.728    0.00 9.0079     0.00    0.00    0.00    0.00    0.00
OF226.0  -14.681    0.00 9.008      0.00    0.00    0.00    0.00    0.00
OF228.0  -14.633    0.00 9.008      0.00    0.00    0.00    0.00    0.00
OF230.0  -14.586    0.00 9.008      0.00    0.00    0.00    0.00    0.00
OF232.0  -14.538    0.00 9.0081     0.00    0.00    0.00    0.00    0.00
OF234.0  -14.490    0.00 9.0081     0.00    0.00    0.00    0.00    0.00
OF236.0  -14.443    0.00 9.0081     0.00    0.00    0.00    0.00    0.00
OF238.0  -14.395    0.00 9.0082     0.00    0.00    0.00    0.00    0.00
OF240.0  -14.348    0.00 9.0082     0.00    0.00    0.00    0.00    0.00
OF242.0  -14.300    0.00 9.0082     0.00    0.00    0.00    0.00    0.00
OF244.0  -14.252    0.00 9.0083     0.00    0.00    0.00    0.00    0.00
OF246.0  -14.205    0.00 9.0083     0.00    0.00    0.00    0.00    0.00
OF248.0  -5.6999    0.00 9.0083     0.00    0.00    0.00    0.00    0.00
OF250.0  -5.6781    0.00 9.0083     0.00    0.00    0.00    0.00    0.00
OF252.0  -5.6845    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF254.0  -5.708     0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF256.0  -5.7316    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF258.0  -5.7186    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF260.0  -5.5857    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF262.0  -5.3891    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF264.0  -5.2179    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF266.0  -5.2554    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF268.0  -5.3103    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF270.0  -5.3652    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF272.0  -5.4201    0.00 9.0084     0.00    0.00    0.00    0.00    0.00
OF274.0  -5.4763    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF276.0  -5.5182    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF278.0  -5.503     0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF280.0  -5.4905    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF282.0  -5.506     0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF284.0  -5.5155    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF286.0  -5.5072    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
