X,Y,Z,STA,source
-70.1890157300,43.6481584500,-45.8599482469,-1605.00,Maine ADCIRC model
-70.1890167500,43.6481610900,-45.8414012303,-1604.00,Maine ADCIRC model
-70.1890177700,43.6481637400,-45.8227914507,-1603.00,Maine ADCIRC model
-70.1890187900,43.6481663800,-45.8042444341,-1602.00,Maine ADCIRC model
-70.1890198100,43.6481690200,-45.7856974176,-1601.00,Maine ADCIRC model
-70.1890208300,43.6481716600,-45.7671504010,-1600.00,Maine ADCIRC model
-70.1890218500,43.6481743100,-45.7485406213,-1599.00,Maine ADCIRC model
-70.1890228700,43.6481769500,-45.7299936048,-1598.00,Maine ADCIRC model
-70.1890238900,43.6481795900,-45.7114465883,-1597.00,Maine ADCIRC model
-70.1890249100,43.6481822300,-45.6928995717,-1596.00,Maine ADCIRC model
-70.1890259300,43.6481848800,-45.6742897920,-1595.00,Maine ADCIRC model
-70.1890269500,43.6481875200,-45.6557427755,-1594.00,Maine ADCIRC model
-70.1890279700,43.6481901600,-45.6371957589,-1593.00,Maine ADCIRC model
-70.1890289900,43.6481928000,-45.6186487424,-1592.00,Maine ADCIRC model
-70.1890300100,43.6481954400,-45.6001017258,-1591.00,Maine ADCIRC model
-70.1890310300,43.6481980900,-45.5814919462,-1590.00,Maine ADCIRC model
-70.1890320500,43.6482007300,-45.5629449296,-1589.00,Maine ADCIRC model
-70.1890330700,43.6482033700,-45.5443979131,-1588.00,Maine ADCIRC model
-70.1890340900,43.6482060100,-45.5258508965,-1587.00,Maine ADCIRC model
-70.1890351100,43.6482086600,-45.5072411168,-1586.00,Maine ADCIRC model
-70.1890361200,43.6482113000,-45.4887134881,-1585.00,Maine ADCIRC model
-70.1890371400,43.6482139400,-45.4701664716,-1584.00,Maine ADCIRC model
-70.1890381600,43.6482165800,-45.4516194550,-1583.00,Maine ADCIRC model
-70.1890391800,43.6482192300,-45.4330096754,-1582.00,Maine ADCIRC model
-70.1890402000,43.6482218700,-45.4144626588,-1581.00,Maine ADCIRC model
-70.1890412200,43.6482245100,-45.3959156422,-1580.00,Maine ADCIRC model
-70.1890422400,43.6482271500,-45.3773686257,-1579.00,Maine ADCIRC model
-70.1890432600,43.6482298000,-45.3587588460,-1578.00,Maine ADCIRC model
-70.1890442800,43.6482324400,-45.3402118295,-1577.00,Maine ADCIRC model
-70.1890453000,43.6482350800,-45.3216648129,-1576.00,Maine ADCIRC model
-70.1890463200,43.6482377200,-45.3031177964,-1575.00,Maine ADCIRC model
-70.1890473400,43.6482403600,-45.2845023687,-1574.00,Maine ADCIRC model
-70.1890483600,43.6482430100,-45.2554397719,-1573.00,Maine ADCIRC model
-70.1890493800,43.6482456500,-45.2264915125,-1572.00,Maine ADCIRC model
-70.1890504000,43.6482482900,-45.1975432531,-1571.00,Maine ADCIRC model
-70.1890514200,43.6482509300,-45.1685949936,-1570.00,Maine ADCIRC model
-70.1890524400,43.6482535800,-45.1395323968,-1569.00,Maine ADCIRC model
-70.1890534600,43.6482562200,-45.1105841374,-1568.00,Maine ADCIRC model
-70.1890544800,43.6482588600,-45.0816358780,-1567.00,Maine ADCIRC model
-70.1890555000,43.6482615000,-45.0526876186,-1566.00,Maine ADCIRC model
-70.1890565200,43.6482641500,-45.0236250217,-1565.00,Maine ADCIRC model
-70.1890575400,43.6482667900,-44.9946767623,-1564.00,Maine ADCIRC model
-70.1890585600,43.6482694300,-44.9657285029,-1563.00,Maine ADCIRC model
-70.1890595800,43.6482720700,-44.9367802435,-1562.00,Maine ADCIRC model
-70.1890606000,43.6482747200,-44.9077176466,-1561.00,Maine ADCIRC model
-70.1890616200,43.6482773600,-44.8787693872,-1560.00,Maine ADCIRC model
-70.1890626400,43.6482800000,-44.8498211277,-1559.00,Maine ADCIRC model
-70.1890636600,43.6482826400,-44.8208728683,-1558.00,Maine ADCIRC model
-70.1890646800,43.6482852800,-44.7919246088,-1557.00,Maine ADCIRC model
-70.1890657000,43.6482879300,-44.7628620120,-1556.00,Maine ADCIRC model
-70.1890667200,43.6482905700,-44.7339137526,-1555.00,Maine ADCIRC model
-70.1890677400,43.6482932100,-44.7049654932,-1554.00,Maine ADCIRC model
-70.1890687600,43.6482958500,-44.6760172338,-1553.00,Maine ADCIRC model
-70.1890697800,43.6482985000,-44.6469546369,-1552.00,Maine ADCIRC model
-70.1890708000,43.6483011400,-44.6180063775,-1551.00,Maine ADCIRC model
-70.1890718200,43.6483037800,-44.5890581181,-1550.00,Maine ADCIRC model
-70.1890728300,43.6483064200,-44.5600977331,-1549.00,Maine ADCIRC model
-70.1890738500,43.6483090700,-44.5310351362,-1548.00,Maine ADCIRC model
-70.1890748700,43.6483117100,-44.5020868768,-1547.00,Maine ADCIRC model
-70.1890758900,43.6483143500,-44.4731386174,-1546.00,Maine ADCIRC model
-70.1890769100,43.6483169900,-44.4441903580,-1545.00,Maine ADCIRC model
-70.1890779300,43.6483196400,-44.4151277612,-1544.00,Maine ADCIRC model
-70.1890789500,43.6483222800,-44.3861795017,-1543.00,Maine ADCIRC model
