X,Y,Z,STA,source
-70.1009921600,43.6978202300,-8.8309680493,-300.00,Maine ADCIRC model
-70.1009959300,43.6978204800,-8.8320781332,-299.00,Maine ADCIRC model
-70.1009997000,43.6978207300,-8.8331882171,-298.00,Maine ADCIRC model
-70.1010034600,43.6978209800,-8.8342924446,-297.00,Maine ADCIRC model
-70.1010072300,43.6978212300,-8.8354025285,-296.00,Maine ADCIRC model
-70.1010110000,43.6978214800,-8.8365126124,-295.00,Maine ADCIRC model
-70.1010147600,43.6978217300,-8.8376168400,-294.00,Maine ADCIRC model
-70.1010185300,43.6978219800,-8.8387269238,-293.00,Maine ADCIRC model
-70.1010223000,43.6978222400,-8.8397930984,-292.00,Maine ADCIRC model
-70.1010260600,43.6978224900,-8.8408973260,-291.00,Maine ADCIRC model
-70.1010298300,43.6978227400,-8.8420074099,-290.00,Maine ADCIRC model
-70.1010335900,43.6978229900,-8.8431116375,-289.00,Maine ADCIRC model
-70.1010373600,43.6978232400,-8.8442217214,-288.00,Maine ADCIRC model
-70.1010411300,43.6978234900,-8.8453318052,-287.00,Maine ADCIRC model
-70.1010448900,43.6978237400,-8.8464360328,-286.00,Maine ADCIRC model
-70.1010486600,43.6978239900,-8.8475461167,-285.00,Maine ADCIRC model
-70.1010524300,43.6978242400,-8.8486562005,-284.00,Maine ADCIRC model
-70.1010561900,43.6978244900,-8.8497604281,-283.00,Maine ADCIRC model
-70.1010599600,43.6978247400,-8.8508705120,-282.00,Maine ADCIRC model
-70.1010637300,43.6978249900,-8.8519805959,-281.00,Maine ADCIRC model
-70.1010674900,43.6978252400,-8.8530848235,-280.00,Maine ADCIRC model
-70.1010712600,43.6978254900,-8.8541949073,-279.00,Maine ADCIRC model
-70.1010750300,43.6978257400,-8.8553049912,-278.00,Maine ADCIRC model
-70.1010787900,43.6978259900,-8.8564092188,-277.00,Maine ADCIRC model
-70.1010825600,43.6978262400,-8.8575193027,-276.00,Maine ADCIRC model
-70.1010863200,43.6978264900,-8.8586235303,-275.00,Maine ADCIRC model
-70.1010900900,43.6978267400,-8.8597336141,-274.00,Maine ADCIRC model
-70.1010938600,43.6978270000,-8.8607997888,-273.00,Maine ADCIRC model
-70.1010976200,43.6978272500,-8.8619040163,-272.00,Maine ADCIRC model
-70.1011013900,43.6978275000,-8.8630141002,-271.00,Maine ADCIRC model
-70.1011051600,43.6978277500,-8.8641241841,-270.00,Maine ADCIRC model
-70.1011089200,43.6978280000,-8.8652284117,-269.00,Maine ADCIRC model
-70.1011126900,43.6978282500,-8.8663384955,-268.00,Maine ADCIRC model
-70.1011164600,43.6978285000,-8.8674485794,-267.00,Maine ADCIRC model
-70.1011202200,43.6978287500,-8.8685528070,-266.00,Maine ADCIRC model
-70.1011239900,43.6978290000,-8.8696628909,-265.00,Maine ADCIRC model
-70.1011277600,43.6978292500,-8.8707729747,-264.00,Maine ADCIRC model
-70.1011315200,43.6978295000,-8.8718772023,-263.00,Maine ADCIRC model
-70.1011352900,43.6978297500,-8.8729872862,-262.00,Maine ADCIRC model
-70.1011390500,43.6978300000,-8.8740915138,-261.00,Maine ADCIRC model
-70.1011428200,43.6978302500,-8.8752015976,-260.00,Maine ADCIRC model
-70.1011465900,43.6978305000,-8.8763116815,-259.00,Maine ADCIRC model
-70.1011503500,43.6978307500,-8.8774159091,-258.00,Maine ADCIRC model
-70.1011541200,43.6978310000,-8.8785259930,-257.00,Maine ADCIRC model
-70.1011578900,43.6978312500,-8.8796360768,-256.00,Maine ADCIRC model
-70.1011616500,43.6978315000,-8.8807403044,-255.00,Maine ADCIRC model
-70.1011654200,43.6978317600,-8.8818064791,-254.00,Maine ADCIRC model
-70.1011691900,43.6978320100,-8.8829165629,-253.00,Maine ADCIRC model
-70.1011729500,43.6978322600,-8.8840207905,-252.00,Maine ADCIRC model
-70.1011767200,43.6978325100,-8.8851308744,-251.00,Maine ADCIRC model
-70.1011804900,43.6978327600,-8.8862409583,-250.00,Maine ADCIRC model
-70.1011842500,43.6978330100,-8.8873451859,-249.00,Maine ADCIRC model
-70.1011880200,43.6978332600,-8.8884552697,-248.00,Maine ADCIRC model
-70.1011917800,43.6978335100,-8.8895594973,-247.00,Maine ADCIRC model
-70.1011955500,43.6978337600,-8.8906695812,-246.00,Maine ADCIRC model
-70.1011993200,43.6978340100,-8.8917796650,-245.00,Maine ADCIRC model
-70.1012030800,43.6978342600,-8.8928838926,-244.00,Maine ADCIRC model
-70.1012068500,43.6978345100,-8.8939939765,-243.00,Maine ADCIRC model
