X,Y,Z,STA,source
-70.1834999300,43.6774920200,-81.7000556778,-1336.00,Maine ADCIRC model
-70.1835007200,43.6774893400,-81.6673495490,-1335.00,Maine ADCIRC model
-70.1835015200,43.6774866600,-81.6345256724,-1334.00,Maine ADCIRC model
-70.1835023100,43.6774839700,-81.6017322151,-1333.00,Maine ADCIRC model
-70.1835031100,43.6774812900,-81.5689083384,-1332.00,Maine ADCIRC model
-70.1835039000,43.6774786100,-81.5362022096,-1331.00,Maine ADCIRC model
-70.1835046900,43.6774759200,-81.5034087522,-1330.00,Maine ADCIRC model
-70.1835054900,43.6774732400,-81.4705848756,-1329.00,Maine ADCIRC model
-70.1835062800,43.6774705600,-81.4378787469,-1328.00,Maine ADCIRC model
-70.1835070800,43.6774678800,-81.4050548703,-1327.00,Maine ADCIRC model
-70.1835078700,43.6774651900,-81.3722614130,-1326.00,Maine ADCIRC model
-70.1835086700,43.6774625100,-81.3394375364,-1325.00,Maine ADCIRC model
-70.1835094600,43.6774598300,-81.3067314076,-1324.00,Maine ADCIRC model
-70.1835102600,43.6774571400,-81.2738202023,-1323.00,Maine ADCIRC model
-70.1835110500,43.6774544600,-81.2411140735,-1322.00,Maine ADCIRC model
-70.1835118400,43.6774517800,-81.2084079449,-1321.00,Maine ADCIRC model
-70.1835126400,43.6774491000,-81.1755840681,-1320.00,Maine ADCIRC model
-70.1835134300,43.6774464100,-81.1427906108,-1319.00,Maine ADCIRC model
-70.1835142300,43.6774437300,-81.1099667342,-1318.00,Maine ADCIRC model
-70.1835150200,43.6774410500,-81.0772606054,-1317.00,Maine ADCIRC model
-70.1835158200,43.6774383600,-81.0443494003,-1316.00,Maine ADCIRC model
-70.1835166100,43.6774356800,-81.0116432716,-1315.00,Maine ADCIRC model
-70.1835174000,43.6774330000,-80.9789371428,-1314.00,Maine ADCIRC model
-70.1835182000,43.6774303200,-80.9461132662,-1313.00,Maine ADCIRC model
-70.1835189900,43.6774276300,-80.9133198088,-1312.00,Maine ADCIRC model
-70.1835197900,43.6774249500,-80.8804959321,-1311.00,Maine ADCIRC model
-70.1835205800,43.6774222700,-80.8477898033,-1310.00,Maine ADCIRC model
-70.1835213800,43.6774195800,-80.8148785982,-1309.00,Maine ADCIRC model
-70.1835221700,43.6774169000,-80.7821724694,-1308.00,Maine ADCIRC model
-70.1835229700,43.6774142200,-80.7493485928,-1307.00,Maine ADCIRC model
-70.1835237600,43.6774115400,-80.7166424640,-1306.00,Maine ADCIRC model
-70.1835245500,43.6774088500,-80.6838490067,-1305.00,Maine ADCIRC model
-70.1835253500,43.6774061700,-80.6510251301,-1304.00,Maine ADCIRC model
-70.1835261400,43.6774034900,-80.6183190014,-1303.00,Maine ADCIRC model
-70.1835269400,43.6774008000,-80.5854077962,-1302.00,Maine ADCIRC model
-70.1835277300,43.6773981200,-80.5527016674,-1301.00,Maine ADCIRC model
-70.1835285300,43.6773954400,-80.5198777906,-1300.00,Maine ADCIRC model
-70.1835293200,43.6773927600,-80.4871716619,-1299.00,Maine ADCIRC model
-70.1835301100,43.6773900700,-80.4543782046,-1298.00,Maine ADCIRC model
-70.1835309100,43.6773873900,-80.4215543280,-1297.00,Maine ADCIRC model
-70.1835317000,43.6773847100,-80.3888481992,-1296.00,Maine ADCIRC model
-70.1835325000,43.6773820200,-80.3559369941,-1295.00,Maine ADCIRC model
-70.1835332900,43.6773793400,-80.3232308653,-1294.00,Maine ADCIRC model
-70.1835340900,43.6773766600,-80.2904069887,-1293.00,Maine ADCIRC model
-70.1835348800,43.6773739700,-80.2576135313,-1292.00,Maine ADCIRC model
-70.1835356800,43.6773712900,-80.2247896546,-1291.00,Maine ADCIRC model
-70.1835364700,43.6773686100,-80.1920835258,-1290.00,Maine ADCIRC model
-70.1835372600,43.6773659300,-80.1593773972,-1289.00,Maine ADCIRC model
-70.1835380600,43.6773632400,-80.1264661919,-1288.00,Maine ADCIRC model
-70.1835388500,43.6773605600,-80.0937600631,-1287.00,Maine ADCIRC model
-70.1835396500,43.6773578800,-80.0609361865,-1286.00,Maine ADCIRC model
-70.1835404400,43.6773551900,-80.0281427292,-1285.00,Maine ADCIRC model
-70.1835412400,43.6773525100,-79.9953188526,-1284.00,Maine ADCIRC model
-70.1835420300,43.6773498300,-79.9626127238,-1283.00,Maine ADCIRC model
-70.1835428200,43.6773471500,-79.9299065951,-1282.00,Maine ADCIRC model
-70.1835436200,43.6773444600,-79.8969953899,-1281.00,Maine ADCIRC model
-70.1835444100,43.6773417800,-79.8642892611,-1280.00,Maine ADCIRC model
-70.1835452100,43.6773391000,-79.8314653844,-1279.00,Maine ADCIRC model
-70.1835460000,43.6773364100,-79.7986719271,-1278.00,Maine ADCIRC model
-70.1835468000,43.6773337300,-79.7658480505,-1277.00,Maine ADCIRC model
-70.1835475900,43.6773310500,-79.7331419217,-1276.00,Maine ADCIRC model
-70.1835483900,43.6773283700,-79.7003180451,-1275.00,Maine ADCIRC model
-70.1835491800,43.6773256800,-79.6675245878,-1274.00,Maine ADCIRC model
-70.1835499700,43.6773230000,-79.6348184590,-1273.00,Maine ADCIRC model
-70.1835507700,43.6773203200,-79.6019945824,-1272.00,Maine ADCIRC model
-70.1835515600,43.6773176300,-79.5692011251,-1271.00,Maine ADCIRC model
-70.1835523600,43.6773149500,-79.5363772485,-1270.00,Maine ADCIRC model
-70.1835531500,43.6773122700,-79.5036711197,-1269.00,Maine ADCIRC model
-70.1835539500,43.6773095900,-79.4708472430,-1268.00,Maine ADCIRC model
-70.1835547400,43.6773069000,-79.4380537856,-1267.00,Maine ADCIRC model
-70.1835555300,43.6773042200,-79.4053476569,-1266.00,Maine ADCIRC model
-70.1835563300,43.6773015400,-79.3725237803,-1265.00,Maine ADCIRC model
-70.1835571200,43.6772988500,-79.3397303229,-1264.00,Maine ADCIRC model
-70.1835579200,43.6772961700,-79.3069064463,-1263.00,Maine ADCIRC model
-70.1835587100,43.6772934900,-79.2742003175,-1262.00,Maine ADCIRC model
-70.1835595100,43.6772908100,-79.2413764410,-1261.00,Maine ADCIRC model
-70.1835603000,43.6772881200,-79.2085829837,-1260.00,Maine ADCIRC model
-70.1835610900,43.6772854400,-79.1758768549,-1259.00,Maine ADCIRC model
-70.1835618900,43.6772827600,-79.1430529783,-1258.00,Maine ADCIRC model
-70.1835626800,43.6772800700,-79.1102595210,-1257.00,Maine ADCIRC model
-70.1835634800,43.6772773900,-79.0774356442,-1256.00,Maine ADCIRC model
-70.1835642700,43.6772747100,-79.0447295154,-1255.00,Maine ADCIRC model
-70.1835650700,43.6772720300,-79.0119056388,-1254.00,Maine ADCIRC model
-70.1835658600,43.6772693400,-78.9791121815,-1253.00,Maine ADCIRC model
-70.1835666600,43.6772666600,-78.9462883049,-1252.00,Maine ADCIRC model
-70.1835674500,43.6772639800,-78.9135821761,-1251.00,Maine ADCIRC model
-70.1835682400,43.6772612900,-78.8807887188,-1250.00,Maine ADCIRC model
-70.1835690400,43.6772586100,-78.8479648423,-1249.00,Maine ADCIRC model
-70.1835698300,43.6772559300,-78.8152587135,-1248.00,Maine ADCIRC model
-70.1835706300,43.6772532500,-78.7824348367,-1247.00,Maine ADCIRC model
-70.1835714200,43.6772505600,-78.7496413794,-1246.00,Maine ADCIRC model
-70.1835722200,43.6772478800,-78.7168175028,-1245.00,Maine ADCIRC model
-70.1835730100,43.6772452000,-78.6841113740,-1244.00,Maine ADCIRC model
-70.1835738000,43.6772425100,-78.6513179167,-1243.00,Maine ADCIRC model
-70.1835746000,43.6772398300,-78.6184940401,-1242.00,Maine ADCIRC model
-70.1835753900,43.6772371500,-78.5857879113,-1241.00,Maine ADCIRC model
-70.1835761900,43.6772344700,-78.5529640347,-1240.00,Maine ADCIRC model
-70.1835769800,43.6772317800,-78.5201705774,-1239.00,Maine ADCIRC model
-70.1835777800,43.6772291000,-78.4873467008,-1238.00,Maine ADCIRC model
-70.1835785700,43.6772264200,-78.4546405720,-1237.00,Maine ADCIRC model
-70.1835793700,43.6772237300,-78.4217293667,-1236.00,Maine ADCIRC model
