X,Y,Z,STA,source
-70.4329569400,43.3617532000,-2.9743887356,134.00,Maine ADCIRC model
-70.4329559900,43.3617558500,-3.0140509316,135.00,Maine ADCIRC model
-70.4329550500,43.3617585100,-3.0537497156,136.00,Maine ADCIRC model
-70.4329541100,43.3617611700,-3.0934484997,137.00,Maine ADCIRC model
-70.4329531600,43.3617638200,-3.1331106956,138.00,Maine ADCIRC model
-70.4329522200,43.3617664800,-3.1728094796,139.00,Maine ADCIRC model
-70.4329512700,43.3617691300,-3.2124716756,140.00,Maine ADCIRC model
-70.4329503300,43.3617717900,-3.2521704597,141.00,Maine ADCIRC model
-70.4329493800,43.3617744500,-3.2919524837,142.00,Maine ADCIRC model
-70.4329484400,43.3617771000,-3.3315314397,143.00,Maine ADCIRC model
-70.4329474900,43.3617797600,-3.3713134636,144.00,Maine ADCIRC model
-70.4329465500,43.3617824200,-3.4110122477,145.00,Maine ADCIRC model
-70.4329456000,43.3617850700,-3.4506744438,146.00,Maine ADCIRC model
-70.4329446600,43.3617877300,-3.4903732278,147.00,Maine ADCIRC model
-70.4329437100,43.3617903800,-3.5300354237,148.00,Maine ADCIRC model
-70.4329427700,43.3617930400,-3.5697342078,149.00,Maine ADCIRC model
-70.4329418200,43.3617957000,-3.6095162318,150.00,Maine ADCIRC model
-70.4329408800,43.3617983500,-3.6490951878,151.00,Maine ADCIRC model
-70.4329399300,43.3618010100,-3.6888772117,152.00,Maine ADCIRC model
-70.4329389900,43.3618036600,-3.7284561679,153.00,Maine ADCIRC model
-70.4329380400,43.3618063200,-3.7682381918,154.00,Maine ADCIRC model
-70.4329371000,43.3618089800,-3.8079369758,155.00,Maine ADCIRC model
-70.4329361500,43.3618116300,-3.8475991718,156.00,Maine ADCIRC model
-70.4329352100,43.3618142900,-3.8872979559,157.00,Maine ADCIRC model
-70.4329342600,43.3618169400,-3.9269601519,158.00,Maine ADCIRC model
-70.4329333200,43.3618196000,-3.9666589358,159.00,Maine ADCIRC model
-70.4329323700,43.3618222600,-4.0064409598,160.00,Maine ADCIRC model
-70.4329314300,43.3618249100,-4.0460199160,161.00,Maine ADCIRC model
-70.4329304800,43.3618275700,-4.0858019399,162.00,Maine ADCIRC model
-70.4329295400,43.3618302300,-4.1255007239,163.00,Maine ADCIRC model
-70.4329285900,43.3618328800,-4.1651629199,164.00,Maine ADCIRC model
-70.4329276500,43.3618355400,-4.2048617040,165.00,Maine ADCIRC model
-70.4329267000,43.3618381900,-4.2445239000,166.00,Maine ADCIRC model
-70.4329257600,43.3618408500,-4.2842226840,167.00,Maine ADCIRC model
-70.4329248200,43.3618435100,-4.3239214681,168.00,Maine ADCIRC model
-70.4329238700,43.3618461600,-4.3635836641,169.00,Maine ADCIRC model
-70.4329229300,43.3618488200,-4.4032824480,170.00,Maine ADCIRC model
-70.4329219800,43.3618514700,-4.4429446440,171.00,Maine ADCIRC model
-70.4329210400,43.3618541300,-4.4826434281,172.00,Maine ADCIRC model
-70.4329200900,43.3618567900,-4.5224254521,173.00,Maine ADCIRC model
-70.4329191500,43.3618594400,-4.5620044082,174.00,Maine ADCIRC model
-70.4329182000,43.3618621000,-4.5822537331,175.00,Maine ADCIRC model
-70.4329172600,43.3618647600,-4.5836710145,176.00,Maine ADCIRC model
-70.4329163100,43.3618674100,-4.5850890702,177.00,Maine ADCIRC model
-70.4329153700,43.3618700700,-4.5865063516,178.00,Maine ADCIRC model
-70.4329144200,43.3618727200,-4.5879244074,179.00,Maine ADCIRC model
-70.4329134800,43.3618753800,-4.5893416888,180.00,Maine ADCIRC model
-70.4329125300,43.3618780400,-4.5907634792,181.00,Maine ADCIRC model
-70.4329115900,43.3618806900,-4.5921770259,182.00,Maine ADCIRC model
-70.4329106400,43.3618833500,-4.5935988163,183.00,Maine ADCIRC model
-70.4329097000,43.3618860000,-4.5950123630,184.00,Maine ADCIRC model
-70.4329087500,43.3618886600,-4.5964341535,185.00,Maine ADCIRC model
-70.4329078100,43.3618913200,-4.5978514349,186.00,Maine ADCIRC model
-70.4329068600,43.3618939700,-4.5992694906,187.00,Maine ADCIRC model
-70.4329059200,43.3618966300,-4.6006867720,188.00,Maine ADCIRC model
-70.4329049700,43.3618992800,-4.6021048278,189.00,Maine ADCIRC model
-70.4329040300,43.3619019400,-4.6035221091,190.00,Maine ADCIRC model
-70.4329030800,43.3619046000,-4.6049438996,191.00,Maine ADCIRC model
-70.4329021400,43.3619072500,-4.6069832210,192.00,Maine ADCIRC model
-70.4329011900,43.3619099100,-4.6098895767,193.00,Maine ADCIRC model
-70.4329002500,43.3619125700,-4.6127933832,194.00,Maine ADCIRC model
-70.4328993000,43.3619152200,-4.6156897232,195.00,Maine ADCIRC model
-70.4328983600,43.3619178800,-4.6185935297,196.00,Maine ADCIRC model
-70.4328974100,43.3619205300,-4.6214898697,197.00,Maine ADCIRC model
-70.4328964700,43.3619231900,-4.6243936762,198.00,Maine ADCIRC model
-70.4328955200,43.3619258500,-4.6273000319,199.00,Maine ADCIRC model
-70.4328945800,43.3619285000,-4.6301938227,200.00,Maine ADCIRC model
-70.4328936400,43.3619311600,-4.6330976292,201.00,Maine ADCIRC model
-70.4328926900,43.3619338100,-4.6359939692,202.00,Maine ADCIRC model
-70.4328917500,43.3619364700,-4.6388977757,203.00,Maine ADCIRC model
-70.4328908000,43.3619391300,-4.6418041314,204.00,Maine ADCIRC model
-70.4328898600,43.3619417800,-4.6446979222,205.00,Maine ADCIRC model
-70.4328889100,43.3619444400,-4.6476042779,206.00,Maine ADCIRC model
-70.4328879700,43.3619471000,-4.6505080844,207.00,Maine ADCIRC model
-70.4328870200,43.3619497500,-4.6534044245,208.00,Maine ADCIRC model
-70.4328860800,43.3619524100,-4.6563082309,209.00,Maine ADCIRC model
-70.4328851300,43.3619550600,-4.6592045710,210.00,Maine ADCIRC model
-70.4328841900,43.3619577200,-4.6621083774,211.00,Maine ADCIRC model
-70.4328832400,43.3619603800,-4.6650147332,212.00,Maine ADCIRC model
-70.4328823000,43.3619630300,-4.6679085239,213.00,Maine ADCIRC model
-70.4328813500,43.3619656900,-4.6708148797,214.00,Maine ADCIRC model
-70.4328804100,43.3619683400,-4.6737086705,215.00,Maine ADCIRC model
-70.4328794600,43.3619710000,-4.6766150262,216.00,Maine ADCIRC model
-70.4328785200,43.3619736600,-4.6795188327,217.00,Maine ADCIRC model
-70.4328775700,43.3619763100,-4.6824151727,218.00,Maine ADCIRC model
-70.4328766300,43.3619789700,-4.6853189792,219.00,Maine ADCIRC model
-70.4328756800,43.3619816200,-4.6882153192,220.00,Maine ADCIRC model
-70.4328747400,43.3619842800,-4.6911191257,221.00,Maine ADCIRC model
-70.4328737900,43.3619869400,-4.6940254814,222.00,Maine ADCIRC model
-70.4328728500,43.3619895900,-4.6969192722,223.00,Maine ADCIRC model
-70.4328719000,43.3619922500,-4.6998256279,224.00,Maine ADCIRC model
-70.4328709600,43.3619949100,-4.7027294344,225.00,Maine ADCIRC model
-70.4328700100,43.3619975600,-4.7056257744,226.00,Maine ADCIRC model
-70.4328690700,43.3620002200,-4.7085295809,227.00,Maine ADCIRC model
-70.4328681200,43.3620028700,-4.7114259209,228.00,Maine ADCIRC model
-70.4328671800,43.3620055300,-4.7143297274,229.00,Maine ADCIRC model
-70.4328662300,43.3620081900,-4.7172360832,230.00,Maine ADCIRC model
-70.4328652900,43.3620108400,-4.7201298739,231.00,Maine ADCIRC model
-70.4328643400,43.3620135000,-4.7230362297,232.00,Maine ADCIRC model
-70.4328634000,43.3620161500,-4.7259300204,233.00,Maine ADCIRC model
-70.4328624600,43.3620188100,-4.7288338269,234.00,Maine ADCIRC model
-70.4328615100,43.3620214700,-4.7317401827,235.00,Maine ADCIRC model
-70.4328605700,43.3620241200,-4.7346339734,236.00,Maine ADCIRC model
-70.4328596200,43.3620267800,-4.7375403292,237.00,Maine ADCIRC model
-70.4328586800,43.3620294400,-4.7404441356,238.00,Maine ADCIRC model
-70.4328577300,43.3620320900,-4.7433404757,239.00,Maine ADCIRC model
-70.4328567900,43.3620347500,-4.7462442822,240.00,Maine ADCIRC model
-70.4328558400,43.3620374000,-4.7491406222,241.00,Maine ADCIRC model
-70.4328549000,43.3620400600,-4.7520444287,242.00,Maine ADCIRC model
-70.4328539500,43.3620427200,-4.7549507844,243.00,Maine ADCIRC model
-70.4328530100,43.3620453700,-4.7578445752,244.00,Maine ADCIRC model
-70.4328520600,43.3620480300,-4.7607509309,245.00,Maine ADCIRC model
-70.4328511200,43.3620506800,-4.7636447217,246.00,Maine ADCIRC model
-70.4328501700,43.3620533400,-4.7665510774,247.00,Maine ADCIRC model
-70.4328492300,43.3620560000,-4.7694548839,248.00,Maine ADCIRC model
-70.4328482800,43.3620586500,-4.7723512239,249.00,Maine ADCIRC model
-70.4328473400,43.3620613100,-4.7752550304,250.00,Maine ADCIRC model
-70.4328463900,43.3620639600,-4.7781513704,251.00,Maine ADCIRC model
-70.4328454500,43.3620666200,-4.7810551769,252.00,Maine ADCIRC model
-70.4328445000,43.3620692800,-4.7839615326,253.00,Maine ADCIRC model
-70.4328435600,43.3620719300,-4.7868553234,254.00,Maine ADCIRC model
-70.4328426100,43.3620745900,-4.7897616791,255.00,Maine ADCIRC model
-70.4328416700,43.3620772500,-4.7926654856,256.00,Maine ADCIRC model
-70.4328407200,43.3620799000,-4.7955618257,257.00,Maine ADCIRC model
-70.4328397800,43.3620825600,-4.7984656321,258.00,Maine ADCIRC model
-70.4328388300,43.3620852100,-4.8013619722,259.00,Maine ADCIRC model
-70.4328378900,43.3620878700,-4.8042657786,260.00,Maine ADCIRC model
-70.4328369400,43.3620905300,-4.8071721344,261.00,Maine ADCIRC model
-70.4328360000,43.3620931800,-4.8100659252,262.00,Maine ADCIRC model
-70.4328350500,43.3620958400,-4.8129722809,263.00,Maine ADCIRC model
-70.4328341100,43.3620984900,-4.8158660717,264.00,Maine ADCIRC model
-70.4328331600,43.3621011500,-4.8187724274,265.00,Maine ADCIRC model
-70.4328322200,43.3621038100,-4.8216762339,266.00,Maine ADCIRC model
-70.4328312700,43.3621064600,-4.8245725739,267.00,Maine ADCIRC model
-70.4328303300,43.3621091200,-4.8274763804,268.00,Maine ADCIRC model
-70.4328293900,43.3621117700,-4.8303701712,269.00,Maine ADCIRC model
-70.4328284400,43.3621144300,-4.8332765269,270.00,Maine ADCIRC model
-70.4328275000,43.3621170900,-4.8361803334,271.00,Maine ADCIRC model
-70.4328265500,43.3621197400,-4.8390766734,272.00,Maine ADCIRC model
-70.4328256100,43.3621224000,-4.8419804799,273.00,Maine ADCIRC model
-70.4328246600,43.3621250600,-4.8455423770,274.00,Maine ADCIRC model
-70.4328237200,43.3621277100,-4.8517798510,275.00,Maine ADCIRC model
-70.4328227700,43.3621303700,-4.8580453076,276.00,Maine ADCIRC model
-70.4328218300,43.3621330200,-4.8642827816,277.00,Maine ADCIRC model
-70.4328208800,43.3621356800,-4.8705482382,278.00,Maine ADCIRC model
-70.4328199400,43.3621383400,-4.8768068063,279.00,Maine ADCIRC model
-70.4328189900,43.3621409900,-4.8830511687,280.00,Maine ADCIRC model
-70.4328180500,43.3621436500,-4.8893097369,281.00,Maine ADCIRC model
-70.4328171000,43.3621463000,-4.8955540993,282.00,Maine ADCIRC model
-70.4328161600,43.3621489600,-4.9018126675,283.00,Maine ADCIRC model
-70.4328152100,43.3621516200,-4.9080781241,284.00,Maine ADCIRC model
-70.4328142700,43.3621542700,-4.9143155980,285.00,Maine ADCIRC model
-70.4328133200,43.3621569300,-4.9205810547,286.00,Maine ADCIRC model
-70.4328123800,43.3621595900,-4.9268396228,287.00,Maine ADCIRC model
-70.4328114300,43.3621622400,-4.9330839852,288.00,Maine ADCIRC model
-70.4328104900,43.3621649000,-4.9393425534,289.00,Maine ADCIRC model
-70.4328095400,43.3621675500,-4.9455869158,290.00,Maine ADCIRC model
-70.4328086000,43.3621702100,-4.9518454840,291.00,Maine ADCIRC model
-70.4328076500,43.3621728700,-4.9581109406,292.00,Maine ADCIRC model
-70.4328067100,43.3621755200,-4.9643484145,293.00,Maine ADCIRC model
-70.4328057600,43.3621781800,-4.9706138712,294.00,Maine ADCIRC model
-70.4328048200,43.3621808300,-4.9768513451,295.00,Maine ADCIRC model
-70.4328038700,43.3621834900,-4.9831168017,296.00,Maine ADCIRC model
-70.4328029300,43.3621861500,-4.9893753699,297.00,Maine ADCIRC model
-70.4328019800,43.3621888000,-4.9956197323,298.00,Maine ADCIRC model
-70.4328010400,43.3621914600,-5.0018783005,299.00,Maine ADCIRC model
-70.4328000900,43.3621941100,-5.0081226629,300.00,Maine ADCIRC model
-70.4327991500,43.3621967700,-5.0143812310,301.00,Maine ADCIRC model
-70.4327982000,43.3621994300,-5.0206466876,302.00,Maine ADCIRC model
-70.4327972600,43.3622020800,-5.0268841616,303.00,Maine ADCIRC model
-70.4327963200,43.3622047400,-5.0331427298,304.00,Maine ADCIRC model
-70.4327953700,43.3622074000,-5.0394081864,305.00,Maine ADCIRC model
-70.4327944300,43.3622100500,-5.0456456603,306.00,Maine ADCIRC model
-70.4327934800,43.3622127100,-5.0519111170,307.00,Maine ADCIRC model
-70.4327925400,43.3622153600,-5.0581485909,308.00,Maine ADCIRC model
-70.4327915900,43.3622180200,-5.0644140475,309.00,Maine ADCIRC model
-70.4327906500,43.3622206800,-5.0706726157,310.00,Maine ADCIRC model
-70.4327897000,43.3622233300,-5.0769169781,311.00,Maine ADCIRC model
-70.4327887600,43.3622259900,-5.0831755463,312.00,Maine ADCIRC model
-70.4327878100,43.3622286400,-5.0894199087,313.00,Maine ADCIRC model
-70.4327868700,43.3622313000,-5.0956784768,314.00,Maine ADCIRC model
-70.4327859200,43.3622339600,-5.1019439334,315.00,Maine ADCIRC model
-70.4327849800,43.3622366100,-5.1081814074,316.00,Maine ADCIRC model
-70.4327840300,43.3622392700,-5.1144468640,317.00,Maine ADCIRC model
-70.4327830900,43.3622419300,-5.1207054322,318.00,Maine ADCIRC model
-70.4327821400,43.3622445800,-5.1269497946,319.00,Maine ADCIRC model
-70.4327812000,43.3622472400,-5.1332083628,320.00,Maine ADCIRC model
-70.4327802500,43.3622498900,-5.1394527252,321.00,Maine ADCIRC model
-70.4327793100,43.3622525500,-5.1457112933,322.00,Maine ADCIRC model
-70.4327783600,43.3622552100,-5.1519767499,323.00,Maine ADCIRC model
-70.4327774200,43.3622578600,-5.1582142239,324.00,Maine ADCIRC model
-70.4327764700,43.3622605200,-5.1644796805,325.00,Maine ADCIRC model
-70.4327755300,43.3622631700,-5.1707171545,326.00,Maine ADCIRC model
-70.4327745800,43.3622658300,-5.1769826111,327.00,Maine ADCIRC model
-70.4327736400,43.3622684900,-5.1832411792,328.00,Maine ADCIRC model
-70.4327726900,43.3622711400,-5.1894855417,329.00,Maine ADCIRC model
-70.4327717500,43.3622738000,-5.1957441098,330.00,Maine ADCIRC model
-70.4327708000,43.3622764500,-5.2019884722,331.00,Maine ADCIRC model
-70.4327698600,43.3622791100,-5.2082470404,332.00,Maine ADCIRC model
-70.4327689100,43.3622817700,-5.2145124970,333.00,Maine ADCIRC model
-70.4327679700,43.3622844200,-5.2207499710,334.00,Maine ADCIRC model
-70.4327670200,43.3622870800,-5.2270154276,335.00,Maine ADCIRC model
-70.4327660800,43.3622897400,-5.2332739957,336.00,Maine ADCIRC model
-70.4327651300,43.3622923900,-5.2395183582,337.00,Maine ADCIRC model
-70.4327641900,43.3622950500,-5.2457769263,338.00,Maine ADCIRC model
-70.4327632500,43.3622977000,-5.2520144003,339.00,Maine ADCIRC model
-70.4327623000,43.3623003600,-5.2582798569,340.00,Maine ADCIRC model
-70.4327613600,43.3623030200,-5.2645384250,341.00,Maine ADCIRC model
-70.4327604100,43.3623056700,-5.2707827875,342.00,Maine ADCIRC model
-70.4327594700,43.3623083300,-5.2770413556,343.00,Maine ADCIRC model
-70.4327585200,43.3623109800,-5.2832857180,344.00,Maine ADCIRC model
-70.4327575800,43.3623136400,-5.2895442862,345.00,Maine ADCIRC model
-70.4327566300,43.3623163000,-5.2958097428,346.00,Maine ADCIRC model
-70.4327556900,43.3623189500,-5.3020472168,347.00,Maine ADCIRC model
-70.4327547400,43.3623216100,-5.3083126734,348.00,Maine ADCIRC model
-70.4327538000,43.3623242600,-5.3145501473,349.00,Maine ADCIRC model
-70.4327528500,43.3623269200,-5.3208156040,350.00,Maine ADCIRC model
-70.4327519100,43.3623295800,-5.3270741721,351.00,Maine ADCIRC model
-70.4327509600,43.3623322300,-5.3333185345,352.00,Maine ADCIRC model
-70.4327500200,43.3623348900,-5.3395771027,353.00,Maine ADCIRC model
-70.4327490700,43.3623375500,-5.3458425593,354.00,Maine ADCIRC model
-70.4327481300,43.3623402000,-5.3520800333,355.00,Maine ADCIRC model
-70.4327471800,43.3623428600,-5.3583454899,356.00,Maine ADCIRC model
-70.4327462400,43.3623455100,-5.3645829638,357.00,Maine ADCIRC model
-70.4327452900,43.3623481700,-5.3708484204,358.00,Maine ADCIRC model
-70.4327443500,43.3623508300,-5.3771069886,359.00,Maine ADCIRC model
-70.4327434000,43.3623534800,-5.3833513510,360.00,Maine ADCIRC model
-70.4327424600,43.3623561400,-5.3896099192,361.00,Maine ADCIRC model
-70.4327415100,43.3623587900,-5.3958542816,362.00,Maine ADCIRC model
-70.4327405700,43.3623614500,-5.4021128498,363.00,Maine ADCIRC model
-70.4327396200,43.3623641100,-5.4083783064,364.00,Maine ADCIRC model
-70.4327386800,43.3623667600,-5.4146157803,365.00,Maine ADCIRC model
-70.4327377300,43.3623694200,-5.4208812369,366.00,Maine ADCIRC model
-70.4327367900,43.3623720800,-5.4271398051,367.00,Maine ADCIRC model
-70.4327358400,43.3623747300,-5.4333841675,368.00,Maine ADCIRC model
-70.4327349000,43.3623773900,-5.4396427357,369.00,Maine ADCIRC model
-70.4327339500,43.3623800400,-5.4458870981,370.00,Maine ADCIRC model
-70.4327330100,43.3623827000,-5.4521456662,371.00,Maine ADCIRC model
-70.4327320600,43.3623853600,-5.4584111228,372.00,Maine ADCIRC model
-70.4327311200,43.3623880100,-5.4646485968,373.00,Maine ADCIRC model
-70.4327301800,43.3623906700,-5.4709071650,374.00,Maine ADCIRC model
-70.4327292300,43.3623933200,-5.4771515274,375.00,Maine ADCIRC model
-70.4327282900,43.3623959800,-5.4834100956,376.00,Maine ADCIRC model
-70.4327273400,43.3623986400,-5.4896755522,377.00,Maine ADCIRC model
-70.4327264000,43.3624012900,-5.4959130261,378.00,Maine ADCIRC model
-70.4327254500,43.3624039500,-5.5021784827,379.00,Maine ADCIRC model
-70.4327245100,43.3624066000,-5.5084159567,380.00,Maine ADCIRC model
-70.4327235600,43.3624092600,-5.5146814133,381.00,Maine ADCIRC model
-70.4327226200,43.3624119200,-5.5209399815,382.00,Maine ADCIRC model
-70.4327216700,43.3624145700,-5.5271843439,383.00,Maine ADCIRC model
-70.4327207300,43.3624172300,-5.5334429120,384.00,Maine ADCIRC model
-70.4327197800,43.3624198900,-5.5398001173,385.00,Maine ADCIRC model
-70.4327188400,43.3624225400,-5.5783340074,386.00,Maine ADCIRC model
-70.4327178900,43.3624252000,-5.6192914130,387.00,Maine ADCIRC model
-70.4327169500,43.3624278500,-5.6600216381,388.00,Maine ADCIRC model
-70.4327160000,43.3624305100,-5.7009790437,389.00,Maine ADCIRC model
-70.4327150600,43.3624331700,-5.7418225742,390.00,Maine ADCIRC model
-70.4327141100,43.3624358200,-5.7826666742,391.00,Maine ADCIRC model
-70.4327131700,43.3624384800,-5.8235102049,392.00,Maine ADCIRC model
