X,Y,Z,STA,source
-70.4101488800,43.3864462800,-32.6873886053,-4396.50,Maine ADCIRC model
-70.4101514600,43.3864482800,-32.7046974557,-4395.50,Maine ADCIRC model
-70.4101540300,43.3864502900,-32.7220607626,-4394.50,Maine ADCIRC model
-70.4101566000,43.3864522900,-32.7393556009,-4393.50,Maine ADCIRC model
-70.4101591800,43.3864542900,-32.7566644512,-4392.50,Maine ADCIRC model
-70.4101617500,43.3864562900,-32.7739592895,-4391.50,Maine ADCIRC model
-70.4101643200,43.3864582900,-32.7912541278,-4390.50,Maine ADCIRC model
-70.4101669000,43.3864602900,-32.8085629781,-4389.50,Maine ADCIRC model
-70.4101694700,43.3864622900,-32.8258578164,-4388.50,Maine ADCIRC model
-70.4101720400,43.3864642900,-32.8431526547,-4387.50,Maine ADCIRC model
-70.4101746200,43.3864662900,-32.8604615051,-4386.50,Maine ADCIRC model
-70.4101771900,43.3864683000,-32.8778248120,-4385.50,Maine ADCIRC model
-70.4101797700,43.3864703000,-32.8951336624,-4384.50,Maine ADCIRC model
-70.4101823400,43.3864723000,-32.9124285007,-4383.50,Maine ADCIRC model
-70.4101849100,43.3864743000,-32.9297233389,-4382.50,Maine ADCIRC model
-70.4101874900,43.3864763000,-32.9470321893,-4381.50,Maine ADCIRC model
-70.4101900600,43.3864783000,-32.9643270276,-4380.50,Maine ADCIRC model
-70.4101926300,43.3864803000,-32.9816218659,-4379.50,Maine ADCIRC model
-70.4101952100,43.3864823000,-32.9989307162,-4378.50,Maine ADCIRC model
-70.4101977800,43.3864843000,-33.0162255545,-4377.50,Maine ADCIRC model
-70.4102003500,43.3864863000,-33.0335203928,-4376.50,Maine ADCIRC model
-70.4102029300,43.3864883100,-33.0508977118,-4375.50,Maine ADCIRC model
-70.4102055000,43.3864903100,-33.0681925501,-4374.50,Maine ADCIRC model
-70.4102080700,43.3864923100,-33.0854873883,-4373.50,Maine ADCIRC model
-70.4102106500,43.3864943100,-33.1027962387,-4372.50,Maine ADCIRC model
-70.4102132200,43.3864963100,-33.1200910770,-4371.50,Maine ADCIRC model
-70.4102157900,43.3864983100,-33.1373859153,-4370.50,Maine ADCIRC model
-70.4102183700,43.3865003100,-33.1546947656,-4369.50,Maine ADCIRC model
-70.4102209400,43.3865023100,-33.1719896039,-4368.50,Maine ADCIRC model
-70.4102235200,43.3865043100,-33.1892984543,-4367.50,Maine ADCIRC model
-70.4102260900,43.3865063200,-33.2066617612,-4366.50,Maine ADCIRC model
-70.4102286600,43.3865083200,-33.2239565995,-4365.50,Maine ADCIRC model
-70.4102312400,43.3865103200,-33.2412654498,-4364.50,Maine ADCIRC model
-70.4102338100,43.3865123200,-33.2585602881,-4363.50,Maine ADCIRC model
-70.4102363800,43.3865143200,-33.2758551264,-4362.50,Maine ADCIRC model
-70.4102389600,43.3865163200,-33.2931639768,-4361.50,Maine ADCIRC model
-70.4102415300,43.3865183200,-33.3104588150,-4360.50,Maine ADCIRC model
-70.4102441000,43.3865203200,-33.3277536533,-4359.50,Maine ADCIRC model
-70.4102466800,43.3865223200,-33.3450625037,-4358.50,Maine ADCIRC model
-70.4102492500,43.3865243200,-33.3623573420,-4357.50,Maine ADCIRC model
-70.4102518200,43.3865263300,-33.3797206489,-4356.50,Maine ADCIRC model
-70.4102544000,43.3865283300,-33.3970294992,-4355.50,Maine ADCIRC model
-70.4102569700,43.3865303300,-33.4143243375,-4354.50,Maine ADCIRC model
-70.4102595400,43.3865323300,-33.4316191758,-4353.50,Maine ADCIRC model
-70.4102621200,43.3865343300,-33.4489280262,-4352.50,Maine ADCIRC model
-70.4102646900,43.3865363300,-33.4662228645,-4351.50,Maine ADCIRC model
-70.4102672700,43.3865383300,-33.4835317148,-4350.50,Maine ADCIRC model
-70.4102698400,43.3865403300,-33.5008265531,-4349.50,Maine ADCIRC model
-70.4102724100,43.3865423300,-33.5181213914,-4348.50,Maine ADCIRC model
-70.4102749900,43.3865443300,-33.5354302417,-4347.50,Maine ADCIRC model
-70.4102775600,43.3865463400,-33.5527935487,-4346.50,Maine ADCIRC model
-70.4102801300,43.3865483400,-33.5700883869,-4345.50,Maine ADCIRC model
-70.4102827100,43.3865503400,-33.5873972373,-4344.50,Maine ADCIRC model
-70.4102852800,43.3865523400,-33.6046920756,-4343.50,Maine ADCIRC model
-70.4102878500,43.3865543400,-33.6219869139,-4342.50,Maine ADCIRC model
-70.4102904300,43.3865563400,-33.6392957642,-4341.50,Maine ADCIRC model
-70.4102930000,43.3865583400,-33.6565906025,-4340.50,Maine ADCIRC model
-70.4102955700,43.3865603400,-33.6738854408,-4339.50,Maine ADCIRC model
-70.4102981500,43.3865623400,-33.6911942912,-4338.50,Maine ADCIRC model
-70.4103007200,43.3865643500,-33.7085575981,-4337.50,Maine ADCIRC model
