 WAVE HEIGHT COMPUTATIONS FOR FLOOD INSURANCE STUDIES (WHAFIS VERSION 4.0G, 08_2007)
 Executed on: Mon May 11 15:31:26 2020
 Input file:  C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.dat                                            
 Output file: C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.out                                            
                                                              header                                                                
                                                     THIS IS A 100-YEAR CASE
                                       THE FOLLOWING NON-DEFAULT WIND SPEEDS ARE BEING USED
                                            WINDIF  56.14  WINDOF  56.14  WINDVH  60.00
                                                             PART1 INPUT
          IF    357.500      8.113      0.000      9.065      0.000      0.000      0.000      0.000      0.014      0.000
          IF    361.000      8.005      0.000      9.065      0.000      0.000      0.000      0.000     -0.028      0.000
          IF    365.000      7.907      0.000      9.065      0.000      0.000      0.000      0.000      0.018      0.000
          IF    372.000      8.202      0.000      9.065      0.000      0.000      0.000      0.000      0.013      0.000
          IF    378.000      8.071      0.000      9.065      0.000      0.000      0.000      0.000      0.000      0.000
          IF    384.000      8.202      0.000      9.065      0.000      0.000      0.000      0.000      0.014      0.000
          IF    390.000      8.235      0.000      9.065      0.000      0.000      0.000      0.000     -0.007      0.000
          IF    394.000      8.137      0.000      9.065      0.000      0.000      0.000      0.000     -0.020      0.000
          IF    401.500      8.005      0.000      9.065      0.000      0.000      0.000      0.000     -0.019      0.000
          IF    409.500      7.841      0.000      9.065      0.000      0.000      0.000      0.000     -0.019      0.000
          IF    417.000      7.710      0.000      9.065      0.000      0.000      0.000      0.000     -0.038      0.000
          IF    422.000      7.362      0.000      9.065      0.000      0.000      0.000      0.000     -0.044      0.000
          IF    426.000      7.316      0.000      9.065      0.000      0.000      0.000      0.000     -0.026      0.000
          IF    432.500      7.087      0.000      9.065      0.000      0.000      0.000      0.000     -0.009      0.000
          IF    441.000      7.185      0.000      9.065      0.000      0.000      0.000      0.000     -0.003      0.000
          IF    457.000      7.021      0.000      9.065      0.000      0.000      0.000      0.000     -0.013      0.000
          IF    468.000      6.837      0.000      9.064      0.000      0.000      0.000      0.000     -0.011      0.000
          IF    472.500      6.857      0.000      9.064      0.000      0.000      0.000      0.000     -0.005      0.000
          IF    478.000      6.791      0.000      9.064      0.000      0.000      0.000      0.000      0.000      0.000
          IF    483.500      6.857      0.000      9.064      0.000      0.000      0.000      0.000      0.007      0.000
          IF    492.000      6.890      0.000      9.064      0.000      0.000      0.000      0.000      0.005      0.000
          IF    502.000      6.955      0.000      9.063      0.000      0.000      0.000      0.000     -0.033      0.000
          IF    513.000      6.201      0.000      9.063      0.000      0.000      0.000      0.000      0.132      0.000
          IF    518.000      9.063      0.000      9.063      0.000      0.000      0.000      0.000      0.572      0.000
          AS    530.400      9.062      0.000      9.062      0.000      0.000      0.000      0.000     -0.606      0.000
          IF    535.500      5.971      0.000      9.062      0.000      0.000      0.000      0.000     -0.187      0.000
          IF    548.500      5.676      0.000      9.062      0.000      0.000      0.000      0.000      0.026      0.000
          IF    560.000      6.608      0.000      9.061      0.000      0.000      0.000      0.000      0.083      0.000
          IF    574.500      7.841      0.000      9.061      0.000      0.000      0.000      0.000      0.051      0.000
          IF    581.500      7.710      0.000      9.061      0.000      0.000      0.000      0.000     -0.023      0.000
          IF    587.500      7.546      0.000      9.061      0.000      0.000      0.000      0.000     -0.024      0.000
          IF    595.000      7.382      0.000      9.061      0.000      0.000      0.000      0.000     -0.144      0.000
          IF    602.500      5.381      0.000      9.061      0.000      0.000      0.000      0.000     -0.164      0.000
          IF    608.000      5.249      0.000      9.061      0.000      0.000      0.000      0.000     -0.010      0.000
          IF    618.500      5.216      0.000      9.061      0.000      0.000      0.000      0.000     -0.019      0.000
          IF    630.000      4.833      0.000      9.061      0.000      0.000      0.000      0.000     -0.014      0.000
          IF    637.000      4.964      0.000      9.061      0.000      0.000      0.000      0.000      0.000      0.000
          IF    650.500      4.833      0.000      9.061      0.000      0.000      0.000      0.000     -0.004      0.000
          IF    660.500      4.865      0.000      9.062      0.000      0.000      0.000      0.000     -0.015      0.000
          IF    668.000      4.570      0.000      9.062      0.000      0.000      0.000      0.000     -0.006      0.000
          IF    677.000      4.767      0.000      9.062      0.000      0.000      0.000      0.000      0.007      0.000
          IF    688.000      4.701      0.000      9.062      0.000      0.000      0.000      0.000     -0.013      0.000
          IF    697.000      4.505      0.000      9.062      0.000      0.000      0.000      0.000      0.024      0.000
          IF    701.000      5.013      0.000      9.062      0.000      0.000      0.000      0.000      0.040      0.000
          IF    708.000      4.944      0.000      9.062      0.000      0.000      0.000      0.000     -0.041      0.000
          IF    716.000      4.406      0.000      9.063      0.000      0.000      0.000      0.000     -0.028      0.000
          IF    722.500      4.537      0.000      9.063      0.000      0.000      0.000      0.000      0.002      0.000
          IF    731.500      4.439      0.000      9.063      0.000      0.000      0.000      0.000      0.000      0.000
          IF    740.000      4.537      0.000      9.063      0.000      0.000      0.000      0.000      0.002      0.000
          IF    747.500      4.472      0.000      9.063      0.000      0.000      0.000      0.000     -0.003      0.000
          IF    752.000      4.505      0.000      9.063      0.000      0.000      0.000      0.000     -0.017      0.000
          IF    760.000      4.259      0.000      9.063      0.000      0.000      0.000      0.000     -0.066      0.000
          IF    764.500      3.684      0.000      9.063      0.000      0.000      0.000      0.000     -0.020      0.000
          IF    774.000      3.980      0.000      9.063      0.000      0.000      0.000      0.000      0.013      0.000
          IF    785.500      3.947      0.000      9.063      0.000      0.000      0.000      0.000     -0.006      0.000
          IF    797.000      3.848      0.000      9.063      0.000      0.000      0.000      0.000      0.006      0.000
          IF    808.000      4.078      0.000      9.063      0.000      0.000      0.000      0.000      0.000      0.000
          IF    825.500      3.848      0.000      9.063      0.000      0.000      0.000      0.000     -0.036      0.000
          IF    831.000      3.258      0.000      9.063      0.000      0.000      0.000      0.000     -0.025      0.000
