type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
OF,196.8,364493.44505616,4770952.70771088,-70.6646098101102,43.0791836857784,-3.356,9.440,9.79,16.29,14.03
OF,200.1,364492.442408778,4770952.7878132,-70.6646221414154,43.0791842276544,-3.272,9.445,9.73,16.25,14.03
OF,203.4,364491.439761397,4770952.86791551,-70.6646344727208,43.0791847695291,-3.187,9.450,9.67,16.22,14.03
OF,206.7,364490.437114016,4770952.94801783,-70.6646468040263,43.0791853114025,-3.103,9.454,9.61,16.18,14.03
OF,210,364489.434466634,4770953.02812014,-70.6646591353321,43.0791858532745,-3.019,9.459,9.55,16.14,14.03
OF,213.3,364488.431819253,4770953.10822246,-70.664671466638,43.0791863951452,-2.934,9.464,9.49,16.10,14.03
OF,216.5,364487.459555125,4770953.18589743,-70.6646834242682,43.0791869205943,-2.850,9.468,9.43,16.07,14.03
OF,219.8,364486.456907744,4770953.26599975,-70.6646957555745,43.0791874624624,-2.766,9.472,9.37,16.03,14.03
OF,223.1,364485.454260362,4770953.34610207,-70.6647080868809,43.0791880043291,-2.681,9.477,9.31,15.99,14.03
OF,226.4,364484.451612981,4770953.42620438,-70.6647204181875,43.0791885461945,-2.597,9.481,9.25,15.95,14.03
OF,229.7,364483.448965599,4770953.5063067,-70.6647327494943,43.0791890880586,-2.513,9.486,9.19,15.92,14.03
OF,232.9,364482.476701472,4770953.58398167,-70.6647447071254,43.0791896135012,-2.428,9.490,9.13,15.88,14.03
OF,236.2,364481.47405409,4770953.66408399,-70.6647570384325,43.0791901553627,-2.344,9.494,9.07,15.84,14.03
OF,239.5,364480.471406709,4770953.74418631,-70.6647693697398,43.0791906972228,-2.260,9.498,9.01,15.80,14.03
OF,242.8,364479.468759327,4770953.82428862,-70.6647817010473,43.0791912390816,-2.176,9.502,8.95,15.76,14.03
OF,246.1,364478.466111946,4770953.90439094,-70.664794032355,43.079191780939,-2.091,9.507,8.89,15.73,14.03
OF,249.3,364477.493847818,4770953.98206591,-70.6648059899869,43.0791923063752,-2.007,9.511,8.83,15.69,14.03
OF,252.6,364476.491200437,4770954.06216823,-70.6648183212949,43.0791928482301,-1.923,9.516,8.77,15.65,14.03
OF,255.9,364475.488553056,4770954.14227055,-70.6648306526031,43.0791933900835,-1.838,9.520,8.70,15.61,14.03
OF,259.2,364474.485905674,4770954.22237286,-70.6648429839115,43.0791939319357,-1.754,9.524,8.64,15.58,14.03
OF,262.5,364473.483258293,4770954.30247518,-70.6648553152201,43.0791944737865,-1.670,9.528,8.58,15.54,14.03
OF,265.7,364472.510994165,4770954.38015015,-70.6648672728528,43.0791949992163,-1.586,9.532,8.52,15.50,14.03
OF,269,364471.508346784,4770954.46025247,-70.6648796041617,43.0791955410645,-1.501,9.537,8.46,15.46,14.03
OF,272.3,364470.505699402,4770954.54035479,-70.6648919354707,43.0791960829114,-1.417,9.541,8.40,15.42,14.03
OF,275.6,364469.503052021,4770954.6204571,-70.66490426678,43.0791966247569,-1.333,9.545,8.34,15.39,14.03
OF,278.9,364468.500404639,4770954.70055942,-70.6649165980894,43.0791971666011,-1.248,9.549,8.28,15.35,14.03
OF,282.2,364467.497757258,4770954.78066174,-70.6649289293991,43.079197708444,-1.164,9.554,8.22,15.31,14.03
OF,285.4,364466.52549313,4770954.85833671,-70.6649408870328,43.0791982338661,-1.080,9.558,8.16,15.27,14.03
OF,288.7,364465.522845749,4770954.93843903,-70.6649532183427,43.0791987757063,-0.995,9.562,8.10,15.23,14.03
OF,292,364464.520198367,4770955.01854134,-70.6649655496529,43.0791993175452,-0.911,9.566,8.04,15.19,14.03
OF,295.3,364463.517550986,4770955.09864366,-70.6649778809632,43.0791998593828,-0.235,9.561,7.53,14.83,14.03
IF,298.6,364462.514903604,4770955.17874598,-70.6649902122737,43.079200401219,0.053,9.564,7.31,14.68,14.03
IF,301.8,364461.542639477,4770955.25642095,-70.6650021699082,43.0792009266347,0.090,9.572,7.29,14.67,14.03
IF,305.1,364460.539992095,4770955.33652327,-70.6650145012191,43.0792014684683,0.041,9.581,7.30,14.69,14.03
IF,308.4,364459.537344714,4770955.41662558,-70.6650268325301,43.0792020103006,0.033,9.588,7.30,14.70,14.03
OF,311.7,364458.534697333,4770955.4967279,-70.6650391638413,43.0792025521315,-0.067,9.597,7.33,14.73,14.03
IF,315,364457.532049951,4770955.57683022,-70.6650514951526,43.0792030939611,0.143,9.600,7.27,14.69,14.03
IF,318.2,364456.559785824,4770955.65450519,-70.6650634527881,43.0792036193704,0.133,9.607,7.27,14.70,14.03
OF,321.5,364455.557138442,4770955.73460751,-70.6650757840998,43.0792041611974,-0.123,9.616,7.33,14.74,14.03
OF,324.8,364454.554491061,4770955.81470982,-70.6650881154116,43.079204703023,-0.036,9.620,7.31,14.74,14.03
IF,328.1,364453.551843679,4770955.89481214,-70.6651004467237,43.0792052448473,0.412,9.619,7.08,14.57,14.03
IF,331.4,364452.549196298,4770955.97491446,-70.665112778036,43.0792057866703,0.569,9.623,6.96,14.50,14.03
IF,334.6,364451.57693217,4770956.05258943,-70.6651247356722,43.0792063120731,0.962,9.623,6.67,14.29,14.03
IF,337.9,364450.574284789,4770956.13269175,-70.6651370669848,43.0792068538935,1.124,9.628,6.55,14.21,14.03
IF,341.2,364449.571637407,4770956.21279406,-70.6651493982976,43.0792073957125,1.138,9.636,6.54,14.22,14.03
IF,344.5,364448.568990026,4770956.29289638,-70.6651617296105,43.0792079375302,1.193,9.643,6.50,14.20,14.03
IF,347.8,364447.566342644,4770956.3729987,-70.6651740609236,43.0792084793466,1.676,9.642,6.14,13.94,14.03
IF,351,364446.594078517,4770956.45067367,-70.6651860185608,43.079209004743,1.831,9.649,6.02,13.87,14.03
IF,354.3,364445.591431135,4770956.53077599,-70.6651983498742,43.0792095465568,2.015,9.656,5.89,13.78,14.03
IF,357.6,364444.588783754,4770956.6108783,-70.6652106811879,43.0792100883692,2.074,9.665,5.85,13.76,14.03
IF,360.9,364443.586136373,4770956.69098062,-70.6652230125017,43.0792106301802,2.152,9.674,5.80,13.73,14.03
IF,364.2,364442.583488991,4770956.77108294,-70.6652353438157,43.07921117199,2.334,9.680,5.66,13.65,14.03
IF,367.5,364441.58084161,4770956.85118525,-70.6652476751298,43.0792117137984,2.488,9.688,5.55,13.58,14.03
IF,370.7,364440.608577482,4770956.92886023,-70.665259632768,43.079212239187,2.650,9.695,5.44,13.50,14.03
IF,374,364439.605930101,4770957.00896254,-70.6652719640825,43.0792127809928,2.935,9.701,5.22,13.36,14.03
IF,377.3,364438.603282719,4770957.08906486,-70.6652842953972,43.0792133227973,3.146,9.708,5.07,13.25,14.03
IF,380.6,364437.600635338,4770957.16916718,-70.665296626712,43.0792138646004,3.375,9.717,4.90,13.15,14.03
IF,383.9,364436.597987956,4770957.24926949,-70.6653089580271,43.0792144064022,3.513,9.728,4.80,13.09,14.03
IF,387.1,364435.625723829,4770957.32694447,-70.6653209156661,43.0792149317844,3.577,9.741,4.76,13.07,14.03
IF,390.4,364434.623076447,4770957.40704678,-70.6653332469815,43.0792154735836,4.051,9.745,4.40,12.83,14.03
IF,393.7,364433.620429066,4770957.4871491,-70.665345578297,43.0792160153814,4.266,9.756,4.25,12.73,14.03
IF,397,364432.617781684,4770957.56725142,-70.6653579096128,43.0792165571779,4.850,9.760,3.80,12.42,14.03
IF,400.3,364431.615134303,4770957.64735373,-70.6653702409287,43.079217098973,5.233,9.777,3.52,12.24,14.03
IF,403.5,364430.642870175,4770957.72502871,-70.6653821985685,43.0792176243489,5.517,9.799,3.32,12.12,14.03
IF,406.8,364429.640222794,4770957.80513102,-70.6653945298848,43.0792181661414,6.050,9.815,2.92,11.86,14.03
IF,410.1,364428.637575413,4770957.88523334,-70.6654068612012,43.0792187079326,6.811,9.832,2.35,11.47,14.03
IF,413.4,364427.634928031,4770957.96533566,-70.6654191925178,43.0792192497225,7.598,9.968,1.84,11.26,14.03
IF,416.7,364426.63228065,4770958.04543797,-70.6654315238346,43.079219791511,8.066,10.101,1.58,11.21,14.03
IF,419.9,364425.660016522,4770958.12311295,-70.6654434814753,43.0792203168804,8.580,10.234,1.29,11.13,14.03
IF,423.2,364424.657369141,4770958.20321526,-70.6654558127925,43.0792208586663,8.906,10.326,1.11,11.10,14.03
IF,430,364422.59130787,4770958.36827458,-70.6654812227799,43.0792219750694,9.877,10.326,0.35,10.57,14.03
IF,431,364422.28747533,4770958.39254801,-70.6654849595428,43.0792221392459,10.058,10.326,0.21,10.47,14.03
IF,432.5,364421.83172652,4770958.42895815,-70.6654905646872,43.0792223855103,10.326,10.326,0.01,10.33,14.03
AS,1535.1,364086.825968095,4770985.19284125,-70.6696107293447,43.0794033317858,9.461,9.461,0.00,9.46,0.00
IF,1538,364085.94485373,4770985.2632342,-70.6696215660091,43.0794038075048,9.289,9.461,0.03,9.48,0.21
IF,1541,364085.03335611,4770985.33605449,-70.6696327763516,43.0794042996269,9.298,9.461,0.05,9.49,0.26
IF,1557,364080.172035473,4770985.72442935,-70.6696925648476,43.0794069242595,7.984,9.461,0.11,9.54,0.39
IF,1558,364079.868202933,4770985.74870278,-70.6696963016288,43.079407088298,8.012,9.461,0.12,9.54,0.40
IF,1565,364077.741375154,4770985.91861679,-70.6697224590972,43.079408236564,8.829,9.461,0.14,9.56,0.44
IF,1574,364075.006882295,4770986.13707765,-70.6697560901292,43.0794097128972,8.451,9.461,0.17,9.58,0.48
IF,1575,364074.703049756,4770986.16135108,-70.6697598269106,43.0794098769336,8.328,9.461,0.17,9.58,0.48
IF,1586,364071.360891817,4770986.4283588,-70.6698009315072,43.0794116813261,8.180,9.461,0.20,9.60,0.52
IF,1587,364071.057059278,4770986.45263223,-70.6698046682888,43.079411845361,8.190,9.461,0.20,9.60,0.52
IF,1598,364067.714901339,4770986.71963995,-70.6698457728876,43.0794136497373,8.989,9.461,0.21,9.61,0.56
IF,1607,364064.980408481,4770986.93810082,-70.6698794039244,43.0794151260342,8.280,9.461,0.25,9.64,0.58
IF,1608,364064.676575941,4770986.96237425,-70.6698831407063,43.0794152900666,8.165,9.461,0.25,9.64,0.59
IF,1621,364060.726752923,4770987.27792883,-70.6699317188731,43.0794174224763,8.296,9.461,0.28,9.66,0.62
IF,1622,364060.422920383,4770987.30220226,-70.6699354556552,43.0794175865069,8.332,9.461,0.28,9.66,0.62
IF,1631,364057.688427525,4770987.52066312,-70.6699690866955,43.0794190627773,8.524,9.461,0.30,9.67,0.64
IF,1632,364057.384594985,4770987.54493655,-70.6699728234779,43.0794192268068,8.411,9.461,0.30,9.67,0.64
IF,1641,364054.650102126,4770987.76339741,-70.6700064545196,43.0794207030662,8.375,9.461,0.32,9.68,0.66
IF,1643,364054.042437047,4770987.81194427,-70.6700139280846,43.0794210311225,8.371,9.461,0.32,9.69,0.67
IF,1650,364051.915609268,4770987.98185827,-70.6700400855626,43.0794221793157,8.368,9.461,0.33,9.70,0.68
IF,1652,364051.307944188,4770988.03040513,-70.670047559128,43.0794225073698,8.269,9.461,0.34,9.70,0.69
IF,1659,364049.181116409,4770988.20031914,-70.670073716607,43.0794236555553,7.863,9.461,0.36,9.71,0.70
IF,1660,364048.877283869,4770988.22459257,-70.6700774533898,43.0794238195813,7.886,9.461,0.36,9.71,0.70
IF,1679,364043.104465612,4770988.68578772,-70.6701484522658,43.0794269360521,8.753,9.461,0.34,9.70,0.73
IF,1688,364040.369972754,4770988.90424859,-70.6701820833144,43.0794284122598,7.717,9.461,0.41,9.75,0.75
IF,1689,364040.066140214,4770988.92852202,-70.6701858200976,43.0794285762822,7.595,9.461,0.41,9.75,0.75
IF,1703,364035.812484656,4770989.26835003,-70.6702381350649,43.0794308725838,8.110,9.461,0.43,9.76,0.77
IF,1704,364035.508652117,4770989.29262345,-70.6702418718484,43.0794310366044,8.140,9.461,0.43,9.76,0.77
IF,1719,364030.951164019,4770989.65672489,-70.6702979236028,43.079433496899,8.459,9.461,0.43,9.76,0.80
IF,1720,364030.647331479,4770989.68099832,-70.6703016603866,43.0794336609177,8.406,9.461,0.43,9.76,0.80
IF,1737,364025.482178302,4770990.09364662,-70.6703651857129,43.0794364492162,8.413,9.461,0.45,9.78,0.82
IF,1738,364025.178345762,4770990.11792005,-70.6703689224969,43.0794366132327,8.411,9.461,0.45,9.78,0.82
IF,1749,364021.836187824,4770990.38492777,-70.6704100271225,43.0794384174056,8.263,9.461,0.48,9.80,0.84
IF,1751,364021.228522744,4770990.43347463,-70.670417500691,43.0794387454355,8.171,9.461,0.49,9.80,0.84
IF,1767,364016.367202107,4770990.8218495,-70.6704772892413,43.0794413696567,8.113,9.461,0.51,9.82,0.86
IF,1768,364016.063369567,4770990.84612293,-70.6704810260258,43.0794415336695,8.103,9.461,0.52,9.82,0.86
IF,1785,364010.89821639,4770991.25877122,-70.6705445513653,43.0794443218682,8.276,9.461,0.52,9.82,0.88
IF,1790,364009.37905369,4770991.38013837,-70.6705632352896,43.0794451419198,8.391,9.461,0.50,9.81,0.89
IF,1796,364007.556058451,4770991.52577895,-70.6705856559993,43.0794461259778,8.189,9.461,0.54,9.84,0.89
IF,1804,364005.125398133,4770991.71996638,-70.6706155502797,43.0794474380483,7.986,9.461,0.57,9.86,0.90
IF,1805,364004.821565593,4770991.74423981,-70.6706192870648,43.0794476020566,7.956,9.461,0.57,9.86,0.90
IF,1812,364002.694737814,4770991.91415381,-70.6706454445612,43.0794487501109,8.159,9.461,0.56,9.85,0.91
IF,1816,364001.479407655,4770992.01124753,-70.6706603917023,43.0794494061393,7.802,9.461,0.59,9.87,0.92
IF,1824,363999.048747336,4770992.20543497,-70.6706902859854,43.0794507181902,7.438,9.461,0.62,9.89,0.92
IF,1825,363998.744914796,4770992.22970839,-70.6706940227708,43.079450882196,7.426,9.461,0.62,9.89,0.93
IF,1834,363996.010421938,4770992.44816926,-70.6707276538406,43.0794523582428,8.119,9.461,0.58,9.87,0.94
IF,1835,363995.706589398,4770992.47244269,-70.6707313906262,43.0794525222474,8.110,9.461,0.59,9.87,0.94
IF,1848,363991.75676638,4770992.78799727,-70.6707799688407,43.0794546542958,8.262,9.461,0.57,9.86,0.95
IF,1849,363991.45293384,4770992.8122707,-70.6707837056265,43.0794548182987,8.255,9.461,0.57,9.86,0.95
IF,1862,363987.503110822,4770993.12782528,-70.6708322838439,43.0794569503249,8.273,9.461,0.58,9.87,0.96
IF,1868,363985.680115583,4770993.27346585,-70.6708547045605,43.07945793433,9.012,9.461,0.30,9.67,0.97
IF,1869,363985.376283043,4770993.29773928,-70.6708584413467,43.0794580983304,9.150,9.461,0.22,9.61,0.97
IF,1870.9,363984.799001218,4770993.3438588,-70.6708655412404,43.0794584099309,9.461,9.461,0.01,9.47,0.97
