X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-70.4307222800,43.3508718400,-33.7261352228,-5323.00,-33.7261352227739,21.6208850003274,8.77885526717136,13.5323996961044,91.6199807474173,90
-70.4307223600,43.3508745900,-33.7071103464,-5322.00,-33.7071103464426,21.6197619928945,8.77893249980374,13.532971006386,91.6199807474173,90
-70.4307224300,43.3508773300,-33.6881263782,-5321.00,-33.6881263782298,21.6186136364385,8.7790095450805,13.5335378046121,91.6199807474173,90
-70.4307225100,43.3508800700,-33.6691715303,-5320.00,-33.6691715303169,21.6174955945003,8.77908649406607,13.5341071103452,91.6199807474173,90
-70.4307225900,43.3508828100,-33.6502166824,-5319.00,-33.6502166824454,21.6163775526052,8.7791634430515,13.5346764160819,91.6199807474173,90
-70.4307226700,43.3508855600,-33.6311918060,-5318.00,-33.631191806023,21.6152545451258,8.77924067568422,13.5352477263614,91.6199807474173,90
-70.4307227400,43.3508883000,-33.6122078379,-5317.00,-33.6122078378599,21.6141061886733,8.77931772096078,13.5358145245861,91.6199807474173,90
-70.4307228200,43.3508910400,-33.5932529900,-5316.00,-33.5932529899885,21.6129881467782,8.77939466994621,13.5363838303228,91.6199807474173,90
-70.4307229000,43.3508937900,-33.5742281136,-5315.00,-33.5742281136074,21.6118651393418,8.7794719025788,13.5369551406058,91.6199807474173,90
-70.4307229800,43.3508965300,-33.5552732657,-5314.00,-33.5552732656945,21.6107470974036,8.77954885156437,13.5375244463389,91.6199807474173,90
-70.4307230600,43.3508992700,-33.5363184178,-5313.00,-33.5363184178231,21.6096290555085,8.7796258005498,13.5380937520756,91.6199807474173,90
-70.4307231300,43.3509020100,-33.5173344497,-5312.00,-33.51733444966,21.608480699056,8.77970284582636,13.5386605503003,91.6199807474173,90
-70.4307232100,43.3509047600,-33.4983095732,-5311.00,-33.4983095732375,21.6073576915766,8.77978007845908,13.5392318605798,91.6199807474173,90
-70.4307232900,43.3509075000,-33.4793547254,-5310.00,-33.4793547253661,21.6062396496814,8.77985702744451,13.5398011663165,91.6199807474173,90
-70.4307233700,43.3509102400,-33.4603998775,-5309.00,-33.4603998774532,21.6051216077432,8.77993397643008,13.5403704720496,91.6199807474173,90
-70.4307234400,43.3509129800,-33.4414159093,-5308.00,-33.4414159092902,21.6039732512908,8.78001102170664,13.5409372702743,91.6199807474173,90
-70.4307235200,43.3509157300,-33.4223910329,-5307.00,-33.4223910329091,21.6028502438544,8.78008825433922,13.5415085805573,91.6199807474173,90
-70.4307236000,43.3509184700,-33.4034361849,-5306.00,-33.4034361849465,21.6017322019127,8.78016520332499,13.5420778862918,91.6199807474173,90
