X,Y,Z,STA
 -70.6599514863,   43.0811044225, -30.0047, -1734.00
 -70.6599537310,   43.0811066177, -29.9879, -1733.00
 -70.6599559757,   43.0811088130, -29.9712, -1732.00
 -70.6599582204,   43.0811110083, -29.9544, -1731.00
 -70.6599604652,   43.0811132035, -29.9377, -1730.00
 -70.6599627136,   43.0811153988, -29.9210, -1729.00
 -70.6599649584,   43.0811175940, -29.9042, -1728.00
 -70.6599672031,   43.0811197893, -29.8875, -1727.00
 -70.6599694478,   43.0811219846, -29.8707, -1726.00
 -70.6599716925,   43.0811241798, -29.8540, -1725.00
 -70.6599739373,   43.0811263751, -29.8373, -1724.00
 -70.6599761820,   43.0811285704, -29.8205, -1723.00
 -70.6599784267,   43.0811307656, -29.8038, -1722.00
 -70.6599806752,   43.0811329609, -29.7870, -1721.00
 -70.6599829199,   43.0811351562, -29.7703, -1720.00
 -70.6599851646,   43.0811373514, -29.7536, -1719.00
 -70.6599874094,   43.0811395467, -29.7368, -1718.00
 -70.6599896541,   43.0811417420, -29.7201, -1717.00
 -70.6599918988,   43.0811439372, -29.7033, -1716.00
 -70.6599941435,   43.0811461325, -29.6866, -1715.00
 -70.6599963883,   43.0811483278, -29.6699, -1714.00
 -70.6599986367,   43.0811505230, -29.6531, -1713.00
 -70.6600008815,   43.0811527183, -29.6364, -1712.00
 -70.6600031262,   43.0811549135, -29.6196, -1711.00
 -70.6600053709,   43.0811571088, -29.6029, -1710.00
 -70.6600076157,   43.0811593041, -29.5862, -1709.00
 -70.6600098604,   43.0811614993, -29.5694, -1708.00
 -70.6600121051,   43.0811636946, -29.5527, -1707.00
 -70.6600143499,   43.0811658899, -29.5359, -1706.00
 -70.6600165946,   43.0811680851, -29.5192, -1705.00
 -70.6600188431,   43.0811702804, -29.5025, -1704.00
 -70.6600210878,   43.0811724757, -29.4857, -1703.00
 -70.6600233325,   43.0811746709, -29.4690, -1702.00
 -70.6600255772,   43.0811768662, -29.4522, -1701.00
 -70.6600278220,   43.0811790614, -29.4355, -1700.00
 -70.6600300667,   43.0811812567, -29.4188, -1699.00
 -70.6600323114,   43.0811834520, -29.4020, -1698.00
 -70.6600345562,   43.0811856472, -29.3853, -1697.00
 -70.6600368046,   43.0811878425, -29.3685, -1696.00
 -70.6600390494,   43.0811900378, -29.3518, -1695.00
 -70.6600412941,   43.0811922330, -29.3351, -1694.00
 -70.6600435388,   43.0811944283, -29.3183, -1693.00
 -70.6600457836,   43.0811966236, -29.3016, -1692.00
 -70.6600480283,   43.0811988188, -29.2848, -1691.00
 -70.6600502730,   43.0812010141, -29.2681, -1690.00
