X,Y,Z,STA
 -70.6556250539,   43.0787885058, -35.4706, -2506.00
 -70.6556287907,   43.0787886703, -35.4060, -2505.00
 -70.6556325274,   43.0787888347, -35.3415, -2504.00
 -70.6556362604,   43.0787889992, -35.2769, -2503.00
 -70.6556399971,   43.0787891637, -35.2124, -2502.00
 -70.6556437338,   43.0787893282, -35.1479, -2501.00
 -70.6556474706,   43.0787894926, -35.0833, -2500.00
 -70.6556512073,   43.0787896571, -35.0188, -2499.00
 -70.6556549440,   43.0787898216, -34.9542, -2498.00
 -70.6556586770,   43.0787899860, -34.8897, -2497.00
 -70.6556624138,   43.0787901505, -34.8252, -2496.00
 -70.6556661505,   43.0787903150, -34.7606, -2495.00
 -70.6556698872,   43.0787904794, -34.6961, -2494.00
 -70.6556736239,   43.0787906439, -34.6315, -2493.00
 -70.6556773607,   43.0787908084, -34.5670, -2492.00
 -70.6556810937,   43.0787909729, -34.5025, -2491.00
 -70.6556848304,   43.0787911373, -34.4379, -2490.00
 -70.6556885671,   43.0787913018, -34.3734, -2489.00
 -70.6556923038,   43.0787914663, -34.3088, -2488.00
 -70.6556960406,   43.0787916307, -34.2443, -2487.00
 -70.6556997773,   43.0787917952, -34.1798, -2486.00
 -70.6557035103,   43.0787919597, -34.1152, -2485.00
 -70.6557072470,   43.0787921242, -34.0507, -2484.00
 -70.6557109837,   43.0787922886, -33.9861, -2483.00
 -70.6557147205,   43.0787924531, -33.9216, -2482.00
 -70.6557184572,   43.0787926176, -33.8571, -2481.00
 -70.6557221939,   43.0787927820, -33.7925, -2480.00
 -70.6557259269,   43.0787929465, -33.7280, -2479.00
 -70.6557296636,   43.0787931110, -33.6860, -2478.00
 -70.6557334004,   43.0787932754, -33.6587, -2477.00
 -70.6557371371,   43.0787934399, -33.6314, -2476.00
 -70.6557408738,   43.0787936044, -33.6041, -2475.00
 -70.6557446106,   43.0787937688, -33.5768, -2474.00
 -70.6557483436,   43.0787939333, -33.5495, -2473.00
 -70.6557520803,   43.0787940978, -33.5222, -2472.00
 -70.6557558170,   43.0787942623, -33.4949, -2471.00
 -70.6557595537,   43.0787944267, -33.4676, -2470.00
 -70.6557632905,   43.0787945912, -33.4403, -2469.00
 -70.6557670272,   43.0787947557, -33.4130, -2468.00
 -70.6557707602,   43.0787949201, -33.3857, -2467.00
 -70.6557744969,   43.0787950846, -33.3584, -2466.00
 -70.6557782336,   43.0787952491, -33.3311, -2465.00
 -70.6557819704,   43.0787954135, -33.3038, -2464.00
 -70.6557857071,   43.0787955780, -33.2765, -2463.00
 -70.6557894438,   43.0787957425, -33.2492, -2462.00
 -70.6557931768,   43.0787959069, -33.2219, -2461.00
 -70.6557969136,   43.0787960714, -33.1946, -2460.00
 -70.6558006503,   43.0787962359, -33.1673, -2459.00
 -70.6558043870,   43.0787964003, -33.1400, -2458.00
 -70.6558081237,   43.0787965648, -33.1127, -2457.00
 -70.6558118605,   43.0787967292, -33.0854, -2456.00
 -70.6558155935,   43.0787968937, -33.0581, -2455.00
 -70.6558193302,   43.0787970582, -33.0308, -2454.00
 -70.6558230669,   43.0787972226, -33.0035, -2453.00
 -70.6558268036,   43.0787973871, -32.9762, -2452.00
 -70.6558305404,   43.0787975516, -32.9489, -2451.00
 -70.6558342771,   43.0787977160, -32.9216, -2450.00
 -70.6558380101,   43.0787978805, -32.8943, -2449.00
 -70.6558417468,   43.0787980450, -32.8670, -2448.00
 -70.6558454836,   43.0787982094, -32.8724, -2447.00
 -70.6558492203,   43.0787983739, -32.9171, -2446.00
 -70.6558529570,   43.0787985384, -32.9618, -2445.00
 -70.6558566937,   43.0787987028, -33.0065, -2444.00
 -70.6558604267,   43.0787988673, -33.0512, -2443.00
 -70.6558641635,   43.0787990318, -33.0958, -2442.00
 -70.6558679002,   43.0787991962, -33.1405, -2441.00
 -70.6558716369,   43.0787993607, -33.1852, -2440.00
 -70.6558753737,   43.0787995252, -33.2299, -2439.00
 -70.6558791104,   43.0787996896, -33.2746, -2438.00
 -70.6558828471,   43.0787998541, -33.3193, -2437.00
 -70.6558865801,   43.0788000186, -33.3639, -2436.00
 -70.6558903168,   43.0788001830, -33.4086, -2435.00
 -70.6558940536,   43.0788003475, -33.4533, -2434.00
 -70.6558977903,   43.0788005119, -33.4980, -2433.00
 -70.6559015270,   43.0788006764, -33.5427, -2432.00
 -70.6559052638,   43.0788008409, -33.5874, -2431.00
 -70.6559089967,   43.0788010053, -33.6321, -2430.00
 -70.6559127335,   43.0788011698, -33.6767, -2429.00
 -70.6559164702,   43.0788013343, -33.7214, -2428.00
 -70.6559202069,   43.0788014987, -33.7661, -2427.00
 -70.6559239437,   43.0788016632, -33.8108, -2426.00
 -70.6559276804,   43.0788018276, -33.8555, -2425.00
 -70.6559314134,   43.0788019921, -33.9002, -2424.00
 -70.6559351501,   43.0788021566, -33.9448, -2423.00
 -70.6559388868,   43.0788023210, -33.9895, -2422.00
