name,x1,y1,x2,y2
CM-144-1,-69.96409771,43.76188615,-69.96595655,43.76239309
CM-158-1,-69.89120048,43.78876209,-69.89321155,43.78863353
CM-158-2,-69.90147349,43.78915219,-69.89436638,43.78738765
