X,Y,Z,STA,source
-70.5709277200,43.3153276200,4.2322836000,2934.50,2011USACEMaine
-70.5709401800,43.3153307100,4.5275592000,2938.00,2011USACEMaine
-70.5709508600,43.3153333500,4.1010500000,2941.00,2011USACEMaine
-70.5709579800,43.3153351100,4.6916012000,2943.00,2011USACEMaine
-70.5709704300,43.3153381950,4.7572180000,2946.50,2011USACEMaine
-70.5709882300,43.3153426000,4.6916012000,2951.50,2011USACEMaine
-70.5710006800,43.3153456800,4.8228348000,2955.00,2011USACEMaine
-70.5710149200,43.3153492100,4.8556432000,2959.00,2011USACEMaine
-70.5710433933,43.3153562556,5.1509188000,2967.00,2011USACEMaine
-70.5710647500,43.3153615400,4.9212600000,2973.00,2011USACEMaine
-70.5710736500,43.3153637400,5.1509188000,2975.50,2011USACEMaine
-70.5710950000,43.3153690300,5.0853020000,2981.50,2011USACEMaine
-70.5711145800,43.3153738700,5.1509188000,2987.00,2011USACEMaine
-70.5711288100,43.3153774000,4.8556432000,2991.00,2011USACEMaine
-70.5711608433,43.3153853278,3.8713912000,3000.00,2011USACEMaine
-70.5711910967,43.3153928167,3.4120736000,3008.50,2011USACEMaine
-70.5712071100,43.3153967800,3.5104988000,3013.00,2011USACEMaine
-70.5712160100,43.3153989800,3.6417324000,3015.50,2011USACEMaine
-70.5712320267,43.3154029500,3.8057744000,3020.00,2011USACEMaine
-70.5712516000,43.3154077900,4.0354332000,3025.50,2011USACEMaine
-70.5712711767,43.3154126400,3.8057744000,3031.00,2011USACEMaine
-70.5712854100,43.3154161600,3.7401576000,3035.00,2011USACEMaine
-70.5713032100,43.3154205680,4.0354332000,3040.00,2011USACEMaine
-70.5713227800,43.3154254100,4.3307088000,3045.50,2011USACEMaine
-70.5713405800,43.3154298200,4.9868768000,3050.50,2011USACEMaine
-70.5713654913,43.3154359825,4.7572180000,3057.50,2011USACEMaine
-70.5713975238,43.3154439113,4.9868768000,3066.50,2011USACEMaine
-70.5714242200,43.3154505200,5.0524936000,3074.00,2011USACEMaine
-70.5714491300,43.3154566871,4.8556432000,3081.00,2011USACEMaine
-70.5714758233,43.3154632917,4.8228348000,3088.50,2011USACEMaine
-70.5715096355,43.3154716627,4.6916012000,3098.00,2011USACEMaine
-70.5715487856,43.3154813533,4.6259844000,3109.00,2011USACEMaine
-70.5715772600,43.3154884000,4.5603676000,3117.00,2011USACEMaine
-70.5716057311,43.3154954489,4.5275592000,3125.00,2011USACEMaine
-70.5716395425,43.3155038188,-1.0170604000,3134.50,2011USACEMaine
-70.5716644600,43.3155099850,-1.4435696000,3141.50,2011USACEMaine
-70.5716804700,43.3155139500,-1.3779528000,3146.00,2011USACEMaine
-70.5717018286,43.3155192343,-1.1811024000,3152.00,2011USACEMaine
-70.5717196200,43.3155236400,-1.2467192000,3157.00,2011USACEMaine
