X,Y,Z,STA,source
-69.9011750400,43.7890781100,-9.8241703352,-1805.50,Maine ADCIRC model
-69.9011714600,43.7890772200,-9.8231620832,-1804.50,Maine ADCIRC model
-69.9011678700,43.7890763300,-9.8221539285,-1803.50,Maine ADCIRC model
-69.9011642900,43.7890754400,-9.8211456765,-1802.50,Maine ADCIRC model
-69.9011607100,43.7890745500,-9.8201374244,-1801.50,Maine ADCIRC model
-69.9011571200,43.7890736600,-9.8191292698,-1800.50,Maine ADCIRC model
-69.9011535400,43.7890727700,-9.8181210177,-1799.50,Maine ADCIRC model
-69.9011499600,43.7890718800,-9.8171127657,-1798.50,Maine ADCIRC model
-69.9011463700,43.7890709900,-9.8161046111,-1797.50,Maine ADCIRC model
-69.9011427900,43.7890701000,-9.8150963590,-1796.50,Maine ADCIRC model
-69.9011392100,43.7890692100,-9.8140881070,-1795.50,Maine ADCIRC model
-69.9011356200,43.7890683200,-9.8130799523,-1794.50,Maine ADCIRC model
-69.9011320400,43.7890674400,-9.8120834207,-1793.50,Maine ADCIRC model
-69.9011284500,43.7890665500,-9.8110752661,-1792.50,Maine ADCIRC model
-69.9011248700,43.7890656600,-9.8100670140,-1791.50,Maine ADCIRC model
-69.9011212900,43.7890647700,-9.8090587620,-1790.50,Maine ADCIRC model
-69.9011177000,43.7890638800,-9.8080506073,-1789.50,Maine ADCIRC model
-69.9011141200,43.7890629900,-9.8070423553,-1788.50,Maine ADCIRC model
-69.9011105400,43.7890621000,-9.8060341033,-1787.50,Maine ADCIRC model
-69.9011069500,43.7890612100,-9.8050259486,-1786.50,Maine ADCIRC model
-69.9011033700,43.7890603200,-9.8040176966,-1785.50,Maine ADCIRC model
-69.9010997900,43.7890594300,-9.8030094445,-1784.50,Maine ADCIRC model
-69.9010962000,43.7890585400,-9.8020012899,-1783.50,Maine ADCIRC model
-69.9010926200,43.7890576500,-9.8009930378,-1782.50,Maine ADCIRC model
-69.9010890400,43.7890567600,-9.7999847858,-1781.50,Maine ADCIRC model
-69.9010854500,43.7890558700,-9.7989766311,-1780.50,Maine ADCIRC model
-69.9010818700,43.7890549800,-9.7979683791,-1779.50,Maine ADCIRC model
-69.9010782900,43.7890540900,-9.7969601271,-1778.50,Maine ADCIRC model
-69.9010747000,43.7890532000,-9.7959519724,-1777.50,Maine ADCIRC model
-69.9010711200,43.7890523100,-9.7949437204,-1776.50,Maine ADCIRC model
-69.9010675300,43.7890514200,-9.7939355657,-1775.50,Maine ADCIRC model
-69.9010639500,43.7890505300,-9.7929273137,-1774.50,Maine ADCIRC model
-69.9010603700,43.7890496400,-9.7919190616,-1773.50,Maine ADCIRC model
-69.9010567800,43.7890487500,-9.7909109070,-1772.50,Maine ADCIRC model
-69.9010532000,43.7890478600,-9.7899026549,-1771.50,Maine ADCIRC model
-69.9010496200,43.7890469700,-9.7888944029,-1770.50,Maine ADCIRC model
-69.9010460300,43.7890460800,-9.7878862482,-1769.50,Maine ADCIRC model
-69.9010424500,43.7890452000,-9.7868897166,-1768.50,Maine ADCIRC model
-69.9010388700,43.7890443100,-9.7858814646,-1767.50,Maine ADCIRC model
-69.9010352800,43.7890434200,-9.7848733100,-1766.50,Maine ADCIRC model
-69.9010317000,43.7890425300,-9.7838650579,-1765.50,Maine ADCIRC model
-69.9010281200,43.7890416400,-9.7828568059,-1764.50,Maine ADCIRC model
-69.9010245300,43.7890407500,-9.7818486512,-1763.50,Maine ADCIRC model
-69.9010209500,43.7890398600,-9.7808403992,-1762.50,Maine ADCIRC model
-69.9010173600,43.7890389700,-9.7798322445,-1761.50,Maine ADCIRC model
-69.9010137800,43.7890380800,-9.7788239925,-1760.50,Maine ADCIRC model
-69.9010102000,43.7890371900,-9.7778157404,-1759.50,Maine ADCIRC model
-69.9010066100,43.7890363000,-9.7768075858,-1758.50,Maine ADCIRC model
-69.9010030300,43.7890354100,-9.7757993337,-1757.50,Maine ADCIRC model
-69.9009994500,43.7890345200,-9.7747910817,-1756.50,Maine ADCIRC model
-69.9009958600,43.7890336300,-9.7737829271,-1755.50,Maine ADCIRC model
-69.9009922800,43.7890327400,-9.7727746750,-1754.50,Maine ADCIRC model
-69.9009887000,43.7890318500,-9.7717664230,-1753.50,Maine ADCIRC model
-69.9009851100,43.7890309600,-9.7707582683,-1752.50,Maine ADCIRC model
-69.9009815300,43.7890300700,-9.7697500163,-1751.50,Maine ADCIRC model
-69.9009779500,43.7890291800,-9.7687417642,-1750.50,Maine ADCIRC model
-69.9009743600,43.7890282900,-9.7677336096,-1749.50,Maine ADCIRC model
-69.9009707800,43.7890274000,-9.7667253575,-1748.50,Maine ADCIRC model
-69.9009672000,43.7890265100,-9.7657171055,-1747.50,Maine ADCIRC model
-69.9009636100,43.7890256200,-9.7647089509,-1746.50,Maine ADCIRC model
-69.9009600300,43.7890247300,-9.7637006988,-1745.50,Maine ADCIRC model
-69.9009564400,43.7890238500,-9.7619216164,-1744.50,Maine ADCIRC model
-69.9009528600,43.7890229600,-9.7599969045,-1743.50,Maine ADCIRC model
-69.9009492800,43.7890220700,-9.7580721926,-1742.50,Maine ADCIRC model
-69.9009456900,43.7890211800,-9.7561428626,-1741.50,Maine ADCIRC model
-69.9009421100,43.7890202900,-9.7542181507,-1740.50,Maine ADCIRC model
-69.9009385300,43.7890194000,-9.7522934387,-1739.50,Maine ADCIRC model
-69.9009349400,43.7890185100,-9.7503641087,-1738.50,Maine ADCIRC model
-69.9009313600,43.7890176200,-9.7484393968,-1737.50,Maine ADCIRC model
-69.9009277800,43.7890167300,-9.7465146849,-1736.50,Maine ADCIRC model
-69.9009241900,43.7890158400,-9.7445853549,-1735.50,Maine ADCIRC model
-69.9009206100,43.7890149500,-9.7426606430,-1734.50,Maine ADCIRC model
-69.9009170300,43.7890140600,-9.7407359310,-1733.50,Maine ADCIRC model
-69.9009134400,43.7890131700,-9.7388066011,-1732.50,Maine ADCIRC model
-69.9009098600,43.7890122800,-9.7368818891,-1731.50,Maine ADCIRC model
-69.9009062800,43.7890113900,-9.7349571772,-1730.50,Maine ADCIRC model
-69.9009026900,43.7890105000,-9.7330278472,-1729.50,Maine ADCIRC model
-69.9008991100,43.7890096100,-9.7311031353,-1728.50,Maine ADCIRC model
-69.9008955200,43.7890087200,-9.7291738053,-1727.50,Maine ADCIRC model
-69.9008919400,43.7890078300,-9.7272490934,-1726.50,Maine ADCIRC model
-69.9008883600,43.7890069400,-9.7253243814,-1725.50,Maine ADCIRC model
-69.9008847700,43.7890060500,-9.7233950515,-1724.50,Maine ADCIRC model
-69.9008811900,43.7890051600,-9.7214703395,-1723.50,Maine ADCIRC model
-69.9008776100,43.7890042700,-9.7195456276,-1722.50,Maine ADCIRC model
-69.9008740200,43.7890033800,-9.7176162976,-1721.50,Maine ADCIRC model
-69.9008704400,43.7890024900,-9.7165534985,-1720.50,Maine ADCIRC model
-69.9008668600,43.7890016100,-9.7196781425,-1719.50,Maine ADCIRC model
-69.9008632700,43.7890007200,-9.7228152549,-1718.50,Maine ADCIRC model
-69.9008596900,43.7889998300,-9.7259448583,-1717.50,Maine ADCIRC model
-69.9008561100,43.7889989400,-9.7290744617,-1716.50,Maine ADCIRC model
-69.9008525200,43.7889980500,-9.7322115741,-1715.50,Maine ADCIRC model
-69.9008489400,43.7889971600,-9.7353411775,-1714.50,Maine ADCIRC model
-69.9008453600,43.7889962700,-9.7384707809,-1713.50,Maine ADCIRC model
-69.9008417700,43.7889953800,-9.7416078933,-1712.50,Maine ADCIRC model
-69.9008381900,43.7889944900,-9.7447374967,-1711.50,Maine ADCIRC model
-69.9008346000,43.7889936000,-9.7478746091,-1710.50,Maine ADCIRC model
-69.9008310200,43.7889927100,-9.7510042125,-1709.50,Maine ADCIRC model
-69.9008274400,43.7889918200,-9.7541338159,-1708.50,Maine ADCIRC model
-69.9008238500,43.7889909300,-9.7572709283,-1707.50,Maine ADCIRC model
-69.9008202700,43.7889900400,-9.7604005317,-1706.50,Maine ADCIRC model
-69.9008166900,43.7889891500,-9.7635301351,-1705.50,Maine ADCIRC model
-69.9008131000,43.7889882600,-9.7666672475,-1704.50,Maine ADCIRC model
-69.9008095200,43.7889873700,-9.7697968510,-1703.50,Maine ADCIRC model
-69.9008059400,43.7889864800,-9.7729264544,-1702.50,Maine ADCIRC model
-69.9008023500,43.7889855900,-9.7760635668,-1701.50,Maine ADCIRC model
-69.9007987700,43.7889847000,-9.7791931702,-1700.50,Maine ADCIRC model
-69.9007951900,43.7889838100,-9.7823227736,-1699.50,Maine ADCIRC model
-69.9007916000,43.7889829200,-9.7854598860,-1698.50,Maine ADCIRC model
-69.9007880200,43.7889820300,-9.7885894894,-1697.50,Maine ADCIRC model
-69.9007844400,43.7889811400,-9.7917190928,-1696.50,Maine ADCIRC model
-69.9007808500,43.7889802500,-9.7948562052,-1695.50,Maine ADCIRC model
-69.9007772700,43.7889793700,-9.7979808492,-1694.50,Maine ADCIRC model
-69.9007736900,43.7889784800,-9.8011104526,-1693.50,Maine ADCIRC model
-69.9007701000,43.7889775900,-9.8042475650,-1692.50,Maine ADCIRC model
-69.9007665200,43.7889767000,-9.8073771684,-1691.50,Maine ADCIRC model
-69.9007629300,43.7889758100,-9.8105142808,-1690.50,Maine ADCIRC model
-69.9007593500,43.7889749200,-9.8136438842,-1689.50,Maine ADCIRC model
-69.9007557700,43.7889740300,-9.8167734876,-1688.50,Maine ADCIRC model
-69.9007521800,43.7889731400,-9.8199106000,-1687.50,Maine ADCIRC model
