type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IF,304,419573.723158997,4842924.25889521,-69.9987083603198,43.7349919697408,0.480,8.809,5.67,12.78,9.58
IF,306,419574.274177806,4842924.51964781,-69.998701557982,43.7349943769637,0.200,8.809,5.71,12.81,9.58
IF,308.4,419574.935400377,4842924.83255093,-69.9986933951759,43.7349972656306,0.290,8.808,5.70,12.80,9.58
IF,318.2,419577.635392542,4842926.11023867,-69.9986600637093,43.7350090610146,1.145,8.809,5.56,12.70,9.58
IF,321.5,419578.544573577,4842926.54048046,-69.9986488398452,43.7350130329275,1.317,8.812,5.53,12.68,9.58
IF,324.8,419579.453754612,4842926.97072225,-69.9986376159795,43.7350170048392,1.673,8.812,5.44,12.62,9.58
IF,328.1,419580.362935647,4842927.40096404,-69.9986263921123,43.7350209767499,2.023,8.814,5.18,12.44,9.58
IF,331.4,419581.272116682,4842927.83120583,-69.9986151682437,43.7350249486595,2.342,8.817,4.94,12.28,9.58
IF,334.6,419582.153746777,4842928.24840999,-69.9986042844908,43.7350288002071,2.870,8.817,4.55,12.00,9.58
IF,337.9,419583.062927812,4842928.67865178,-69.9985930606192,43.7350327721146,3.241,8.825,4.28,11.82,9.58
IF,341.2,419583.972108848,4842929.10889357,-69.9985818367461,43.7350367440209,3.475,8.838,4.11,11.71,9.58
IF,344.5,419584.881289883,4842929.53913536,-69.9985706128715,43.7350407159262,3.759,8.852,3.91,11.59,9.58
IF,347.8,419585.790470918,4842929.96937715,-69.9985593889954,43.7350446878303,4.140,8.865,3.63,11.40,9.58
IF,351,419586.672101013,4842930.38658131,-69.9985485052353,43.7350485393727,4.743,8.884,3.19,11.11,9.58
IF,354.3,419587.581282048,4842930.8168231,-69.9985372813562,43.7350525112748,5.296,8.911,2.79,10.86,9.58
IF,357.6,419588.490463083,4842931.24706489,-69.9985260574757,43.7350564831757,5.597,8.955,2.59,10.77,9.58
IF,360.9,419589.399644118,4842931.67730668,-69.9985148335936,43.7350604550755,5.974,8.995,2.33,10.63,9.58
IF,364.2,419590.308825153,4842932.10754848,-69.99850360971,43.7350644269743,6.522,9.032,1.94,10.39,9.58
IF,367.5,419591.218006188,4842932.53779026,-69.998492385825,43.7350683988719,7.499,9.211,1.33,10.14,9.58
IF,370.7,419592.099636283,4842932.95499443,-69.9984815020562,43.735072250408,8.306,9.431,0.87,10.04,9.58
IF,374,419593.008817318,4842933.38523621,-69.9984702781682,43.7350762223035,8.752,9.547,0.62,9.98,9.58
IF,376,419593.559836127,4842933.64598882,-69.9984634758111,43.7350786295124,9.130,9.547,0.32,9.77,9.58
IF,377.7,419594.028202115,4842933.86762853,-69.9984576938071,43.7350806756396,9.547,9.547,0.01,9.55,9.58
