type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,428206.0356,4848829.5743,-69.8923184707947,43.7890426150521,-19.636,8.816,2.81,10.78,2.70
OF,3.3,428205.030142559,4848829.60211162,-69.8923309697325,43.7890427678705,-19.662,8.816,2.81,10.78,2.70
OF,6.6,428204.024685117,4848829.62992324,-69.8923434686702,43.7890429206875,-19.689,8.816,2.81,10.78,2.70
OF,9.8,428203.049696083,4848829.65689209,-69.8923555888523,43.7890430688724,-19.715,8.816,2.81,10.78,2.70
OF,13.1,428202.044238642,4848829.68470371,-69.8923680877901,43.7890432216867,-19.742,8.816,2.81,10.79,2.70
OF,16.4,428201.038781201,4848829.71251533,-69.892380586728,43.7890433744997,-19.768,8.816,2.81,10.79,2.70
OF,19.7,428200.033323759,4848829.74032695,-69.8923930856659,43.7890435273112,-19.794,8.816,2.82,10.79,2.70
OF,23,428199.027866318,4848829.76813857,-69.8924055846039,43.7890436801215,-19.821,8.816,2.82,10.79,2.70
OF,26.2,428198.052877284,4848829.79510742,-69.8924177047862,43.7890438282998,-19.847,8.816,2.82,10.79,2.70
OF,29.5,428197.047419842,4848829.82291904,-69.8924302037242,43.7890439811073,-19.870,8.816,2.82,10.79,2.70
OF,32,428196.28570966,4848829.84398845,-69.8924396726167,43.7890440968696,-19.884,8.816,2.82,10.79,2.70
OF,33,428195.981025586,4848829.85241622,-69.8924434601737,43.7890441431744,-19.890,8.816,2.82,10.79,2.70
OF,38,428194.457605221,4848829.89455504,-69.8924623979588,43.7890443746961,-19.025,8.816,2.83,10.79,2.70
OF,39,428194.152921148,4848829.9029828,-69.8924661855158,43.7890444210001,-18.671,8.816,2.83,10.79,2.70
OF,45,428192.324816709,4848829.95354938,-69.892488910858,43.7890446988213,-16.461,8.816,2.83,10.80,2.71
OF,50,428190.801396343,4848829.9956882,-69.8925078486433,43.7890449303355,-14.500,8.816,2.83,10.80,2.71
OF,51,428190.49671227,4848830.00411597,-69.8925116362003,43.789044976638,-14.109,8.816,2.83,10.80,2.71
IF,82,428181.051506003,4848830.26537666,-69.8926290504713,43.7890464119521,4.216,8.816,2.61,10.64,2.71
IF,95,428177.090613052,4848830.37493759,-69.8926782887151,43.7890470138222,5.007,8.816,2.53,10.59,2.71
IF,101,428175.262508613,4848830.42550417,-69.8927010140586,43.7890472916012,8.816,8.816,0.01,8.82,2.71
AS,258.2,428127.366172315,4848831.75034869,-69.8932964181069,43.7890545678002,8.857,8.857,0.00,8.86,0.00
IF,263.5,428125.751346728,4848831.79501584,-69.8933164921636,43.7890548130632,6.352,8.857,0.05,8.89,0.25
IF,270,428123.770900252,4848831.8497963,-69.8933411112898,43.7890551138527,6.056,8.857,0.08,8.91,0.32
IF,281.5,428120.267033411,4848831.94671559,-69.893384668206,43.7890556460058,5.627,8.857,0.12,8.94,0.40
IF,486.5,428057.806798418,4848833.67440723,-69.894161117665,43.7890651294255,4.449,8.857,0.54,9.23,0.86
OF,590,428026.271996848,4848834.54668081,-69.8945531300135,43.7890699153911,-18.731,8.856,0.69,9.34,0.97
