type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
IE,0,423447.7822,4851162.7254,-69.9517838188363,43.8095700029877,-20.327,8.906,4.39,11.98,4.95
OF,2,423448.071771539,4851163.2618345,-69.9517802957401,43.8095748622561,-20.327,8.906,4.39,11.98,4.95
OF,4,423448.361343077,4851163.798269,-69.9517767726433,43.8095797215244,-20.327,8.906,4.39,11.98,4.95
OF,6,423448.650914616,4851164.33470349,-69.951773249546,43.8095845807926,-20.327,8.906,4.39,11.98,4.95
OF,8,423448.940486155,4851164.87113799,-69.9517697264481,43.8095894400607,-20.327,8.906,4.39,11.98,4.95
OF,10,423449.230057693,4851165.40757249,-69.9517662033496,43.8095942993287,-20.327,8.906,4.40,11.98,4.95
OF,12,423449.519629232,4851165.94400699,-69.9517626802506,43.8095991585966,-20.327,8.906,4.40,11.98,4.95
OF,14,423449.809200771,4851166.48044148,-69.951759157151,43.8096040178644,-20.327,8.906,4.40,11.98,4.95
OF,16,423450.09877231,4851167.01687598,-69.9517556340508,43.809608877132,-20.327,8.906,4.40,11.98,4.95
OF,18,423450.388343848,4851167.55331048,-69.9517521109501,43.8096137363996,-20.327,8.906,4.40,11.98,4.95
OF,20,423450.677915387,4851168.08974498,-69.9517485878488,43.8096185956671,-20.327,8.906,4.40,11.99,4.95
OF,22,423450.967486926,4851168.62617948,-69.9517450647469,43.8096234549344,-20.327,8.906,4.40,11.99,4.95
OF,24,423451.257058464,4851169.16261397,-69.9517415416445,43.8096283142016,-20.327,8.906,4.40,11.99,4.95
OF,26,423451.546630003,4851169.69904847,-69.9517380185415,43.8096331734688,-20.327,8.906,4.40,11.99,4.95
OF,28,423451.836201542,4851170.23548297,-69.9517344954379,43.8096380327358,-20.327,8.906,4.40,11.99,4.95
OF,30,423452.12577308,4851170.77191747,-69.9517309723338,43.8096428920027,-20.327,8.906,4.40,11.99,4.95
OF,32,423452.415344619,4851171.30835197,-69.9517274492291,43.8096477512695,-20.327,8.906,4.40,11.99,4.95
OF,34,423452.704916158,4851171.84478646,-69.9517239261238,43.8096526105362,-20.327,8.906,4.40,11.99,4.95
OF,36,423452.994487697,4851172.38122096,-69.951720403018,43.8096574698028,-20.327,8.906,4.40,11.99,4.95
OF,38,423453.284059235,4851172.91765546,-69.9517168799116,43.8096623290693,-20.327,8.906,4.40,11.99,4.95
OF,40,423453.573630774,4851173.45408996,-69.9517133568046,43.8096671883357,-20.327,8.906,4.41,11.99,4.95
OF,42,423453.863202313,4851173.99052445,-69.9517098336971,43.809672047602,-20.327,8.906,4.41,11.99,4.95
OF,44,423454.152773851,4851174.52695895,-69.951706310589,43.8096769068681,-20.327,8.906,4.41,11.99,4.95
OF,46,423454.44234539,4851175.06339345,-69.9517027874803,43.8096817661342,-20.327,8.906,4.41,11.99,4.95
OF,48,423454.731916929,4851175.59982795,-69.9516992643711,43.8096866254002,-20.327,8.906,4.41,11.99,4.95
OF,50,423455.021488467,4851176.13626245,-69.9516957412613,43.809691484666,-20.327,8.906,4.41,11.99,4.95
OF,52,423455.311060006,4851176.67269694,-69.9516922181509,43.8096963439317,-20.327,8.906,4.41,11.99,4.95
OF,54,423455.600631545,4851177.20913144,-69.95168869504,43.8097012031973,-20.327,8.906,4.41,11.99,4.95
OF,56,423455.890203084,4851177.74556594,-69.9516851719285,43.8097060624629,-20.327,8.906,4.41,11.99,4.95
OF,58,423456.179774622,4851178.28200044,-69.9516816488164,43.8097109217283,-20.175,8.906,4.41,11.99,4.95
OF,60,423456.469346161,4851178.81843494,-69.9516781257038,43.8097157809936,-19.970,8.906,4.41,11.99,4.95
OF,62,423456.7589177,4851179.35486943,-69.9516746025906,43.8097206402588,-19.765,8.906,4.40,11.99,4.95
OF,64,423457.048489238,4851179.89130393,-69.9516710794768,43.8097254995239,-19.561,8.906,4.40,11.99,4.95
OF,66,423457.338060777,4851180.42773843,-69.9516675563625,43.8097303587888,-19.356,8.906,4.40,11.99,4.95
OF,68,423457.627632316,4851180.96417293,-69.9516640332476,43.8097352180537,-19.151,8.906,4.40,11.99,4.95
OF,70,423457.917203854,4851181.50060743,-69.9516605101321,43.8097400773185,-18.946,8.906,4.40,11.98,4.95
OF,72,423458.206775393,4851182.03704192,-69.9516569870161,43.8097449365832,-18.741,8.906,4.39,11.98,4.95
OF,74,423458.496346932,4851182.57347642,-69.9516534638995,43.8097497958477,-18.536,8.906,4.39,11.98,4.95
OF,76,423458.78591847,4851183.10991092,-69.9516499407823,43.8097546551122,-18.331,8.906,4.39,11.98,4.95
OF,78,423459.075490009,4851183.64634542,-69.9516464176646,43.8097595143765,-18.127,8.906,4.39,11.98,4.95
OF,80,423459.365061548,4851184.18277991,-69.9516428945463,43.8097643736407,-17.922,8.906,4.39,11.98,4.95
OF,82,423459.654633087,4851184.71921441,-69.9516393714274,43.8097692329048,-17.717,8.906,4.39,11.98,4.96
OF,84,423459.944204625,4851185.25564891,-69.951635848308,43.8097740921689,-17.512,8.906,4.38,11.97,4.96
OF,86,423460.233776164,4851185.79208341,-69.951632325188,43.8097789514328,-17.307,8.906,4.38,11.97,4.96
OF,88,423460.523347703,4851186.32851791,-69.9516288020675,43.8097838106966,-17.102,8.906,4.38,11.97,4.96
OF,90,423460.812919241,4851186.8649524,-69.9516252789464,43.8097886699603,-16.897,8.906,4.38,11.97,4.96
OF,92,423461.10249078,4851187.4013869,-69.9516217558246,43.8097935292238,-16.692,8.906,4.38,11.97,4.96
OF,94,423461.392062319,4851187.9378214,-69.9516182327024,43.8097983884873,-16.488,8.906,4.38,11.97,4.96
OF,96,423461.681633857,4851188.4742559,-69.9516147095796,43.8098032477507,-16.283,8.906,4.38,11.97,4.96
OF,98,423461.971205396,4851189.0106904,-69.9516111864562,43.809808107014,-16.078,8.906,4.37,11.97,4.96
OF,100,423462.260776935,4851189.54712489,-69.9516076633322,43.8098129662771,-15.873,8.906,4.37,11.97,4.96
OF,102,423462.550348473,4851190.08355939,-69.9516041402077,43.8098178255402,-15.668,8.906,4.37,11.97,4.96
OF,104,423462.839920012,4851190.61999389,-69.9516006170826,43.8098226848031,-15.463,8.906,4.37,11.97,4.96
OF,106,423463.129491551,4851191.15642839,-69.9515970939569,43.8098275440659,-15.258,8.906,4.37,11.96,4.96
OF,108,423463.41906309,4851191.69286289,-69.9515935708307,43.8098324033287,-15.053,8.906,4.37,11.96,4.96
OF,110,423463.708634628,4851192.22929738,-69.9515900477039,43.8098372625913,-14.849,8.906,4.37,11.96,4.96
OF,112,423463.998206167,4851192.76573188,-69.9515865245766,43.8098421218538,-14.644,8.906,4.37,11.96,4.96
OF,114,423464.287777706,4851193.30216638,-69.9515830014486,43.8098469811162,-14.439,8.906,4.37,11.96,4.96
OF,116,423464.577349244,4851193.83860088,-69.9515794783202,43.8098518403785,-14.234,8.906,4.37,11.96,4.96
OF,118,423464.866920783,4851194.37503537,-69.9515759551911,43.8098566996407,-14.029,8.906,4.37,11.96,4.96
OF,120,423465.156492322,4851194.91146987,-69.9515724320615,43.8098615589028,-13.824,8.906,4.37,11.96,4.96
OF,122,423465.44606386,4851195.44790437,-69.9515689089313,43.8098664181647,-13.619,8.906,4.37,11.96,4.96
