type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
OF,54,422349.329285181,4845896.28517866,-69.9646763123512,43.7620439647308,-6.046,8.847,11.11,16.62,10.00
OF,55,422349.045283054,4845896.39584123,-69.9646798561061,43.7620449312051,-5.844,8.848,10.96,16.52,10.00
OF,56,422348.761280928,4845896.50650379,-69.964683399861,43.7620458976793,-5.641,8.849,10.82,16.42,10.00
OF,57,422348.477278802,4845896.61716636,-69.9646869436161,43.7620468641534,-5.438,8.850,10.67,16.32,10.00
OF,58,422348.193276676,4845896.72782893,-69.9646904873713,43.7620478306273,-5.235,8.851,10.53,16.22,10.00
OF,59,422347.909274549,4845896.8384915,-69.9646940311266,43.7620487971012,-5.032,8.852,10.38,16.12,10.00
OF,60,422347.625272423,4845896.94915406,-69.964697574882,43.7620497635749,-4.830,8.853,10.24,16.02,10.00
OF,61,422347.341270297,4845897.05981663,-69.9647011186375,43.7620507300486,-4.627,8.854,10.09,15.92,10.00
OF,62,422347.05726817,4845897.1704792,-69.9647046623932,43.7620516965221,-4.424,8.855,9.95,15.82,10.00
OF,63,422346.773266044,4845897.28114177,-69.9647082061489,43.7620526629955,-4.221,8.856,9.80,15.72,10.00
OF,64,422346.489263918,4845897.39180433,-69.9647117499048,43.7620536294688,-4.019,8.857,9.66,15.62,10.00
OF,65,422346.205261792,4845897.5024669,-69.9647152936607,43.762054595942,-3.816,8.858,9.51,15.52,10.00
OF,66,422345.921259665,4845897.61312947,-69.9647188374168,43.762055562415,-3.613,8.859,9.37,15.42,10.00
OF,67,422345.637257539,4845897.72379204,-69.964722381173,43.762056528888,-3.410,8.860,9.22,15.32,10.00
OF,68,422345.353255413,4845897.83445461,-69.9647259249293,43.7620574953608,-3.207,8.861,9.08,15.21,10.00
OF,69,422345.069253287,4845897.94511717,-69.9647294686857,43.7620584618336,-3.005,8.862,8.93,15.11,10.00
OF,70,422344.78525116,4845898.05577974,-69.9647330124423,43.7620594283062,-2.801,8.863,8.78,15.01,10.00
OF,71,422344.501249034,4845898.16644231,-69.9647365561989,43.7620603947787,-2.599,8.864,8.64,14.91,10.00
OF,72,422344.217246908,4845898.27710488,-69.9647400999557,43.7620613612511,-2.396,8.865,8.49,14.81,10.00
OF,73,422343.933244781,4845898.38776744,-69.9647436437126,43.7620623277234,-2.193,8.866,8.34,14.71,10.00
OF,74,422343.649242655,4845898.49843001,-69.9647471874695,43.7620632941956,-1.990,8.866,8.19,14.60,10.00
OF,75,422343.365240529,4845898.60909258,-69.9647507312266,43.7620642606677,-1.782,8.868,8.04,14.50,10.00
OF,76,422343.081238403,4845898.71975515,-69.9647542749839,43.7620652271396,-1.574,8.869,7.89,14.39,10.00
OF,77,422342.797236276,4845898.83041772,-69.9647578187412,43.7620661936115,-1.365,8.870,7.74,14.29,10.00
OF,78,422342.51323415,4845898.94108028,-69.9647613624986,43.7620671600832,-1.157,8.872,7.59,14.18,10.00
OF,79,422342.229232024,4845899.05174285,-69.9647649062562,43.7620681265549,-0.949,8.873,7.44,14.08,10.00
OF,80,422341.945229897,4845899.16240542,-69.9647684500138,43.7620690930264,-0.740,8.874,7.28,13.97,10.00
OF,81,422341.661227771,4845899.27306799,-69.9647719937716,43.7620700594978,-0.532,8.876,7.13,13.87,10.00
OF,82,422341.377225645,4845899.38373055,-69.9647755375295,43.7620710259691,-0.324,8.877,6.98,13.76,10.00
OF,83,422341.093223519,4845899.49439312,-69.9647790812875,43.7620719924403,-0.115,8.878,6.83,13.66,10.00
OF,91.9,422338.565604595,4845900.47928998,-69.9648106207386,43.7620805940289,-2.560,8.805,7.23,13.87,10.00
OF,95.1,422337.656797791,4845900.83341019,-69.9648219607681,43.7620836867328,-2.593,8.811,7.24,13.88,10.00
OF,98.4,422336.719590774,4845901.19859667,-69.9648336551748,43.7620868760825,-2.162,8.810,7.18,13.84,10.00
