X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-70.0178808000,43.7829756300,-52.9023031933,-966.50,-52.9023031932903,2.62900551812567,8.97751699326239,3.5235864625865,335.111328401199,315
-70.0178776100,43.7829741500,-52.8674597156,-965.50,-52.8674597155906,2.62912658029934,8.97751663201244,3.52307670050184,335.111328401199,315
-70.0178744200,43.7829726700,-52.8326162379,-964.50,-52.832616237891,2.62924764247301,8.97751627076248,3.52256693841718,335.111328401199,315
-70.0178712300,43.7829711900,-52.7977727602,-963.50,-52.7977727601914,2.62936870464668,8.97751590951253,3.52205717633251,335.111328401199,315
-70.0178680400,43.7829697100,-52.7629292826,-962.50,-52.7629292825574,2.62948976681995,8.97751554826258,3.52154741424745,335.111328401199,315
-70.0178648500,43.7829682300,-52.7280858049,-961.50,-52.7280858048578,2.62961082899362,8.97751518701262,3.52103765216279,335.111328401199,315
-70.0178616600,43.7829667500,-52.6932423272,-960.50,-52.6932423271581,2.62973189116729,8.97751482576267,3.52052789007812,335.111328401199,315
-70.0178584700,43.7829652700,-52.6583988495,-959.50,-52.6583988494585,2.62985295334096,8.97751446451272,3.52001812799346,335.111328401199,315
-70.0178552800,43.7829637900,-52.6235553719,-958.50,-52.6235553718532,2.62997401551447,8.97751410326276,3.51950836591144,335.111328401199,315
-70.0178520900,43.7829623100,-52.5887118942,-957.50,-52.5887118942192,2.63009507768774,8.97751374201281,3.51899860382638,335.111328401199,315
-70.0178489000,43.7829608300,-52.5538684165,-956.50,-52.5538684165196,2.63021613986141,8.97751338076286,3.51848884174172,335.111328401199,315
-70.0178457100,43.7829593500,-52.5190249388,-955.50,-52.5190249388199,2.63033720203508,8.9775130195129,3.51797907965705,335.111328401199,315
-70.0178425200,43.7829578700,-52.4841814611,-954.50,-52.4841814611203,2.63045826420875,8.97751265826295,3.51746931757239,335.111328401199,315
-70.0178393300,43.7829563900,-52.4493379835,-953.50,-52.4493379834863,2.63057932638201,8.977512297013,3.51695955548733,335.111328401199,315
-70.0178361400,43.7829549100,-52.4144945058,-952.50,-52.4144945057867,2.63070038855569,8.97751193576304,3.51644979340266,335.111328401199,315
-70.0178329500,43.7829534300,-52.3796510281,-951.50,-52.3796510280871,2.63082145072936,8.97751157451309,3.515940031318,335.111328401199,315
-70.0178297600,43.7829519500,-52.3448075504,-950.50,-52.3448075503874,2.63094251290303,8.97751121326314,3.51543026923334,335.111328401199,315
-70.0178265700,43.7829504700,-52.3099640728,-949.50,-52.3099640727535,2.63106357507629,8.97751085201319,3.51492050714827,335.111328401199,315
-70.0178233800,43.7829489900,-52.2751205951,-948.50,-52.2751205950538,2.63118463724996,8.97751049076323,3.51441074506361,335.111328401199,315
-70.0178201900,43.7829475100,-52.2402771174,-947.50,-52.2402771173542,2.63130569942364,8.97751012951328,3.51390098297895,335.111328401199,315
-70.0178170000,43.7829460300,-52.2054336397,-946.50,-52.2054336396546,2.63142676159731,8.97750976826332,3.51339122089429,335.111328401199,315
-70.0178138100,43.7829445500,-52.1705901621,-945.50,-52.1705901621149,2.63154782377041,8.97750940701337,3.51288145881186,335.111328401199,315
-70.0178106200,43.7829430700,-52.1357466844,-944.50,-52.1357466844153,2.63166888594408,8.97750904576342,3.5123716967272,335.111328401199,315
-70.0178074300,43.7829415900,-52.1009032067,-943.50,-52.1009032067156,2.63178994811775,8.97750868451346,3.51186193464254,335.111328401199,315
-70.0178042400,43.7829401100,-52.0660597290,-942.50,-52.066059729016,2.63191101029143,8.97750832326351,3.51135217255788,335.111328401199,315
