X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
 -70.0007351533,   43.7342746953, -59.1861, -574.00,-60.5421418189958,4.98724391831766,8.80818951608968,9.98822340310723,19.488022499309,0
 -70.0007283552,   43.7342771021, -59.1712, -572.00,-60.4862291996319,4.98735722861224,8.80819031783693,9.98471420514107,19.488022499309,0
 -70.0007215534,   43.7342795086, -59.1562, -570.00,-60.4302861760365,4.98747070034231,8.80819111959267,9.98120220418883,19.488022499309,0
 -70.0007147554,   43.7342819154, -59.1412, -568.00,-60.3739565370418,4.98714037527494,8.80819209775167,9.97644769726115,19.488022499309,0
 -70.0007079536,   43.7342843219, -59.1263, -566.00,-60.3167541264965,4.98591672827315,8.80819343122496,9.96918208274485,19.488022499309,0
 -70.0007011518,   43.7342867286, -59.1113, -564.00,-60.2595516645263,4.9846930178764,8.80819476477169,9.96191643599219,19.488022499309,0
 -70.0006943538,   43.7342891352, -59.0963, -562.00,-60.202380840137,4.98346959663224,8.80819609803037,9.95465464777053,19.488022499309,0
 -70.0006875520,   43.7342915419, -59.0814, -560.00,-60.1451783781669,4.98224588623548,8.80819743157709,9.94738900101787,19.488022499309,0
 -70.0006807540,   43.7342939484, -59.0664, -558.00,-60.0880075794909,4.98102249668994,8.80819876479906,9.94012722891497,19.488022499309,0
 -70.0006739522,   43.7342963552, -59.0514, -556.00,-60.0308050918074,4.97979875459457,8.8082000983825,9.93286156604355,19.488022499309,0
 -70.0006671504,   43.7342987617, -59.0365, -554.00,-59.9736026812621,4.97857510759278,8.80820143185579,9.92559595152725,19.488022499309,0
 -70.0006603523,   43.7343011685, -59.0215, -552.00,-59.916430973543,4.97735161618062,8.80820276519452,9.91833402995235,19.488022499309,0
 -70.0006535505,   43.7343035750, -59.0233, -550.00,-59.8866971382001,4.97621376554049,8.8082050561964,9.91225561425579,19.488022499309,0
 -70.0006467525,   43.7343059818, -59.0705, -548.00,-59.9363411340562,4.97532391041408,8.80821011299406,9.90961035976975,19.488022499309,0
