X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
 -69.9324146891,   43.7806334220, -58.7317, -916.00,-57.0425127977978,10.6989813513796,8.84194083260841,13.4824406329222,114.919437704289,135
 -69.9324171035,   43.7806386221, -58.6797, -914.00,-57.0512708022222,10.6975249734881,8.84197141029782,13.4828713233517,114.919437704289,135
 -69.9324195216,   43.7806438222, -58.6277, -912.00,-57.0599724861072,10.6960691465236,8.8420019827039,13.483303698178,114.919437704289,135
 -69.9324219360,   43.7806490223, -58.5757, -910.00,-57.0687304905316,10.6946127686321,8.8420325603933,13.4837343886076,114.919437704289,135
 -69.9324243541,   43.7806542223, -58.5237, -908.00,-57.0774312992975,10.6931569765859,8.8420631321451,13.4841667762877,114.919437704289,135
 -69.9324267685,   43.7806594224, -58.4717, -906.00,-57.0861893037219,10.6917005986944,8.8420937098345,13.4845974667172,114.919437704289,135
 -69.9324291829,   43.7806646225, -58.4197, -904.00,-57.0949473081462,10.6902442208028,8.84212428752391,13.4850281571468,114.919437704289,135
 -69.9324316010,   43.7806698226, -58.3677, -902.00,-57.1036489918149,10.6887883938405,8.84215485992997,13.4854605319795,114.919437704289,135
 -69.9324340154,   43.7806750224, -58.3157, -900.00,-57.1124043707576,10.6873321207087,8.84218543565643,13.4858912609724,114.919437704289,135
 -69.9324364297,   43.7806802224, -58.2637, -898.00,-57.1211630222689,10.6858757628452,8.84221601283434,13.4863219187307,114.919437704289,135
 -69.9324388479,   43.7806854225, -58.2117, -896.00,-57.1298631839479,10.684419950771,8.84224658509763,13.4867543390821,114.919437704289,135
 -69.9324412623,   43.7806906226, -58.1598, -894.00,-57.1386211883723,10.6829635728794,8.84227716278703,13.4871850295116,114.919437704289,135
 -69.9324436766,   43.7806958227, -58.1155, -892.00,-57.1473807150026,10.6815071800977,8.84230774061924,13.487615674416,114.919437704289,135
 -69.9324460948,   43.7807010228, -58.0712, -890.00,-57.1560808767438,10.680051368021,8.84233831288256,13.4880480947665,114.919437704289,135
 -69.9324485091,   43.7807062228, -58.0269, -888.00,-57.1648395281929,10.67859501016,8.84236889006044,13.4884787525257,114.919437704289,135
 -69.9324509273,   43.7807114229, -57.9826, -886.00,-57.173539689872,10.6771391980857,8.84239946232372,13.4889111728771,114.919437704289,135
 -69.9324533417,   43.7807166230, -57.9383, -884.00,-57.1822976943585,10.6756828201917,8.84243004001317,13.4893418633057,114.919437704289,135
 -69.9324557560,   43.7807218231, -57.8940, -882.00,-57.1910572209888,10.67422642741,8.84246061784537,13.4897725082101,114.919437704289,135
 -69.9324581742,   43.7807270231, -57.8497, -880.00,-57.1997565074866,10.6727706502565,8.84249118945432,13.4902049414163,114.919437704289,135
 -69.9324605886,   43.7807322232, -57.8054, -878.00,-57.2085145119109,10.671314272365,8.84252176714373,13.4906356318458,114.919437704289,135
 -69.9324630029,   43.7807374233, -57.7611, -876.00,-57.2172740386034,10.6698578795807,8.84255234497598,13.4910662767493,114.919437704289,135
 -69.9324654211,   43.7807426234, -57.7154, -874.00,-57.2259742000662,10.6684020675086,8.84258291723924,13.4914986971072,114.919437704289,135
 -69.9324678355,   43.7807478234, -57.6631, -872.00,-57.2347313293093,10.6669457245378,8.84261349427432,13.4919294003915,114.919437704289,135
 -69.9324702536,   43.7807530233, -57.6108, -870.00,-57.2434312628939,10.6654899674124,8.84264406537178,13.4923618009264,114.919437704289,135
 -69.9324726680,   43.7807582233, -57.5584, -868.00,-57.252188392137,10.6640336244416,8.84267464240686,13.4927925042107,114.919437704289,135
 -69.9324750824,   43.7807634234, -57.5061, -866.00,-57.2609463966235,10.6625772465476,8.84270522009631,13.4932231946393,114.919437704289,135
 -69.9324775005,   43.7807686235, -57.4538, -864.00,-57.2696480805086,10.6611214195831,8.84273579250239,13.4936555694656,114.919437704289,135
