X,Y,Z,STA,Zadcirc,HSadcirc,TWLadcirc,PERadcirc,TransHeading,PerHeading
-69.9962551900,43.8128530500,-41.6542087346,-1892.00,-41.6542087346318,2.78690847260118,9.01898396724854,5.44486963204918,353.820524562552,0
-69.9962514500,43.8128526400,-41.6562717472,-1891.00,-41.6562717471665,2.7873268656393,9.01898537886965,5.44503523233543,353.820524562552,0
-69.9962477000,43.8128522400,-41.6583419364,-1890.00,-41.658341936443,2.78774439846877,9.01898680363604,5.44520502015331,353.820524562552,0
-69.9962439500,43.8128518300,-41.6604106291,-1889.00,-41.6604106291238,2.78816371469897,9.01898821995734,5.44537143318512,353.820524562552,0
-69.9962402000,43.8128514300,-41.6624808184,-1888.00,-41.6624808183933,2.78858124752586,9.01898964472374,5.44554122100424,353.820524562552,0
-69.9962364600,43.8128510200,-41.6645438309,-1887.00,-41.6645438309269,2.78899964056525,9.01899105634483,5.4457068212881,353.820524562552,0
-69.9962327100,43.8128506100,-41.6666125236,-1886.00,-41.6666125236078,2.78941895679545,9.01899247266613,5.44587323431992,353.820524562552,0
-69.9962289600,43.8128502100,-41.6686827129,-1885.00,-41.6686827128853,2.78983648962366,9.01899389743253,5.44604302214019,353.820524562552,0
-69.9962252100,43.8128498000,-41.6707514056,-1884.00,-41.6707514055581,2.79025580585255,9.01899531375382,5.44620943517085,353.820524562552,0
-69.9962214600,43.8128494000,-41.6720367702,-1883.00,-41.6720367702055,2.79071984890348,9.01899677088391,5.44613095760483,353.820524562552,0
-69.9962177200,43.8128489900,-41.6725320378,-1882.00,-41.6725320377853,2.79123114953185,9.01899824715385,5.44580062951596,353.820524562552,0
-69.9962139700,43.8128485900,-41.6730337394,-1881.00,-41.6730337393974,2.79174163396475,9.01899973659973,5.44547425401777,353.820524562552,0
-69.9962102200,43.8128481800,-41.6735308360,-1880.00,-41.6735308360457,2.79225408600748,9.01900121772867,5.44514352045418,353.820524562552,0
-69.9962064700,43.8128477700,-41.6740279327,-1879.00,-41.6740279326881,2.79276653804998,9.01900269885761,5.44481278688808,353.820524562552,0
-69.9962027200,43.8128473700,-41.6745296343,-1878.00,-41.6745296343003,2.79327702248289,9.01900418830348,5.44448641138988,353.820524562552,0
-69.9961989800,43.8128469600,-41.6750249019,-1877.00,-41.6750249018801,2.79378832311125,9.01900566457343,5.44415608330102,353.820524562552,0
-69.9961952300,43.8128465600,-41.6755266035,-1876.00,-41.6755266034889,2.79429880754555,9.01900715401929,5.44382970779972,353.820524562552,0
-69.9961914800,43.8128461500,-41.6760237001,-1875.00,-41.6760237001372,2.79481125958829,9.01900863514824,5.44349897423614,353.820524562552,0
-69.9961877300,43.8128457500,-41.6765254017,-1874.00,-41.6765254017467,2.79532174401955,9.01901012459411,5.44317259873852,353.820524562552,0
-69.9961839800,43.8128453400,-41.6770224984,-1873.00,-41.677022498395,2.79583419606229,9.01901160572305,5.44284186517494,353.820524562552,0
-69.9961802400,43.8128449400,-41.6775223709,-1872.00,-41.6775223709354,2.79634352908222,9.01901309030992,5.44251589514836,353.820524562552,0
-69.9961764900,43.8128445300,-41.6780194676,-1871.00,-41.6780194675837,2.79685598112495,9.01901457143887,5.44218516158478,353.820524562552,0
-69.9961727400,43.8128441200,-41.6785165642,-1870.00,-41.6785165642294,2.79736843316605,9.01901605256781,5.44185442802177,353.820524562552,0
-69.9961689900,43.8128437200,-41.6790182658,-1869.00,-41.6790182658382,2.79787891760036,9.01901754201368,5.44152805252048,353.820524562552,0
-69.9961652400,43.8128433100,-41.6795153625,-1868.00,-41.6795153624865,2.79839136964309,9.01901902314262,5.44119731895689,353.820524562552,0
-69.9961615000,43.8128429100,-41.6800152350,-1867.00,-41.6800152350301,2.79890070266162,9.0190205077295,5.44087134893341,353.820524562552,0
-69.9961577500,43.8128425000,-41.6805123317,-1866.00,-41.6805123316784,2.79941315470436,9.01902198885844,5.44054061536983,353.820524562552,0
-69.9961540000,43.8128421000,-41.6810140333,-1865.00,-41.6810140332847,2.79992363913702,9.01902347830431,5.44021423986911,353.820524562552,0
-69.9961502500,43.8128416900,-41.6815111299,-1864.00,-41.681511129933,2.80043609117976,9.01902495943325,5.43988350630553,353.820524562552,0
-69.9961465100,43.8128412800,-41.6820063975,-1863.00,-41.6820063975127,2.80094739180812,9.0190264357032,5.43955317821666,353.820524562552,0
-69.9961427600,43.8128408800,-41.6825080991,-1862.00,-41.6825080991249,2.80145787624103,9.01902792514908,5.43922680271847,353.820524562552,0
-69.9961390100,43.8128404700,-41.6830051958,-1861.00,-41.6830051957699,2.80197032828516,9.01902940627801,5.43889606915179,353.820524562552,0
