header
IE0.0    -10.078       1       1 8.8547  1.4418  1.5429    56.14   56.14
OF78.0   -9.4047    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF79.0   -9.3961    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF80.0   -9.3874    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF81.0   -9.3788    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF82.0   -9.3701    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF83.0   -9.3615    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF84.0   -9.3528    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF85.0   -9.3442    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF86.0   -9.3355    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF87.0   -9.3269    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF88.0   -9.3183    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF89.0   -9.3096    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF90.0   -9.301     0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF91.0   -9.2923    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF92.0   -9.2837    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF93.0   -9.275     0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF94.0   -9.2664    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF95.0   -9.2577    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF96.0   -9.2491    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF97.0   -9.2405    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF98.0   -9.2318    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF99.0   -9.2232    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF100.0  -9.2145    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF101.0  -9.2059    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF102.0  -9.1972    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
