header
IE0.0    -15.456       1       1 8.816   2.8503  2.713     56.14   56.14
OF80.0   -11.355    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF81.0   -11.007    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF82.0   -10.659    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF83.0   -10.310    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF84.0   -9.9622    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF85.0   -9.614     0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF86.0   -9.2649    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF87.0   -8.9166    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF88.0   -8.5684    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF89.0   -8.2193    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF90.0   -7.8711    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF91.0   -7.5228    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF92.0   -7.1739    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF93.0   -6.8257    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF94.0   -6.4775    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF95.0   -6.1283    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF96.0   -5.7801    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF97.0   -5.4319    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF98.0   -5.0827    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF99.0   -4.7345    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF100.0  -4.3865    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF101.0  -4.0374    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF102.0  -3.6892    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF103.0  -3.3409    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF104.0  -2.9918    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF105.0  -2.6436    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF106.0  -2.2953    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF107.0  -1.9462    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF108.0  -1.5982    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
