X,Y,Zlidar,STA,SOURCE
-70.21629065,43.6514705,-6.52559076,2,2006FEMA
-70.21629201,43.65146794,-6.52559076,3,2006FEMA
-70.21629337,43.65146539,-6.52559076,4,2006FEMA
-70.21629473,43.65146283,-6.52559076,5,2006FEMA
-70.2162961,43.65146027,-6.52559076,6,2006FEMA
-70.21629746,43.65145771,-6.52559076,7,2006FEMA
-70.21629882,43.65145515,-6.52559076,8,2006FEMA
-70.21630018,43.65145259,-6.52559076,9,2006FEMA
-70.21630154,43.65145003,-6.52559076,10,2006FEMA
-70.21630291,43.65144747,-6.52559076,11,2006FEMA
-70.21630427,43.65144491,-6.52559076,12,2006FEMA
-70.21630563,43.65144235,-6.52559076,13,2006FEMA
-70.21630699,43.65143979,-6.52559076,14,2006FEMA
-70.21630836,43.65143723,-6.52559076,15,2006FEMA
-70.21630972,43.65143467,-6.52559076,16,2006FEMA
-70.21631108,43.65143211,-6.52559076,17,2006FEMA
-70.21631244,43.65142955,-6.52559076,18,2006FEMA
-70.2163138,43.65142699,-6.52559076,19,2006FEMA
-70.21631517,43.65142443,-6.52559076,20,2006FEMA
-70.21631653,43.65142187,-6.29593196,21,2006FEMA
-70.21631789,43.65141931,-6.29593196,22,2006FEMA
-70.21631925,43.65141675,-6.29593196,23,2006FEMA
-70.21632061,43.65141419,-6.29593196,24,2006FEMA
-70.21632198,43.65141163,-5.8398952,25,2006FEMA
-70.21632334,43.65140907,-5.8398952,26,2006FEMA
-70.2163247,43.65140651,-5.8398952,27,2006FEMA
-70.21632606,43.65140395,-5.8398952,28,2006FEMA
-70.21632743,43.65140139,-5.8398952,29,2006FEMA
-70.21632879,43.65139883,-5.8398952,30,2006FEMA
-70.21633015,43.65139627,-5.8398952,31,2006FEMA
-70.21633151,43.65139371,-5.8398952,32,2006FEMA
-70.21633287,43.65139115,-5.8398952,33,2006FEMA
-70.21633424,43.6513886,-5.8398952,34,2006FEMA
-70.2163356,43.65138604,-5.8398952,35,2006FEMA
-70.21633696,43.65138348,-5.8398952,36,2006FEMA
-70.21633832,43.65138092,-5.8398952,37,2006FEMA
-70.21633969,43.65137836,-5.8398952,38,2006FEMA
-70.21634105,43.6513758,-5.8398952,39,2006FEMA
-70.21634241,43.65137324,-5.8398952,40,2006FEMA
-70.21634377,43.65137068,-5.8398952,41,2006FEMA
-70.21634513,43.65136812,-5.8070868,42,2006FEMA
-70.2163465,43.65136556,-5.8070868,43,2006FEMA
-70.21634786,43.651363,-5.8070868,44,2006FEMA
-70.21634922,43.65136044,-5.8070868,45,2006FEMA
-70.21635058,43.65135788,-5.8070868,46,2006FEMA
-70.21635194,43.65135532,-5.8070868,47,2006FEMA
-70.21635331,43.65135276,-5.8070868,48,2006FEMA
-70.21635467,43.6513502,-5.8070868,49,2006FEMA
-70.21635603,43.65134764,-5.8070868,50,2006FEMA
-70.21635739,43.65134508,-5.8070868,51,2006FEMA
-70.21635876,43.65134252,-5.8070868,52,2006FEMA
-70.21636012,43.65133996,-5.8070868,53,2006FEMA
-70.21636148,43.6513374,-5.8070868,54,2006FEMA
-70.21636284,43.65133484,-5.8070868,55,2006FEMA
-70.2163642,43.65133228,-5.8070868,56,2006FEMA
-70.21636557,43.65132972,-5.8070868,57,2006FEMA
-70.21636693,43.65132716,-5.6102364,58,2006FEMA
-70.21636829,43.6513246,-5.6102364,59,2006FEMA
-70.21636965,43.65132204,-5.6102364,60,2006FEMA
-70.21637101,43.65131948,-5.6102364,61,2006FEMA
-70.21637238,43.65131692,-5.6102364,62,2006FEMA
-70.21637374,43.65131436,-5.6102364,63,2006FEMA
-70.2163751,43.6513118,-5.6102364,64,2006FEMA
-70.21637646,43.65130925,-5.6102364,65,2006FEMA
-70.21637783,43.65130669,-5.6102364,66,2006FEMA
-70.21637919,43.65130413,-5.6102364,67,2006FEMA
-70.21638055,43.65130157,-5.6102364,68,2006FEMA
-70.21638191,43.65129901,-5.6102364,69,2006FEMA
-70.21638327,43.65129645,-5.86942276,70,2006FEMA
-70.21638464,43.65129389,-5.86942276,71,2006FEMA
-70.216386,43.65129133,-5.86942276,72,2006FEMA
-70.21638736,43.65128877,-5.86942276,73,2006FEMA
-70.21638872,43.65128621,-5.86942276,74,2006FEMA
-70.21639008,43.65128365,-5.86942276,75,2006FEMA
-70.21639145,43.65128109,-5.86942276,76,2006FEMA
-70.21639281,43.65127853,-5.86942276,77,2006FEMA
-70.21639417,43.65127597,-6.0367456,78,2006FEMA
-70.21639553,43.65127341,-6.0367456,79,2006FEMA
-70.2163969,43.65127085,-6.0367456,80,2006FEMA
-70.21639826,43.65126829,-6.0367456,81,2006FEMA
-70.21639962,43.65126573,-6.0367456,82,2006FEMA
-70.21640098,43.65126317,-6.0367456,83,2006FEMA
-70.21640234,43.65126061,-6.0367456,84,2006FEMA
-70.21640371,43.65125805,-6.0367456,85,2006FEMA
-70.21640507,43.65125549,-6.0367456,86,2006FEMA
-70.21640643,43.65125293,-6.0367456,87,2006FEMA
-70.21640779,43.65125037,-6.0367456,88,2006FEMA
-70.21640915,43.65124781,-6.0367456,89,2006FEMA
-70.21641052,43.65124525,-6.0367456,90,2006FEMA
-70.21641188,43.65124269,-6.0367456,91,2006FEMA
-70.21641324,43.65124013,-6.0367456,92,2006FEMA
-70.2164146,43.65123757,-6.0367456,93,2006FEMA
-70.21641597,43.65123501,-6.0367456,94,2006FEMA
-70.21641733,43.65123245,-5.86942276,95,2006FEMA
-70.21641869,43.6512299,-5.86942276,96,2006FEMA
-70.21642005,43.65122734,-5.86942276,97,2006FEMA
-70.21642141,43.65122478,-5.86942276,98,2006FEMA
-70.21642278,43.65122222,-5.86942276,99,2006FEMA
-70.21642414,43.65121966,-5.86942276,100,2006FEMA
-70.2164255,43.6512171,-5.86942276,101,2006FEMA
-70.21642686,43.65121454,-5.86942276,102,2006FEMA
-70.21642822,43.65121198,-5.86942276,103,2006FEMA
-70.21642959,43.65120942,-5.86942276,104,2006FEMA
-70.21643095,43.65120686,-5.86942276,105,2006FEMA
-70.21643231,43.6512043,-5.86942276,106,2006FEMA
-70.21643367,43.65120174,-5.86942276,107,2006FEMA
-70.21643504,43.65119918,-5.86942276,108,2006FEMA
-70.2164364,43.65119662,-5.86942276,109,2006FEMA
-70.21643776,43.65119406,-5.86942276,110,2006FEMA
-70.21643912,43.6511915,-5.86942276,111,2006FEMA
-70.21644048,43.65118894,-5.86942276,112,2006FEMA
-70.21644185,43.65118638,-5.86942276,113,2006FEMA
-70.21644321,43.65118382,-5.86942276,114,2006FEMA
-70.21644457,43.65118126,-5.86942276,115,2006FEMA
-70.21644593,43.6511787,-6.39435716,116,2006FEMA
-70.2164473,43.65117614,-6.39435716,117,2006FEMA
-70.21644866,43.65117358,-6.39435716,118,2006FEMA
-70.21645002,43.65117102,-6.39435716,119,2006FEMA
-70.21645138,43.65116846,-6.39435716,120,2006FEMA
-70.21645274,43.6511659,-6.39435716,121,2006FEMA
-70.21645411,43.65116334,-6.39435716,122,2006FEMA
-70.21645547,43.65116078,-6.39435716,123,2006FEMA
-70.21645683,43.65115822,-6.39435716,124,2006FEMA
-70.21645819,43.65115566,-6.39435716,125,2006FEMA
-70.21645955,43.6511531,-6.39435716,126,2006FEMA
-70.21646092,43.65115055,-6.39435716,127,2006FEMA
-70.21646228,43.65114799,-6.39435716,128,2006FEMA
-70.21646364,43.65114543,-6.39435716,129,2006FEMA
-70.216465,43.65114287,-6.39435716,130,2006FEMA
-70.21646637,43.65114031,-6.39435716,131,2006FEMA
-70.21646773,43.65113775,-6.39435716,132,2006FEMA
-70.21646909,43.65113519,-6.39435716,133,2006FEMA
-70.21647045,43.65113263,-6.39435716,134,2006FEMA
-70.21647181,43.65113007,-6.39435716,135,2006FEMA
-70.21647318,43.65112751,-6.39435716,136,2006FEMA
-70.21647454,43.65112495,-6.39435716,137,2006FEMA
-70.2164759,43.65112239,-6.39435716,138,2006FEMA
-70.21647726,43.65111983,-6.39435716,139,2006FEMA
-70.21647862,43.65111727,-6.39435716,140,2006FEMA
-70.21647999,43.65111471,-6.39435716,141,2006FEMA
-70.21648135,43.65111215,-6.39435716,142,2006FEMA
-70.21648271,43.65110959,-6.39435716,143,2006FEMA
-70.21648407,43.65110703,-6.39435716,144,2006FEMA
-70.21648544,43.65110447,-6.39435716,145,2006FEMA
-70.2164868,43.65110191,-6.39435716,146,2006FEMA
-70.21648816,43.65109935,-6.00065636,147,2006FEMA
-70.21648952,43.65109679,-6.00065636,148,2006FEMA
