X,Y,Zlidar,STA,SOURCE
-70.20699561,43.64860013,-5.33792668,97,2006FEMA
-70.20699861,43.64859846,-5.33792668,98,2006FEMA
-70.20700161,43.64859679,-5.33792668,99,2006FEMA
-70.20700461,43.64859512,-5.33792668,100,2006FEMA
-70.2070076,43.64859345,-5.60367472,101,2006FEMA
-70.2070106,43.64859178,-5.60367472,102,2006FEMA
-70.2070136,43.64859011,-5.60367472,103,2006FEMA
-70.2070166,43.64858844,-5.80052512,104,2006FEMA
-70.2070196,43.64858677,-5.76443588,105,2006FEMA
-70.20702259,43.6485851,-5.76443588,106,2006FEMA
-70.20702559,43.64858343,-5.76443588,107,2006FEMA
-70.20702859,43.64858176,-5.76443588,108,2006FEMA
-70.20703159,43.64858008,-5.76443588,109,2006FEMA
-70.20703459,43.64857841,-5.76443588,110,2006FEMA
-70.20703758,43.64857674,-5.76443588,111,2006FEMA
-70.20704058,43.64857507,-5.76443588,112,2006FEMA
-70.20704358,43.6485734,-5.76443588,113,2006FEMA
-70.20704658,43.64857173,-5.76443588,114,2006FEMA
-70.20704958,43.64857006,-5.76443588,115,2006FEMA
-70.20705257,43.64856839,-5.76443588,116,2006FEMA
-70.20705557,43.64856672,-5.76443588,117,2006FEMA
-70.20705857,43.64856505,-5.76443588,118,2006FEMA
-70.20706157,43.64856338,-5.76443588,119,2006FEMA
-70.20706456,43.64856171,-5.76443588,120,2006FEMA
-70.20706756,43.64856004,-5.76443588,121,2006FEMA
-70.20707056,43.64855837,-5.76443588,122,2006FEMA
-70.20707356,43.64855669,-5.50524952,123,2006FEMA
-70.20707656,43.64855502,-5.40354348,124,2006FEMA
-70.20707955,43.64855335,-5.40354348,125,2006FEMA
-70.20708255,43.64855168,-5.40354348,126,2006FEMA
-70.20708555,43.64855001,-5.40354348,127,2006FEMA
-70.20708855,43.64854834,-5.40354348,128,2006FEMA
-70.20709155,43.64854667,-5.40354348,129,2006FEMA
-70.20709454,43.648545,-5.40354348,130,2006FEMA
-70.20709754,43.64854333,-5.57086632,131,2006FEMA
-70.20710054,43.64854166,-5.57086632,132,2006FEMA
-70.20710354,43.64853999,-5.57086632,133,2006FEMA
-70.20710654,43.64853832,-5.57086632,134,2006FEMA
-70.20710953,43.64853665,-5.57086632,135,2006FEMA
-70.20711253,43.64853497,-5.57086632,136,2006FEMA
-70.20711553,43.6485333,-5.57086632,137,2006FEMA
-70.20711853,43.64853163,-5.57086632,138,2006FEMA
-70.20712153,43.64852996,-5.57086632,139,2006FEMA
-70.20712452,43.64852829,-5.57086632,140,2006FEMA
-70.20712752,43.64852662,-5.57086632,141,2006FEMA
-70.20713052,43.64852495,-5.57086632,142,2006FEMA
-70.20713352,43.64852328,-5.76443588,143,2006FEMA
-70.20713651,43.64852161,-5.76443588,144,2006FEMA
-70.20713951,43.64851994,-5.76443588,145,2006FEMA
-70.20714251,43.64851827,-5.76443588,146,2006FEMA
-70.20714551,43.6485166,-5.76443588,147,2006FEMA
-70.20714851,43.64851493,-5.76443588,148,2006FEMA
-70.2071515,43.64851326,-5.76443588,149,2006FEMA
-70.2071545,43.64851158,-5.76443588,150,2006FEMA
-70.2071575,43.64850991,-5.76443588,151,2006FEMA
-70.2071605,43.64850824,-5.76443588,152,2006FEMA
-70.2071635,43.64850657,-5.76443588,153,2006FEMA
-70.20716649,43.6485049,-5.76443588,154,2006FEMA
-70.20716949,43.64850323,-5.76443588,155,2006FEMA
-70.20717249,43.64850156,-5.76443588,156,2006FEMA
-70.20717549,43.64849989,-5.76443588,157,2006FEMA
-70.20717849,43.64849822,-5.27559072,158,2006FEMA
-70.20718148,43.64849655,-5.27559072,159,2006FEMA
-70.20718448,43.64849488,-5.27559072,160,2006FEMA
-70.20718748,43.64849321,-5.27559072,161,2006FEMA
-70.20719048,43.64849154,-5.27559072,162,2006FEMA
-70.20719348,43.64848987,-5.27559072,163,2006FEMA
-70.20719647,43.64848819,-5.27559072,164,2006FEMA
-70.20719947,43.64848652,-5.27559072,165,2006FEMA
-70.20720247,43.64848485,-5.27559072,166,2006FEMA
-70.20720547,43.64848318,-5.27559072,167,2006FEMA
-70.20720846,43.64848151,-5.27559072,168,2006FEMA
-70.20721146,43.64847984,-5.27559072,169,2006FEMA
-70.20721446,43.64847817,-5.69881908,170,2006FEMA
-70.20721746,43.6484765,-5.69881908,171,2006FEMA
-70.20722046,43.64847483,-5.69881908,172,2006FEMA
-70.20722345,43.64847316,-5.69881908,173,2006FEMA
-70.20722645,43.64847149,-5.69881908,174,2006FEMA
-70.20722945,43.64846982,-5.69881908,175,2006FEMA
-70.20723245,43.64846815,-5.69881908,176,2006FEMA
-70.20723545,43.64846648,-5.69881908,177,2006FEMA
-70.20723844,43.6484648,-5.69881908,178,2006FEMA
-70.20724144,43.64846313,-5.69881908,179,2006FEMA
-70.20724444,43.64846146,-5.69881908,180,2006FEMA
-70.20724744,43.64845979,-5.69881908,181,2006FEMA
-70.20725044,43.64845812,-5.53477708,182,2006FEMA
-70.20725343,43.64845645,-5.53477708,183,2006FEMA
-70.20725643,43.64845478,-5.53477708,184,2006FEMA
-70.20725943,43.64845311,-5.76443588,185,2006FEMA
-70.20726243,43.64845144,-5.76443588,186,2006FEMA
-70.20726542,43.64844977,-5.76443588,187,2006FEMA
-70.20726842,43.6484481,-5.76443588,188,2006FEMA
-70.20727142,43.64844643,-5.70538076,189,2006FEMA
-70.20727442,43.64844476,-5.70538076,190,2006FEMA
-70.20727742,43.64844308,-5.70538076,191,2006FEMA
-70.20728041,43.64844141,-5.70538076,192,2006FEMA
-70.20728341,43.64843974,-5.70538076,193,2006FEMA
-70.20728641,43.64843807,-5.70538076,194,2006FEMA
-70.20728941,43.6484364,-5.53477708,195,2006FEMA
-70.20729241,43.64843473,-5.53477708,196,2006FEMA
-70.2072954,43.64843306,-5.53477708,197,2006FEMA
-70.2072984,43.64843139,-5.53477708,198,2006FEMA
-70.2073014,43.64842972,-5.53477708,199,2006FEMA
-70.2073044,43.64842805,-5.53477708,200,2006FEMA
-70.2073074,43.64842638,-5.53477708,201,2006FEMA
