header
IE0.0    -16.238       1       1 9.3261  7.1254  11.615    56.14   56.14
OF79.0   -7.688     0.00 9.3244     0.00    0.00    0.00    0.00    0.00
OF80.0   -7.5578    0.00 9.3243     0.00    0.00    0.00    0.00    0.00
OF81.0   -7.4272    0.00 9.3243     0.00    0.00    0.00    0.00    0.00
OF82.0   -7.2973    0.00 9.3243     0.00    0.00    0.00    0.00    0.00
OF83.0   -7.1667    0.00 9.3243     0.00    0.00    0.00    0.00    0.00
OF84.0   -7.0368    0.00 9.3243     0.00    0.00    0.00    0.00    0.00
OF85.0   -6.9061    0.00 9.3242     0.00    0.00    0.00    0.00    0.00
OF86.0   -6.7759    0.00 9.3242     0.00    0.00    0.00    0.00    0.00
OF87.0   -6.6456    0.00 9.3242     0.00    0.00    0.00    0.00    0.00
OF88.0   -6.5154    0.00 9.3242     0.00    0.00    0.00    0.00    0.00
OF89.0   -6.3899    0.00 9.3242     0.00    0.00    0.00    0.00    0.00
OF90.0   -6.2724    0.00 9.3242     0.00    0.00    0.00    0.00    0.00
OF91.0   -6.1545    0.00 9.3241     0.00    0.00    0.00    0.00    0.00
OF92.0   -6.0373    0.00 9.3241     0.00    0.00    0.00    0.00    0.00
OF93.0   -5.9194    0.00 9.3241     0.00    0.00    0.00    0.00    0.00
OF94.0   -5.8022    0.00 9.3241     0.00    0.00    0.00    0.00    0.00
OF95.0   -5.6843    0.00 9.3241     0.00    0.00    0.00    0.00    0.00
OF96.0   -5.5668    0.00 9.324      0.00    0.00    0.00    0.00    0.00
OF97.0   -5.4492    0.00 9.324      0.00    0.00    0.00    0.00    0.00
OF98.0   -5.3317    0.00 9.324      0.00    0.00    0.00    0.00    0.00
OF99.0   -5.2138    0.00 9.324      0.00    0.00    0.00    0.00    0.00
OF100.0  -5.0966    0.00 9.324      0.00    0.00    0.00    0.00    0.00
OF101.0  -4.9787    0.00 9.324      0.00    0.00    0.00    0.00    0.00
OF102.0  -4.8615    0.00 9.3239     0.00    0.00    0.00    0.00    0.00
OF103.0  -4.7436    0.00 9.3239     0.00    0.00    0.00    0.00    0.00
OF104.0  -4.6261    0.00 9.3239     0.00    0.00    0.00    0.00    0.00
OF105.0  -4.5089    0.00 9.3239     0.00    0.00    0.00    0.00    0.00
OF106.0  -4.391     0.00 9.3239     0.00    0.00    0.00    0.00    0.00
OF107.0  -4.2738    0.00 9.3238     0.00    0.00    0.00    0.00    0.00
OF108.0  -4.1559    0.00 9.3238     0.00    0.00    0.00    0.00    0.00
OF109.0  -4.0384    0.00 9.3238     0.00    0.00    0.00    0.00    0.00
OF110.0  -3.9208    0.00 9.3238     0.00    0.00    0.00    0.00    0.00
OF111.0  -3.8138    0.00 9.3238     0.00    0.00    0.00    0.00    0.00
OF112.0  -3.7738    0.00 9.3238     0.00    0.00    0.00    0.00    0.00
