header
IE0.0    -11.947       1       1 9.3612  13.1416 12.9      56.14   56.14
OF1.0    -11.941    0.00 9.3613     0.00    0.00    0.00    0.00    0.00
OF2.0    -11.935    0.00 9.3613     0.00    0.00    0.00    0.00    0.00
OF3.3    -11.927    0.00 9.3613     0.00    0.00    0.00    0.00    0.00
OF105.0  -11.521    0.00 9.3613     0.00    0.00    0.00    0.00    0.00
OF111.5  -11.498    0.00 9.3613     0.00    0.00    0.00    0.00    0.00
OF114.8  -11.487    0.00 9.3612     0.00    0.00    0.00    0.00    0.00
OF118.1  -11.476    0.00 9.3613     0.00    0.00    0.00    0.00    0.00
OF121.4  -11.464    0.00 9.3614     0.00    0.00    0.00    0.00    0.00
OF124.7  -11.453    0.00 9.3613     0.00    0.00    0.00    0.00    0.00
OF128.0  -11.442    0.00 9.3614     0.00    0.00    0.00    0.00    0.00
OF131.2  -11.430    0.00 9.3615     0.00    0.00    0.00    0.00    0.00
OF134.5  -11.419    0.00 9.3615     0.00    0.00    0.00    0.00    0.00
OF137.8  -11.407    0.00 9.3615     0.00    0.00    0.00    0.00    0.00
OF141.1  -11.396    0.00 9.3616     0.00    0.00    0.00    0.00    0.00
OF144.4  -11.385    0.00 9.3616     0.00    0.00    0.00    0.00    0.00
OF147.6  -11.373    0.00 9.3617     0.00    0.00    0.00    0.00    0.00
OF150.9  -11.362    0.00 9.3618     0.00    0.00    0.00    0.00    0.00
OF154.2  -11.351    0.00 9.3617     0.00    0.00    0.00    0.00    0.00
OF157.5  -11.339    0.00 9.3618     0.00    0.00    0.00    0.00    0.00
OF160.8  -11.328    0.00 9.3619     0.00    0.00    0.00    0.00    0.00
OF164.0  -11.316    0.00 9.3619     0.00    0.00    0.00    0.00    0.00
OF167.3  -11.305    0.00 9.362      0.00    0.00    0.00    0.00    0.00
OF170.6  -11.294    0.00 9.3621     0.00    0.00    0.00    0.00    0.00
OF173.9  -11.282    0.00 9.362      0.00    0.00    0.00    0.00    0.00
OF177.2  -11.271    0.00 9.3621     0.00    0.00    0.00    0.00    0.00
OF180.4  -11.26     0.00 9.3622     0.00    0.00    0.00    0.00    0.00
OF183.7  -11.248    0.00 9.3622     0.00    0.00    0.00    0.00    0.00
