header
OF68.0   -0.1220    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF69.0   -0.0733    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF70.0   -0.0243    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF73.5   0.56759    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF81.0   -0.3510    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
OF90.0   -0.0557    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF99.0   0.14108    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF106.5  0.69882    0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF113.5  1.0597     0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF121.0  2.7986     0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF128.0  4.4062     0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF134.5  5.6201     0.00 9.4035     0.00    0.00    0.00    0.00    0.00
IF141.1  8.3524     0.00 9.5085     0.00    0.00    0.00    0.00    0.00
IF144.4  8.2178     0.00 9.6287     0.00    0.00    0.00    0.00    0.00
IF147.6  8.0833     0.00 9.6413     0.00    0.00    0.00    0.00    0.00
IF150.9  8.0252     0.00 9.637      0.00    0.00    0.00    0.00    0.00
IF154.2  7.9945     0.00 9.641      0.00    0.00    0.00    0.00    0.00
IF157.5  7.9637     0.00 9.6452     0.00    0.00    0.00    0.00    0.00
IF160.8  7.9907     0.00 9.6482     0.00    0.00    0.00    0.00    0.00
IF164.0  8.0676     0.00 9.6508     0.00    0.00    0.00    0.00    0.00
IF167.3  8.1068     0.00 9.6535     0.00    0.00    0.00    0.00    0.00
IF170.6  8.0903     0.00 9.6568     0.00    0.00    0.00    0.00    0.00
IF173.9  8.1164     0.00 9.6589     0.00    0.00    0.00    0.00    0.00
IF177.2  8.201      0.00 9.6606     0.00    0.00    0.00    0.00    0.00
IF180.4  8.2855     0.00 9.6624     0.00    0.00    0.00    0.00    0.00
IF183.7  8.3701     0.00 9.6647     0.00    0.00    0.00    0.00    0.00
IF187.0  8.4543     0.00 9.6677     0.00    0.00    0.00    0.00    0.00
IF190.3  8.5363     0.00 9.6707     0.00    0.00    0.00    0.00    0.00
IF193.6  8.6183     0.00 9.6743     0.00    0.00    0.00    0.00    0.00
IF196.8  8.7003     0.00 9.6779     0.00    0.00    0.00    0.00    0.00
IF200.1  8.6079     0.00 9.6826     0.00    0.00    0.00    0.00    0.00
IF203.4  8.6199     0.00 9.6846     0.00    0.00    0.00    0.00    0.00
IF206.7  8.6319     0.00 9.6859     0.00    0.00    0.00    0.00    0.00
IF210.0  8.6232     0.00 9.6874     0.00    0.00    0.00    0.00    0.00
IF213.3  8.5892     0.00 9.6885     0.00    0.00    0.00    0.00    0.00
IF216.5  8.5552     0.00 9.6893     0.00    0.00    0.00    0.00    0.00
IF219.8  8.6592     0.00 9.6891     0.00    0.00    0.00    0.00    0.00
IF223.1  8.8745     0.00 9.6889     0.00    0.00    0.00    0.00    0.00
IF226.4  9.0144     0.00 9.6921     0.00    0.00    0.00    0.00    0.00
IF229.7  8.9482     0.00 9.6972     0.00    0.00    0.00    0.00    0.00
IF232.9  9.0344     0.00 9.6991     0.00    0.00    0.00    0.00    0.00
IF236.2  9.1773     0.00 9.7026     0.00    0.00    0.00    0.00    0.00
IF239.5  8.8776     0.00 9.708      0.00    0.00    0.00    0.00    0.00
IF242.8  9.1543     0.00 9.7071     0.00    0.00    0.00    0.00    0.00
IF246.0  9.4259     0.00 9.7071     0.00    0.00    0.00    0.00    0.00
IF251.0  9.6883     0.00 9.7071     0.00    0.00    0.00    0.00    0.00
IF256.0  9.5243     0.00 9.7071     0.00    0.00    0.00    0.00    0.00
IF257.6  9.7071     0.00 9.7071     0.00    0.00    0.00    0.00    0.00
AS319.6  9.6261     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF320.0  9.6161     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF320.2  9.6261     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
AS334.3  9.6261     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF338.0  9.2585     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF351.0  9.5571     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF358.0  9.4915     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF372.0  9.0289     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF388.5  7.2572     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF400.5  6.9948     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF409.0  7.4541     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF416.5  7.4213     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF423.5  7.29       0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF431.5  7.1588     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF441.5  7.3556     0.00 9.6256     0.00    0.00    0.00    0.00    0.00
IF448.0  7.0276     0.00 9.6253     0.00    0.00    0.00    0.00    0.00
IF451.5  6.5682     0.00 9.6252     0.00    0.00    0.00    0.00    0.00
IF459.5  6.8307     0.00 9.6248     0.00    0.00    0.00    0.00    0.00
IF469.5  6.4042     0.00 9.6243     0.00    0.00    0.00    0.00    0.00
IF480.5  6.437      0.00 9.6237     0.00    0.00    0.00    0.00    0.00
IF490.0  5.7808     0.00 9.6232     0.00    0.00    0.00    0.00    0.00
IF499.0  5.8465     0.00 9.6226     0.00    0.00    0.00    0.00    0.00
IF511.5  5.9121     0.00 9.6219     0.00    0.00    0.00    0.00    0.00
IF520.0  5.584      0.00 9.6214     0.00    0.00    0.00    0.00    0.00
IF523.5  5.9449     0.00 9.6212     0.00    0.00    0.00    0.00    0.00
IF533.0  5.4528     0.00 9.6206     0.00    0.00    0.00    0.00    0.00
IF546.5  5.7808     0.00 9.6198     0.00    0.00    0.00    0.00    0.00
IF558.0  5.4856     0.00 9.6192     0.00    0.00    0.00    0.00    0.00
IF565.5  5.0591     0.00 9.6188     0.00    0.00    0.00    0.00    0.00
IF570.0  5.2231     0.00 9.6185     0.00    0.00    0.00    0.00    0.00
IF578.5  5.7152     0.00 9.6181     0.00    0.00    0.00    0.00    0.00
IF589.5  5.8793     0.00 9.6176     0.00    0.00    0.00    0.00    0.00
IF596.0  5.4528     0.00 9.6173     0.00    0.00    0.00    0.00    0.00
IF602.0  5.6168     0.00 9.617      0.00    0.00    0.00    0.00    0.00
IF612.0  5.7808     0.00 9.6166     0.00    0.00    0.00    0.00    0.00
IF623.0  5.3215     0.00 9.6161     0.00    0.00    0.00    0.00    0.00
IF634.0  5.6168     0.00 9.6155     0.00    0.00    0.00    0.00    0.00
IF645.0  5.5512     0.00 9.615      0.00    0.00    0.00    0.00    0.00
IF655.0  4.895      0.00 9.6145     0.00    0.00    0.00    0.00    0.00
IF664.0  4.1404     0.00 9.614      0.00    0.00    0.00    0.00    0.00
IF675.0  3.8451     0.00 9.6134     0.00    0.00    0.00    0.00    0.00
IF689.0  4.9606     0.00 9.6127     0.00    0.00    0.00    0.00    0.00
IF700.0  5.2231     0.00 9.6121     0.00    0.00    0.00    0.00    0.00
IF709.5  4.7638     0.00 9.6116     0.00    0.00    0.00    0.00    0.00
IF716.0  4.9606     0.00 9.6113     0.00    0.00    0.00    0.00    0.00
IF719.0  4.9934     0.00 9.6111     0.00    0.00    0.00    0.00    0.00
IF725.5  5.0262     0.00 9.6108     0.00    0.00    0.00    0.00    0.00
IF735.5  5.2231     0.00 9.6103     0.00    0.00    0.00    0.00    0.00
IF745.0  4.9606     0.00 9.6098     0.00    0.00    0.00    0.00    0.00
IF754.5  5.3543     0.00 9.6093     0.00    0.00    0.00    0.00    0.00
IF763.5  5.0919     0.00 9.6091     0.00    0.00    0.00    0.00    0.00
IF771.0  4.7966     0.00 9.6089     0.00    0.00    0.00    0.00    0.00
IF777.0  5.2231     0.00 9.6088     0.00    0.00    0.00    0.00    0.00
IF786.0  5.5184     0.00 9.6085     0.00    0.00    0.00    0.00    0.00
IF800.0  5.584      0.00 9.6082     0.00    0.00    0.00    0.00    0.00
IF816.0  6.0761     0.00 9.6079     0.00    0.00    0.00    0.00    0.00
IF835.5  7.0276     0.00 9.6074     0.00    0.00    0.00    0.00    0.00
IF850.5  7.3228     0.00 9.607      0.00    0.00    0.00    0.00    0.00
IF862.5  7.8478     0.00 9.6067     0.00    0.00    0.00    0.00    0.00
IF879.5  8.3071     0.00 9.6063     0.00    0.00    0.00    0.00    0.00
IF890.0  8.7664     0.00 9.6061     0.00    0.00    0.00    0.00    0.00
IF897.5  7.3163     0.00 9.6059     0.00    0.00    0.00    0.00    0.00
IF921.5  6.9619     0.00 9.6053     0.00    0.00    0.00    0.00    0.00
IF944.5  8.7959     0.00 9.6053     0.00    0.00    0.00    0.00    0.00
IF964.5  8.2054     0.00 9.6053     0.00    0.00    0.00    0.00    0.00
IF987.5  7.6181     0.00 9.6053     0.00    0.00    0.00    0.00    0.00
IF1005.0 7.874      0.00 9.5937     0.00    0.00    0.00    0.00    0.00
IF1016.5 7.0604     0.00 9.5916     0.00    0.00    0.00    0.00    0.00
IF1034.0 7.3885     0.00 9.5886     0.00    0.00    0.00    0.00    0.00
IF1041.5 7.0932     0.00 9.5872     0.00    0.00    0.00    0.00    0.00
IF1047.5 7.126      0.00 9.5862     0.00    0.00    0.00    0.00    0.00
IF1057.5 7.4541     0.00 9.5844     0.00    0.00    0.00    0.00    0.00
IF1068.0 7.8806     0.00 9.5826     0.00    0.00    0.00    0.00    0.00
IF1082.0 8.9961     0.00 9.5826     0.00    0.00    0.00    0.00    0.00
IF1092.0 8.7598     0.00 9.5826     0.00    0.00    0.00    0.00    0.00
IF1093.0 8.6942     0.00 9.5826     0.00    0.00    0.00    0.00    0.00
IF1100.5 9.0945     0.00 9.5826     0.00    0.00    0.00    0.00    0.00
IF1108.0 9.5826     0.00 9.5826     0.00    0.00    0.00    0.00    0.00
AS1173.3 9.6261     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF1173.5 9.5866     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF1179.5 9.2585     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF1188.5 9.5538     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF1190.3 9.6261     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
AS1226.3 9.6261     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
IF1226.5 9.6194     0.00 9.6261     0.00    0.00    0.00    0.00    0.00
PS START(383686.1918,4803090.2879)
PS END(383576.4041,4803600.7391)
ET
 
 
 
