header
IE0.0    -23.773       1       1 9.0423  29.6151 13.8399   56.14   56.14
OF3.3    -23.739    0.00 9.0445     0.00    0.00    0.00    0.00    0.00
OF6.6    -23.706    0.00 9.0468     0.00    0.00    0.00    0.00    0.00
OF9.8    -23.672    0.00 9.0491     0.00    0.00    0.00    0.00    0.00
OF13.1   -23.639    0.00 9.0515     0.00    0.00    0.00    0.00    0.00
OF16.4   -23.605    0.00 9.054      0.00    0.00    0.00    0.00    0.00
OF19.7   -23.572    0.00 9.0565     0.00    0.00    0.00    0.00    0.00
OF23.0   -23.538    0.00 9.059      0.00    0.00    0.00    0.00    0.00
OF26.2   -23.505    0.00 9.0616     0.00    0.00    0.00    0.00    0.00
OF29.5   -23.471    0.00 9.0643     0.00    0.00    0.00    0.00    0.00
OF32.8   -23.437    0.00 9.0669     0.00    0.00    0.00    0.00    0.00
OF36.1   -23.404    0.00 9.0696     0.00    0.00    0.00    0.00    0.00
OF39.4   -23.370    0.00 9.0723     0.00    0.00    0.00    0.00    0.00
OF42.7   -23.337    0.00 9.0751     0.00    0.00    0.00    0.00    0.00
OF45.9   -23.303    0.00 9.0778     0.00    0.00    0.00    0.00    0.00
OF49.2   -23.270    0.00 9.0806     0.00    0.00    0.00    0.00    0.00
OF52.5   -23.236    0.00 9.0834     0.00    0.00    0.00    0.00    0.00
OF55.8   -23.203    0.00 9.0861     0.00    0.00    0.00    0.00    0.00
OF59.1   -23.151    0.00 9.0886     0.00    0.00    0.00    0.00    0.00
OF62.3   -23.077    0.00 9.0911     0.00    0.00    0.00    0.00    0.00
OF65.6   -23.003    0.00 9.0936     0.00    0.00    0.00    0.00    0.00
OF68.9   -22.929    0.00 9.0962     0.00    0.00    0.00    0.00    0.00
OF72.2   -22.856    0.00 9.0984     0.00    0.00    0.00    0.00    0.00
OF75.5   -22.782    0.00 9.101      0.00    0.00    0.00    0.00    0.00
OF78.7   -22.708    0.00 9.1036     0.00    0.00    0.00    0.00    0.00
OF82.0   -22.634    0.00 9.1062     0.00    0.00    0.00    0.00    0.00
OF85.3   -22.560    0.00 9.1085     0.00    0.00    0.00    0.00    0.00
OF88.6   -22.486    0.00 9.1111     0.00    0.00    0.00    0.00    0.00
OF91.9   -22.412    0.00 9.1137     0.00    0.00    0.00    0.00    0.00
OF95.1   -22.339    0.00 9.1164     0.00    0.00    0.00    0.00    0.00
OF98.4   -22.265    0.00 9.1187     0.00    0.00    0.00    0.00    0.00
OF101.7  -22.191    0.00 9.1214     0.00    0.00    0.00    0.00    0.00
OF105.0  -22.117    0.00 9.1241     0.00    0.00    0.00    0.00    0.00
OF108.3  -22.043    0.00 9.1269     0.00    0.00    0.00    0.00    0.00
OF111.5  -21.969    0.00 9.1293     0.00    0.00    0.00    0.00    0.00
OF114.8  -21.893    0.00 9.132      0.00    0.00    0.00    0.00    0.00
OF118.1  -21.806    0.00 9.1344     0.00    0.00    0.00    0.00    0.00
OF121.4  -21.719    0.00 9.1372     0.00    0.00    0.00    0.00    0.00
OF124.7  -21.632    0.00 9.1397     0.00    0.00    0.00    0.00    0.00
OF128.0  -21.545    0.00 9.1422     0.00    0.00    0.00    0.00    0.00
OF131.2  -21.458    0.00 9.1451     0.00    0.00    0.00    0.00    0.00
