X,Y,Z,STA,source
-70.3629381800,43.4333857100,-36.9264745968,-1607.00,Maine ADCIRC model
-70.3629413100,43.4333872400,-36.9128712189,-1606.00,Maine ADCIRC model
-70.3629444400,43.4333887600,-36.8993116951,-1605.00,Maine ADCIRC model
-70.3629475600,43.4333902900,-36.8857303417,-1604.00,Maine ADCIRC model
-70.3629506900,43.4333918200,-36.8721269637,-1603.00,Maine ADCIRC model
-70.3629538100,43.4333933500,-36.8585456103,-1602.00,Maine ADCIRC model
-70.3629569400,43.4333948800,-36.8449422323,-1601.00,Maine ADCIRC model
-70.3629600700,43.4333964100,-36.8313388544,-1600.00,Maine ADCIRC model
-70.3629631900,43.4333979400,-36.8177575009,-1599.00,Maine ADCIRC model
-70.3629663200,43.4333994700,-36.8041541230,-1598.00,Maine ADCIRC model
-70.3629694500,43.4334010000,-36.7905507450,-1597.00,Maine ADCIRC model
-70.3629725700,43.4334025200,-36.7770132458,-1596.00,Maine ADCIRC model
-70.3629757000,43.4334040500,-36.7634098678,-1595.00,Maine ADCIRC model
-70.3629788200,43.4334055800,-36.7498285144,-1594.00,Maine ADCIRC model
-70.3629819500,43.4334071100,-36.7362251364,-1593.00,Maine ADCIRC model
-70.3629850800,43.4334086400,-36.7226217584,-1592.00,Maine ADCIRC model
-70.3629882000,43.4334101700,-36.7090404050,-1591.00,Maine ADCIRC model
-70.3629913300,43.4334117000,-36.6954370270,-1590.00,Maine ADCIRC model
-70.3629944500,43.4334132300,-36.6818556736,-1589.00,Maine ADCIRC model
-70.3629975800,43.4334147500,-36.6682961499,-1588.00,Maine ADCIRC model
-70.3630007100,43.4334162800,-36.6546927719,-1587.00,Maine ADCIRC model
-70.3630038300,43.4334178100,-36.6411114184,-1586.00,Maine ADCIRC model
-70.3630069600,43.4334193400,-36.6275080405,-1585.00,Maine ADCIRC model
-70.3630100800,43.4334208700,-36.6139266871,-1584.00,Maine ADCIRC model
-70.3630132100,43.4334224000,-36.6003233091,-1583.00,Maine ADCIRC model
-70.3630163400,43.4334239300,-36.5867199311,-1582.00,Maine ADCIRC model
-70.3630194600,43.4334254600,-36.5731385776,-1581.00,Maine ADCIRC model
-70.3630225900,43.4334269900,-36.5595351997,-1580.00,Maine ADCIRC model
-70.3630257100,43.4334285100,-36.5459977005,-1579.00,Maine ADCIRC model
-70.3630288400,43.4334300400,-36.5323943225,-1578.00,Maine ADCIRC model
-70.3630319700,43.4334315700,-36.5187909445,-1577.00,Maine ADCIRC model
-70.3630350900,43.4334331000,-36.5052095911,-1576.00,Maine ADCIRC model
-70.3630382200,43.4334346300,-36.4916062131,-1575.00,Maine ADCIRC model
-70.3630413400,43.4334361600,-36.4780248597,-1574.00,Maine ADCIRC model
-70.3630444700,43.4334376900,-36.4644214817,-1573.00,Maine ADCIRC model
-70.3630476000,43.4334392200,-36.4508181038,-1572.00,Maine ADCIRC model
-70.3630507200,43.4334407400,-36.4372806045,-1571.00,Maine ADCIRC model
-70.3630538500,43.4334422700,-36.4236772266,-1570.00,Maine ADCIRC model
-70.3630569700,43.4334438000,-36.4100958731,-1569.00,Maine ADCIRC model
-70.3630601000,43.4334453300,-36.3964924952,-1568.00,Maine ADCIRC model
-70.3630632300,43.4334468600,-36.3828891172,-1567.00,Maine ADCIRC model
-70.3630663500,43.4334483900,-36.3693077638,-1566.00,Maine ADCIRC model
-70.3630694800,43.4334499200,-36.3557043858,-1565.00,Maine ADCIRC model
-70.3630726100,43.4334514500,-36.3421010078,-1564.00,Maine ADCIRC model
-70.3630757300,43.4334529800,-36.3285196544,-1563.00,Maine ADCIRC model
-70.3630788600,43.4334545000,-36.3149601306,-1562.00,Maine ADCIRC model
-70.3630819800,43.4334560300,-36.3013787772,-1561.00,Maine ADCIRC model
-70.3630851100,43.4334575600,-36.2877753992,-1560.00,Maine ADCIRC model
-70.3630882400,43.4334590900,-36.2741720213,-1559.00,Maine ADCIRC model
-70.3630913600,43.4334606200,-36.2605906678,-1558.00,Maine ADCIRC model
-70.3630944900,43.4334621500,-36.2469872899,-1557.00,Maine ADCIRC model
-70.3630976100,43.4334636800,-36.2334059364,-1556.00,Maine ADCIRC model
-70.3631007400,43.4334652100,-36.2198025585,-1555.00,Maine ADCIRC model
-70.3631038700,43.4334667400,-36.2061991805,-1554.00,Maine ADCIRC model
-70.3631069900,43.4334682600,-36.1926616813,-1553.00,Maine ADCIRC model
-70.3631101200,43.4334697900,-36.1790583033,-1552.00,Maine ADCIRC model
-70.3631132400,43.4334713200,-36.1654769499,-1551.00,Maine ADCIRC model
-70.3631163700,43.4334728500,-36.1518735719,-1550.00,Maine ADCIRC model
-70.3631195000,43.4334743800,-36.1382701939,-1549.00,Maine ADCIRC model
-70.3631226200,43.4334759100,-36.1246888405,-1548.00,Maine ADCIRC model
-70.3631257500,43.4334774400,-36.1110854626,-1547.00,Maine ADCIRC model
-70.3631288700,43.4334789700,-36.0975041091,-1546.00,Maine ADCIRC model
