X,Y,Z,STA
-70.3404685200,43.4579971600,-2.2683697742,-5589.00
-70.3404716400,43.4579956200,-2.2409424881,-5588.00
-70.3404747500,43.4579940800,-2.2135630185,-5587.00
-70.3404778700,43.4579925400,-2.1861357324,-5586.00
-70.3404809900,43.4579910100,-2.1587896706,-5585.00
-70.3404841100,43.4579894700,-2.1313623845,-5584.00
-70.3404872300,43.4579879300,-2.1039350985,-5583.00
-70.3404903400,43.4579863900,-2.0765556288,-5582.00
-70.3404934600,43.4579848500,-2.0491283427,-5581.00
-70.3404965800,43.4579833100,-2.0217010566,-5580.00
-70.3404997000,43.4579817700,-1.9942737706,-5579.00
-70.3405028100,43.4579802300,-1.9668943009,-5578.00
-70.3405059300,43.4579787000,-1.9395482391,-5577.00
-70.3405090500,43.4579771600,-1.9121209531,-5576.00
-70.3405121700,43.4579756200,-1.8846936670,-5575.00
-70.3405152900,43.4579740800,-1.8572663809,-5574.00
-70.3405184000,43.4579725400,-1.8298869113,-5573.00
-70.3405215200,43.4579710000,-1.8024596252,-5572.00
-70.3405246400,43.4579694600,-1.7750323391,-5571.00
-70.3405277600,43.4579679200,-1.7476050530,-5570.00
-70.3405308700,43.4579663900,-1.7203068077,-5569.00
-70.3405339900,43.4579648500,-1.6928795216,-5568.00
-70.3405371100,43.4579633100,-1.6654522355,-5567.00
-70.3405402300,43.4579617700,-1.6380249494,-5566.00
-70.3405433500,43.4579602300,-1.6105976633,-5565.00
-70.3405464600,43.4579586900,-1.5832181937,-5564.00
-70.3405495800,43.4579571500,-1.5557909076,-5563.00
-70.3405527000,43.4579556100,-1.5283636215,-5562.00
-70.3405558200,43.4579540700,-1.5009363354,-5561.00
-70.3405589400,43.4579525400,-1.4735902737,-5560.00
-70.3405620500,43.4579510000,-1.4462108040,-5559.00
-70.3405651700,43.4579494600,-1.4187835179,-5558.00
-70.3405682900,43.4579479200,-1.3913562319,-5557.00
-70.3405714100,43.4579463800,-1.3639289458,-5556.00
-70.3405745300,43.4579448400,-1.3365016597,-5555.00
-70.3405776400,43.4579433000,-1.3091221899,-5554.00
-70.3405807600,43.4579417600,-1.2816949039,-5553.00
-70.3405838800,43.4579402300,-1.2543488421,-5552.00
-70.3405870000,43.4579386900,-1.2269215560,-5551.00
-70.3405901100,43.4579371500,-1.1995420864,-5550.00
-70.3405932300,43.4579356100,-1.1721148003,-5549.00
-70.3405963500,43.4579340700,-1.1446875142,-5548.00
-70.3405994700,43.4579325300,-1.1172602281,-5547.00
-70.3406025900,43.4579309900,-1.0898329420,-5546.00
-70.3406057000,43.4579294500,-1.0624534724,-5545.00
-70.3406088200,43.4579279200,-1.0351074107,-5544.00
