X,Y,Z,STA
-70.3473792400,43.4634962600,-38.1796256483,-7347.00
-70.3473827700,43.4634953100,-38.1692420913,-7346.00
-70.3473863100,43.4634943700,-38.1588599580,-7345.00
-70.3473898500,43.4634934200,-38.1484535253,-7344.00
-70.3473933800,43.4634924800,-38.1380942677,-7343.00
-70.3473969200,43.4634915400,-38.1277121344,-7342.00
-70.3474004600,43.4634905900,-38.1173057017,-7341.00
-70.3474039900,43.4634896500,-38.1069464440,-7340.00
-70.3474075300,43.4634887000,-38.0965400114,-7339.00
-70.3474110700,43.4634877600,-38.0861578780,-7338.00
-70.3474146000,43.4634868200,-38.0757986204,-7337.00
-70.3474181400,43.4634858700,-38.0653921877,-7336.00
-70.3474216700,43.4634849300,-38.0550329301,-7335.00
-70.3474252100,43.4634839800,-38.0446264974,-7334.00
-70.3474287500,43.4634830400,-38.0342443641,-7333.00
-70.3474322800,43.4634821000,-38.0238851065,-7332.00
-70.3474358200,43.4634811500,-38.0134786738,-7331.00
-70.3474393600,43.4634802100,-38.0030965405,-7330.00
-70.3474428900,43.4634792600,-37.9927129835,-7329.00
-70.3474464300,43.4634783200,-37.9823308502,-7328.00
-70.3474499700,43.4634773800,-37.9719487169,-7327.00
-70.3474535000,43.4634764300,-37.9615651599,-7326.00
-70.3474570400,43.4634754900,-37.9511830266,-7325.00
-70.3474605800,43.4634745400,-37.9407765939,-7324.00
-70.3474641100,43.4634736000,-37.9304173362,-7323.00
-70.3474676500,43.4634726600,-37.9200352030,-7322.00
-70.3474711900,43.4634717100,-37.9096287703,-7321.00
-70.3474747200,43.4634707700,-37.8992695127,-7320.00
-70.3474782600,43.4634698200,-37.8888630799,-7319.00
-70.3474818000,43.4634688800,-37.8784809467,-7318.00
-70.3474853300,43.4634679400,-37.8681216890,-7317.00
-70.3474888700,43.4634669900,-37.8577152563,-7316.00
-70.3474924100,43.4634660500,-37.8473331230,-7315.00
-70.3474959400,43.4634651000,-37.8369495660,-7314.00
-70.3474994800,43.4634641600,-37.8265674327,-7313.00
