X,Y,Z,STA
-70.3456987300,43.4619062600,-38.7719113042,-5220.00
-70.3456997600,43.4619036200,-38.7630126073,-5219.00
-70.3457007900,43.4619009800,-38.7541139104,-5218.00
-70.3457018200,43.4618983400,-38.7452152135,-5217.00
-70.3457028500,43.4618957100,-38.7363382721,-5216.00
-70.3457038800,43.4618930700,-38.7274395752,-5215.00
-70.3457049100,43.4618904300,-38.7185408783,-5214.00
-70.3457059400,43.4618877900,-38.7096421813,-5213.00
-70.3457069700,43.4618851500,-38.7007434844,-5212.00
-70.3457080000,43.4618825100,-38.6918447875,-5211.00
-70.3457090300,43.4618798700,-38.6829460906,-5210.00
-70.3457100600,43.4618772300,-38.6740473937,-5209.00
-70.3457110900,43.4618745900,-38.6651486968,-5208.00
-70.3457121200,43.4618719600,-38.6562717554,-5207.00
-70.3457131500,43.4618693200,-38.6473730585,-5206.00
-70.3457141800,43.4618666800,-38.6384743615,-5205.00
-70.3457152200,43.4618640400,-38.6295450312,-5204.00
-70.3457162500,43.4618614000,-38.6206463343,-5203.00
-70.3457172800,43.4618587600,-38.6117476374,-5202.00
-70.3457183100,43.4618561200,-38.6028489405,-5201.00
-70.3457193400,43.4618534800,-38.5939502436,-5200.00
-70.3457203700,43.4618508400,-38.5850515467,-5199.00
-70.3457214000,43.4618482100,-38.5761746053,-5198.00
-70.3457224300,43.4618455700,-38.5672759084,-5197.00
-70.3457234600,43.4618429300,-38.5583772114,-5196.00
-70.3457244900,43.4618402900,-38.5494785145,-5195.00
-70.3457255200,43.4618376500,-38.5405798176,-5194.00
-70.3457265500,43.4618350100,-38.5316811207,-5193.00
-70.3457275800,43.4618323700,-38.5227824238,-5192.00
-70.3457286100,43.4618297300,-38.5138837269,-5191.00
-70.3457296400,43.4618270900,-38.5049850299,-5190.00
-70.3457306700,43.4618244600,-38.4961080886,-5189.00
-70.3457317000,43.4618218200,-38.4872093916,-5188.00
-70.3457327300,43.4618191800,-38.4783106947,-5187.00
