header
IE0.0    -6.4683       1       1 9.19    19.9363 14.0317   56.14   56.14
OF8.0    -6.4548    0.00 9.1927     0.00    0.00    0.00    0.00    0.00
OF9.0    -6.4531    0.00 9.1931     0.00    0.00    0.00    0.00    0.00
OF20.0   -6.4346    0.00 9.1967     0.00    0.00    0.00    0.00    0.00
OF21.0   -6.4329    0.00 9.1971     0.00    0.00    0.00    0.00    0.00
OF32.0   -6.4144    0.00 9.2012     0.00    0.00    0.00    0.00    0.00
OF33.0   -6.4127    0.00 9.2017     0.00    0.00    0.00    0.00    0.00
OF45.0   -7.2578    0.00 9.2075     0.00    0.00    0.00    0.00    0.00
OF49.2   -7.1496    0.00 9.1969     0.00    0.00    0.00    0.00    0.00
OF52.5   -7.0653    0.00 9.2032     0.00    0.00    0.00    0.00    0.00
OF55.8   -6.9809    0.00 9.2098     0.00    0.00    0.00    0.00    0.00
OF59.1   -6.8966    0.00 9.2157     0.00    0.00    0.00    0.00    0.00
OF62.3   -6.8123    0.00 9.222      0.00    0.00    0.00    0.00    0.00
OF65.6   -6.728     0.00 9.2286     0.00    0.00    0.00    0.00    0.00
OF68.9   -6.6437    0.00 9.2351     0.00    0.00    0.00    0.00    0.00
OF72.2   -6.5594    0.00 9.2411     0.00    0.00    0.00    0.00    0.00
OF75.5   -6.4751    0.00 9.2481     0.00    0.00    0.00    0.00    0.00
OF78.7   -6.3908    0.00 9.2557     0.00    0.00    0.00    0.00    0.00
OF82.0   -6.3065    0.00 9.262      0.00    0.00    0.00    0.00    0.00
OF85.3   -6.2222    0.00 9.2687     0.00    0.00    0.00    0.00    0.00
OF88.6   -6.1379    0.00 9.2747     0.00    0.00    0.00    0.00    0.00
OF91.9   -6.0536    0.00 9.2812     0.00    0.00    0.00    0.00    0.00
OF95.1   -5.9693    0.00 9.2871     0.00    0.00    0.00    0.00    0.00
OF98.4   -5.885     0.00 9.2929     0.00    0.00    0.00    0.00    0.00
OF101.7  -5.8007    0.00 9.2991     0.00    0.00    0.00    0.00    0.00
OF105.0  -5.7164    0.00 9.3044     0.00    0.00    0.00    0.00    0.00
OF108.3  -5.6321    0.00 9.31       0.00    0.00    0.00    0.00    0.00
OF111.5  -5.5478    0.00 9.3151     0.00    0.00    0.00    0.00    0.00
OF114.8  -5.4635    0.00 9.3206     0.00    0.00    0.00    0.00    0.00
OF118.1  -5.3792    0.00 9.3256     0.00    0.00    0.00    0.00    0.00
OF121.4  -5.2949    0.00 9.3311     0.00    0.00    0.00    0.00    0.00
OF124.7  -5.2106    0.00 9.3359     0.00    0.00    0.00    0.00    0.00
OF128.0  -5.1263    0.00 9.3407     0.00    0.00    0.00    0.00    0.00
OF131.2  -5.042     0.00 9.346      0.00    0.00    0.00    0.00    0.00
OF134.5  -4.9576    0.00 9.3508     0.00    0.00    0.00    0.00    0.00
OF137.8  -4.8733    0.00 9.356      0.00    0.00    0.00    0.00    0.00
OF141.1  -4.789     0.00 9.3607     0.00    0.00    0.00    0.00    0.00
OF144.4  -4.7047    0.00 9.3659     0.00    0.00    0.00    0.00    0.00
OF147.6  -4.6204    0.00 9.3705     0.00    0.00    0.00    0.00    0.00
OF150.9  -4.5361    0.00 9.375      0.00    0.00    0.00    0.00    0.00
OF154.2  -4.4518    0.00 9.38       0.00    0.00    0.00    0.00    0.00
OF157.5  -4.3675    0.00 9.3845     0.00    0.00    0.00    0.00    0.00
OF160.8  -4.2832    0.00 9.3894     0.00    0.00    0.00    0.00    0.00
OF164.0  -4.1989    0.00 9.3939     0.00    0.00    0.00    0.00    0.00
OF167.3  -4.1146    0.00 9.3988     0.00    0.00    0.00    0.00    0.00
OF170.6  -4.0303    0.00 9.4032     0.00    0.00    0.00    0.00    0.00
OF173.9  -3.946     0.00 9.4076     0.00    0.00    0.00    0.00    0.00
OF177.2  -3.8617    0.00 9.4126     0.00    0.00    0.00    0.00    0.00
OF180.4  -3.7774    0.00 9.417      0.00    0.00    0.00    0.00    0.00
OF183.7  -3.6931    0.00 9.4219     0.00    0.00    0.00    0.00    0.00
OF187.0  -3.6088    0.00 9.4264     0.00    0.00    0.00    0.00    0.00
OF190.3  -3.5245    0.00 9.4313     0.00    0.00    0.00    0.00    0.00
OF193.6  -3.4402    0.00 9.4358     0.00    0.00    0.00    0.00    0.00
OF196.8  -3.3559    0.00 9.4402     0.00    0.00    0.00    0.00    0.00
OF200.1  -3.2716    0.00 9.4451     0.00    0.00    0.00    0.00    0.00
OF203.4  -3.1873    0.00 9.4495     0.00    0.00    0.00    0.00    0.00
OF206.7  -3.103     0.00 9.4544     0.00    0.00    0.00    0.00    0.00
OF210.0  -3.0187    0.00 9.4587     0.00    0.00    0.00    0.00    0.00
OF213.3  -2.9343    0.00 9.4635     0.00    0.00    0.00    0.00    0.00
OF216.5  -2.85      0.00 9.4677     0.00    0.00    0.00    0.00    0.00
OF219.8  -2.7657    0.00 9.472      0.00    0.00    0.00    0.00    0.00
OF223.1  -2.6814    0.00 9.4767     0.00    0.00    0.00    0.00    0.00
OF226.4  -2.5971    0.00 9.4809     0.00    0.00    0.00    0.00    0.00
OF229.7  -2.5128    0.00 9.4856     0.00    0.00    0.00    0.00    0.00
OF232.9  -2.4285    0.00 9.4897     0.00    0.00    0.00    0.00    0.00
OF236.2  -2.3442    0.00 9.4943     0.00    0.00    0.00    0.00    0.00
OF239.5  -2.2599    0.00 9.4984     0.00    0.00    0.00    0.00    0.00
OF242.8  -2.1756    0.00 9.5025     0.00    0.00    0.00    0.00    0.00
OF246.1  -2.0913    0.00 9.5071     0.00    0.00    0.00    0.00    0.00
OF249.3  -2.007     0.00 9.5112     0.00    0.00    0.00    0.00    0.00
OF252.6  -1.9227    0.00 9.5157     0.00    0.00    0.00    0.00    0.00
OF255.9  -1.8384    0.00 9.5198     0.00    0.00    0.00    0.00    0.00
OF259.2  -1.7541    0.00 9.5243     0.00    0.00    0.00    0.00    0.00
OF262.5  -1.6698    0.00 9.5283     0.00    0.00    0.00    0.00    0.00
OF265.7  -1.5855    0.00 9.5323     0.00    0.00    0.00    0.00    0.00
OF269.0  -1.5012    0.00 9.5368     0.00    0.00    0.00    0.00    0.00
OF272.3  -1.4169    0.00 9.5408     0.00    0.00    0.00    0.00    0.00
OF275.6  -1.3326    0.00 9.5453     0.00    0.00    0.00    0.00    0.00
OF278.9  -1.2483    0.00 9.5493     0.00    0.00    0.00    0.00    0.00
OF282.2  -1.164     0.00 9.5538     0.00    0.00    0.00    0.00    0.00
OF285.4  -1.0797    0.00 9.5577     0.00    0.00    0.00    0.00    0.00
OF288.7  -0.9953    0.00 9.5617     0.00    0.00    0.00    0.00    0.00
OF292.0  -0.9110    0.00 9.5661     0.00    0.00    0.00    0.00    0.00
OF295.3  -0.2345    0.00 9.5612     0.00    0.00    0.00    0.00    0.00
IF298.6  0.05343    0.00 9.5639     0.00    0.00    0.00    0.00    0.00
IF301.8  0.08973    0.00 9.5718     0.00    0.00    0.00    0.00    0.00
IF305.1  0.04084    0.00 9.5809     0.00    0.00    0.00    0.00    0.00
IF308.4  0.03349    0.00 9.5884     0.00    0.00    0.00    0.00    0.00
OF311.7  -0.0670    0.00 9.5967     0.00    0.00    0.00    0.00    0.00
IF315.0  0.14328    0.00 9.6001     0.00    0.00    0.00    0.00    0.00
IF318.2  0.1333     0.00 9.6067     0.00    0.00    0.00    0.00    0.00
OF321.5  -0.1231    0.00 9.6164     0.00    0.00    0.00    0.00    0.00
OF324.8  -0.0363    0.00 9.62       0.00    0.00    0.00    0.00    0.00
IF328.1  0.41173    0.00 9.619      0.00    0.00    0.00    0.00    0.00
IF331.4  0.56851    0.00 9.6227     0.00    0.00    0.00    0.00    0.00
IF334.6  0.96223    0.00 9.6231     0.00    0.00    0.00    0.00    0.00
IF337.9  1.1243     0.00 9.6283     0.00    0.00    0.00    0.00    0.00
IF341.2  1.1377     0.00 9.6358     0.00    0.00    0.00    0.00    0.00
IF344.5  1.1931     0.00 9.643      0.00    0.00    0.00    0.00    0.00
IF347.8  1.6762     0.00 9.6425     0.00    0.00    0.00    0.00    0.00
IF351.0  1.8312     0.00 9.6492     0.00    0.00    0.00    0.00    0.00
IF354.3  2.0146     0.00 9.6563     0.00    0.00    0.00    0.00    0.00
IF357.6  2.0742     0.00 9.6654     0.00    0.00    0.00    0.00    0.00
IF360.9  2.1517     0.00 9.6741     0.00    0.00    0.00    0.00    0.00
IF364.2  2.3337     0.00 9.6803     0.00    0.00    0.00    0.00    0.00
IF367.5  2.4881     0.00 9.6875     0.00    0.00    0.00    0.00    0.00
IF370.7  2.6497     0.00 9.695      0.00    0.00    0.00    0.00    0.00
IF374.0  2.9348     0.00 9.701      0.00    0.00    0.00    0.00    0.00
IF377.3  3.1462     0.00 9.7085     0.00    0.00    0.00    0.00    0.00
IF380.6  3.3754     0.00 9.7169     0.00    0.00    0.00    0.00    0.00
IF383.9  3.5127     0.00 9.7281     0.00    0.00    0.00    0.00    0.00
IF387.1  3.5769     0.00 9.7406     0.00    0.00    0.00    0.00    0.00
