header
IE0.0    -16.356       1       1 9.0273  4.6994  6.937     56.14   56.14
OF201.0  -16.696    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF203.0  -16.692    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF204.0  -16.690    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF206.0  -16.686    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF207.0  -16.685    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF209.0  -16.681    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF210.0  -16.679    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF212.0  -16.675    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF213.0  -16.673    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF215.0  -16.670    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF216.0  -16.668    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF218.0  -16.664    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF219.0  -16.662    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF221.0  -16.659    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF222.0  -16.657    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF224.0  -16.653    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF225.0  -16.651    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF227.0  -16.647    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF228.0  -16.645    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF230.0  -16.642    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF231.0  -16.640    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF233.0  -16.636    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF234.0  -16.634    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF236.0  -16.631    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF237.0  -16.629    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF239.0  -16.625    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF240.0  -16.623    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF242.0  -16.619    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF243.0  -16.618    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF245.0  -16.614    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF246.0  -16.612    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF248.0  -16.608    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF249.0  -16.606    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF251.0  -16.603    0.00 9.0272     0.00    0.00    0.00    0.00    0.00
OF252.0  -16.599    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF255.0  -16.581    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF256.0  -16.578    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF258.0  -16.570    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF259.0  -16.567    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF261.0  -16.559    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF262.0  -16.556    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF264.0  -16.548    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF265.0  -16.545    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF267.0  -16.537    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF268.0  -16.533    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF270.0  -16.526    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF271.0  -16.522    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF273.0  -16.515    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF274.0  -16.511    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF276.0  -16.504    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF277.0  -16.500    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF279.0  -16.493    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF280.0  -16.489    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF282.0  -16.482    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF283.0  -16.478    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF285.0  -16.471    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF286.0  -16.467    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF288.0  -16.460    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF289.0  -16.456    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF291.0  -16.449    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF292.0  -16.445    0.00 9.0273     0.00    0.00    0.00    0.00    0.00
OF294.0  -16.438    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF295.0  -16.434    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF297.0  -16.427    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF298.0  -16.423    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF300.0  -16.416    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF301.0  -16.412    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF303.0  -16.405    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF304.0  -16.401    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF306.0  -16.394    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF307.0  -16.390    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF309.0  -16.382    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF310.0  -16.379    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF312.0  -16.371    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF313.0  -16.368    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF315.0  -16.360    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF316.0  -16.357    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF318.0  -16.349    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF319.0  -16.346    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF321.0  -16.338    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF322.0  -16.335    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF324.0  -16.327    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF325.0  -16.323    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF327.0  -16.316    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF328.0  -16.312    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF330.0  -16.305    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF331.0  -16.301    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF333.0  -16.294    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF334.0  -16.290    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF336.0  -16.283    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF337.0  -16.279    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF339.0  -16.272    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF340.0  -16.268    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF342.0  -16.261    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF343.0  -16.257    0.00 9.0274     0.00    0.00    0.00    0.00    0.00
OF345.0  -16.250    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF346.0  -16.246    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF348.0  -16.239    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF349.0  -16.235    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF351.0  -16.228    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF352.0  -16.224    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF354.0  -16.217    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF355.0  -16.213    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF357.0  -16.206    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF358.0  -16.202    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF360.0  -16.195    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF361.0  -16.191    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF363.0  -16.184    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF364.0  -16.180    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF366.0  -16.172    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF367.0  -16.169    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF369.0  -16.161    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF370.0  -16.158    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF372.0  -16.150    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF373.0  -16.147    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF375.0  -16.139    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF376.0  -16.136    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF378.0  -16.128    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF379.0  -16.125    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF381.0  -16.117    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF382.0  -16.114    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF384.0  -16.106    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF385.0  -16.103    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF387.0  -16.095    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF388.0  -16.091    0.00 9.0275     0.00    0.00    0.00    0.00    0.00
OF398.0  -16.359    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF399.0  -16.399    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF400.0  -16.439    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF401.0  -16.479    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF402.0  -16.519    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF403.0  -16.559    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF404.0  -16.598    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF405.0  -16.638    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF407.0  -16.705    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF408.0  -16.705    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF409.0  -16.705    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF410.0  -16.705    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF411.0  -16.705    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF412.0  -16.705    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF413.0  -16.705    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF414.0  -16.705    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF415.0  -16.705    0.00 9.0276     0.00    0.00    0.00    0.00    0.00
OF416.0  -16.705    0.00 9.0277     0.00    0.00    0.00    0.00    0.00
OF417.0  -16.705    0.00 9.0277     0.00    0.00    0.00    0.00    0.00
OF418.0  -16.705    0.00 9.0277     0.00    0.00    0.00    0.00    0.00
OF419.0  -16.705    0.00 9.0277     0.00    0.00    0.00    0.00    0.00
OF420.0  -16.705    0.00 9.0277     0.00    0.00    0.00    0.00    0.00
