header
IE0.0    -16.992       1       1 9.0235  9.3703  9.6134    56.14   56.14
OF80.0   -14.680    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF81.0   -14.628    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF82.0   -14.577    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF83.0   -14.525    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF84.0   -14.474    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF85.0   -14.422    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF86.0   -14.371    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF87.0   -14.319    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF88.0   -14.268    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF89.0   -14.217    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF90.0   -14.165    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF91.0   -14.114    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF92.0   -14.062    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF93.0   -14.011    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF94.0   -13.959    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF95.0   -13.908    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF96.0   -13.856    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF97.0   -13.805    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF98.0   -13.753    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF99.0   -13.702    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF100.0  -13.650    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF101.0  -13.599    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF102.0  -13.547    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF103.0  -13.496    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF104.0  -13.445    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF105.0  -13.393    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF106.0  -13.342    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF107.0  -13.290    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF108.0  -13.239    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF109.0  -13.167    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF110.0  -13.071    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF111.0  -12.974    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF112.0  -12.877    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF113.0  -12.780    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF114.0  -12.684    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF115.0  -12.587    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF116.0  -12.490    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF117.0  -12.393    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF118.0  -12.297    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF119.0  -12.200    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF120.0  -12.103    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF121.0  -12.007    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF122.0  -11.910    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF123.0  -11.813    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF124.0  -11.716    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF125.0  -11.62     0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF126.0  -11.523    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF127.0  -11.426    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF128.0  -11.329    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF129.0  -11.232    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF130.0  -11.134    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF131.0  -11.035    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF132.0  -10.936    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF133.0  -10.837    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF134.0  -10.738    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF135.0  -10.639    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF136.0  -10.540    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF137.0  -10.441    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF138.0  -10.342    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF139.0  -10.243    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF140.0  -10.144    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF141.0  -10.045    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF142.0  -9.9469    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF143.0  -9.848     0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF144.0  -9.749     0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF145.0  -9.6501    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF146.0  -9.5512    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF147.0  -9.4523    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF148.0  -9.3534    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF149.0  -9.2544    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF150.0  -9.1555    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF151.0  -9.0566    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF152.0  -8.9577    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF153.0  -8.8587    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF154.0  -8.7598    0.00 9.0236     0.00    0.00    0.00    0.00    0.00
OF155.0  -8.6609    0.00 9.0235     0.00    0.00    0.00    0.00    0.00
OF156.0  -8.562     0.00 9.0235     0.00    0.00    0.00    0.00    0.00
OF157.0  -8.4631    0.00 9.0235     0.00    0.00    0.00    0.00    0.00
OF158.0  -8.3641    0.00 9.0234     0.00    0.00    0.00    0.00    0.00
OF159.0  -8.2652    0.00 9.0234     0.00    0.00    0.00    0.00    0.00
OF160.0  -8.1663    0.00 9.0234     0.00    0.00    0.00    0.00    0.00
OF161.0  -8.0674    0.00 9.0234     0.00    0.00    0.00    0.00    0.00
OF162.0  -7.9684    0.00 9.0233     0.00    0.00    0.00    0.00    0.00
OF163.0  -7.8695    0.00 9.0233     0.00    0.00    0.00    0.00    0.00
OF164.0  -7.7706    0.00 9.0233     0.00    0.00    0.00    0.00    0.00
OF165.0  -7.6717    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF166.0  -7.5728    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF167.0  -7.4738    0.00 9.0232     0.00    0.00    0.00    0.00    0.00
OF168.0  -7.3749    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF169.0  -7.276     0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF170.0  -7.1771    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF171.0  -7.0781    0.00 9.0231     0.00    0.00    0.00    0.00    0.00
OF172.0  -6.9792    0.00 9.023      0.00    0.00    0.00    0.00    0.00
OF173.0  -6.8803    0.00 9.023      0.00    0.00    0.00    0.00    0.00
