X,Y,Zadcirc,STA,source
-69.89121662,43.78876106,-22.155229405345,2,interpolated ADCIRC
-69.8912204,43.78876082,-22.12020875019,3,interpolated ADCIRC
-69.89122417,43.78876058,-22.0852755046747,4,interpolated ADCIRC
-69.89122794,43.78876034,-22.0503422592836,5,interpolated ADCIRC
-69.89123172,43.7887601,-22.01532160407,6,interpolated ADCIRC
-69.89123549,43.78875986,-21.9803883585547,7,interpolated ADCIRC
-69.89123926,43.78875962,-21.9454551130393,8,interpolated ADCIRC
-69.89124304,43.78875937,-21.9103519666017,9,interpolated ADCIRC
-69.89124681,43.78875913,-21.8754187212106,10,interpolated ADCIRC
-69.89125059,43.78875889,-21.8403980659969,11,interpolated ADCIRC
-69.89125436,43.78875865,-21.8054648204816,12,interpolated ADCIRC
-69.89125813,43.78875841,-21.7705315750905,13,interpolated ADCIRC
-69.89126191,43.78875817,-21.7355109199355,14,interpolated ADCIRC
-69.89126568,43.78875793,-21.7005776744202,15,interpolated ADCIRC
-69.89126945,43.78875769,-21.6656444289705,16,interpolated ADCIRC
-69.89127323,43.78875745,-21.6306237738155,17,interpolated ADCIRC
-69.891277,43.7887572,-21.5956080370175,18,interpolated ADCIRC
-69.89128077,43.78875696,-21.5606747916264,19,interpolated ADCIRC
-69.89128455,43.78875672,-21.5256541364714,20,interpolated ADCIRC
-69.89128832,43.78875648,-21.4907208909561,21,interpolated ADCIRC
-69.89129209,43.78875624,-21.4557876455063,22,interpolated ADCIRC
-69.89129587,43.788756,-21.4207669903513,23,interpolated ADCIRC
-69.89129964,43.78875576,-21.385833744836,24,interpolated ADCIRC
-69.89130341,43.78875552,-21.3507310416185,25,interpolated ADCIRC
-69.89130719,43.78875527,-21.3149145102203,26,interpolated ADCIRC
-69.89131096,43.78875503,-21.2792704547453,27,interpolated ADCIRC
-69.89131473,43.78875479,-21.2436263992026,28,interpolated ADCIRC
-69.89131851,43.78875455,-21.2078930954616,29,interpolated ADCIRC
-69.89132228,43.78875431,-21.1722490400458,30,interpolated ADCIRC
-69.89132605,43.78875407,-21.1366049845031,31,interpolated ADCIRC
-69.89132983,43.78875383,-21.100871680703,32,interpolated ADCIRC
-69.8913336,43.78875359,-21.0652276252871,33,interpolated ADCIRC
-69.89133737,43.78875334,-21.0295003420872,34,interpolated ADCIRC
-69.89134115,43.7887531,-20.9937670383462,35,interpolated ADCIRC
-69.89134492,43.78875286,-20.9581229829304,36,interpolated ADCIRC
-69.89134869,43.78875262,-20.9224789273286,37,interpolated ADCIRC
-69.89135247,43.78875238,-20.8867456235876,38,interpolated ADCIRC
-69.89135624,43.78875214,-20.8511015681717,39,interpolated ADCIRC
-69.89136001,43.7887519,-20.8154575126291,40,interpolated ADCIRC
-69.89136379,43.78875166,-20.7797242088881,41,interpolated ADCIRC
-69.89136756,43.78875142,-20.7440801532862,42,interpolated ADCIRC
-69.89137133,43.78875117,-20.7083528702132,43,interpolated ADCIRC
-69.89137511,43.78875093,-20.6726195664722,44,interpolated ADCIRC
-69.89137888,43.78875069,-20.6369755109295,45,interpolated ADCIRC
-69.89138265,43.78875045,-20.6013314555137,46,interpolated ADCIRC
-69.89138643,43.78875021,-20.5655981517727,47,interpolated ADCIRC
-69.8913902,43.78874997,-20.5299540961708,48,interpolated ADCIRC
-69.89139398,43.78874973,-20.4942207924298,49,interpolated ADCIRC
-69.89139775,43.78874949,-20.458576737014,50,interpolated ADCIRC
-69.89140152,43.78874924,-20.4228494538141,51,interpolated ADCIRC
-69.8914053,43.788749,-20.3871161500731,52,interpolated ADCIRC
