X,Y,Zadcirc,STA,source
-69.96443535,43.76197824,-16.7044530358819,93,interpolated ADCIRC
-69.9644389,43.76197921,-16.6354603363454,94,interpolated ADCIRC
-69.96444244,43.76198017,-16.5666346892642,95,interpolated ADCIRC
-69.96444598,43.76198114,-16.4978465969706,96,interpolated ADCIRC
-69.96444953,43.76198211,-16.4288538974075,97,interpolated ADCIRC
-69.96445307,43.76198307,-16.3600282500355,98,interpolated ADCIRC
-69.96445661,43.76198404,-16.2912401577418,99,interpolated ADCIRC
-69.96446016,43.76198501,-16.2222474581787,100,interpolated ADCIRC
-69.9644637,43.76198597,-16.1534218110975,101,interpolated ADCIRC
-69.96446725,43.76198694,-16.084429111561,102,interpolated ADCIRC
-69.96447079,43.76198791,-16.0156410192674,103,interpolated ADCIRC
-69.96447433,43.76198887,-15.9468153718954,104,interpolated ADCIRC
-69.96447788,43.76198984,-15.8778226723322,105,interpolated ADCIRC
-69.96448142,43.76199081,-15.8090345800386,106,interpolated ADCIRC
-69.96448496,43.76199177,-15.7402089329574,107,interpolated ADCIRC
-69.96448851,43.76199274,-15.6712162333943,108,interpolated ADCIRC
-69.96449205,43.76199371,-15.6024281408099,109,interpolated ADCIRC
-69.9644956,43.76199467,-15.5333978864858,110,interpolated ADCIRC
-69.96449914,43.76199564,-15.4646097941922,111,interpolated ADCIRC
-69.96450268,43.7619966,-15.395784147111,112,interpolated ADCIRC
-69.96450623,43.76199757,-15.3267914475478,113,interpolated ADCIRC
-69.96450977,43.76199854,-15.2580033549634,114,interpolated ADCIRC
-69.96451331,43.7619995,-15.1891777078822,115,interpolated ADCIRC
-69.96451686,43.76200047,-15.1201850083191,116,interpolated ADCIRC
-69.9645204,43.76200144,-14.9705732046697,117,interpolated ADCIRC
-69.96452395,43.7620024,-14.7674280121633,118,interpolated ADCIRC
-69.96452749,43.76200337,-14.5648122886176,119,interpolated ADCIRC
-69.96453103,43.76200434,-14.3621965642956,120,interpolated ADCIRC
-69.96453458,43.7620053,-14.1590513717892,121,interpolated ADCIRC
-69.96453812,43.76200627,-13.9564356482435,122,interpolated ADCIRC
-69.96454166,43.76200724,-13.7538199246979,123,interpolated ADCIRC
-69.96454521,43.7620082,-13.5506747322154,124,interpolated ADCIRC
-69.96454875,43.76200917,-13.3480590078695,125,interpolated ADCIRC
-69.9645523,43.76201014,-13.1448801490454,126,interpolated ADCIRC
-69.96455584,43.7620111,-12.9422980918174,127,interpolated ADCIRC
-69.96455938,43.76201207,-12.7396823682956,128,interpolated ADCIRC
-69.96456293,43.76201303,-12.5365371757892,129,interpolated ADCIRC
-69.96456647,43.762014,-12.3339214522436,130,interpolated ADCIRC
-69.96457001,43.76201497,-12.1313057278977,131,interpolated ADCIRC
-69.96457356,43.76201593,-11.9281605354152,132,interpolated ADCIRC
-69.9645771,43.7620169,-11.7255448118695,133,interpolated ADCIRC
-69.96458065,43.76201787,-11.5223659522452,134,interpolated ADCIRC
-69.96458419,43.76201883,-11.3197838958174,135,interpolated ADCIRC
-69.96458773,43.7620198,-11.1171681714954,136,interpolated ADCIRC
-69.96459128,43.76202077,-10.9139893126714,137,interpolated ADCIRC
-69.96459482,43.76202173,-10.7114072554433,138,interpolated ADCIRC
