X,Y,Zadcirc,STA,source
-69.90145814,43.78914839,-9.95789571980721,2,interpolated ADCIRC
-69.90145456,43.7891475,-9.95538823545517,3,interpolated ADCIRC
-69.90145097,43.78914661,-9.95287712910087,4,interpolated ADCIRC
-69.90144739,43.78914572,-9.95036964474882,5,interpolated ADCIRC
-69.90144381,43.78914483,-9.94786216039677,6,interpolated ADCIRC
-69.90144022,43.78914394,-9.94535105404248,7,interpolated ADCIRC
-69.90143664,43.78914305,-9.94284356969043,8,interpolated ADCIRC
-69.90143306,43.78914216,-9.94033608533838,9,interpolated ADCIRC
-69.90142947,43.78914127,-9.93782497898408,10,interpolated ADCIRC
-69.90142589,43.78914038,-9.93531749463204,11,interpolated ADCIRC
-69.9014223,43.78913949,-9.93280638826807,12,interpolated ADCIRC
-69.90141872,43.7891386,-9.93029890392569,13,interpolated ADCIRC
-69.90141514,43.78913771,-9.92779141957364,14,interpolated ADCIRC
-69.90141155,43.78913682,-9.92528031322449,15,interpolated ADCIRC
-69.90140797,43.78913593,-9.9227728288673,16,interpolated ADCIRC
-69.90140439,43.78913504,-9.92026534451525,17,interpolated ADCIRC
-69.9014008,43.78913415,-9.9177542381661,18,interpolated ADCIRC
-69.90139722,43.78913326,-9.91524675381405,19,interpolated ADCIRC
-69.90139364,43.78913237,-9.91273926945686,20,interpolated ADCIRC
-69.90139005,43.78913149,-9.91024176766066,21,interpolated ADCIRC
-69.90138647,43.7891306,-9.90776604880968,22,interpolated ADCIRC
-69.90138289,43.78912971,-9.90604791033614,23,interpolated ADCIRC
-69.9013793,43.78912882,-9.90432778012247,24,interpolated ADCIRC
-69.90137572,43.78912793,-9.90260964165176,25,interpolated ADCIRC
-69.90137214,43.78912704,-9.90089150318105,26,interpolated ADCIRC
-69.90136855,43.78912615,-9.89917137296455,27,interpolated ADCIRC
-69.90136497,43.78912526,-9.89745323449385,28,interpolated ADCIRC
-69.90136138,43.78912437,-9.89573310427735,29,interpolated ADCIRC
-69.9013578,43.78912348,-9.89401496580664,30,interpolated ADCIRC
-69.90135422,43.78912259,-9.89229682733593,31,interpolated ADCIRC
-69.90135063,43.7891217,-9.89057669711943,32,interpolated ADCIRC
-69.90134705,43.78912081,-9.88885855864872,33,interpolated ADCIRC
-69.90134347,43.78911992,-9.88714042017802,34,interpolated ADCIRC
-69.90133988,43.78911903,-9.88542028996152,35,interpolated ADCIRC
-69.9013363,43.78911814,-9.88370215149081,36,interpolated ADCIRC
-69.90133272,43.78911725,-9.8819840130201,37,interpolated ADCIRC
-69.90132913,43.78911636,-9.8802638828036,38,interpolated ADCIRC
-69.90132555,43.78911547,-9.87854574433289,39,interpolated ADCIRC
-69.90132197,43.78911458,-9.87682760587021,40,interpolated ADCIRC
-69.90131838,43.78911369,-9.87510747564852,41,interpolated ADCIRC
-69.9013148,43.7891128,-9.87338933717498,42,interpolated ADCIRC
-69.90131121,43.78911191,-9.87166920696131,43,interpolated ADCIRC
-69.90130763,43.78911102,-9.8699510684906,44,interpolated ADCIRC
-69.90130405,43.78911014,-9.86824422317718,45,interpolated ADCIRC
-69.90130046,43.78910925,-9.86652409296352,46,interpolated ADCIRC
-69.90129688,43.78910836,-9.86480595449281,47,interpolated ADCIRC
-69.9012933,43.78910747,-9.8630878160221,48,interpolated ADCIRC
-69.90128971,43.78910658,-9.8613676858056,49,interpolated ADCIRC
-69.90128613,43.78910569,-9.85964954733489,50,interpolated ADCIRC
-69.90128255,43.7891048,-9.85793140886418,51,interpolated ADCIRC
-69.90127896,43.78910391,-9.85621127864768,52,interpolated ADCIRC
-69.90127538,43.78910302,-9.85449314017698,53,interpolated ADCIRC
-69.9012718,43.78910213,-9.85277500171429,54,interpolated ADCIRC
-69.90126821,43.78910124,-9.85105487148977,55,interpolated ADCIRC
-69.90126463,43.78910035,-9.84936403930108,56,interpolated ADCIRC
-69.90126105,43.78909946,-9.84835578726357,57,interpolated ADCIRC
-69.90125746,43.78909857,-9.84734763261203,58,interpolated ADCIRC
-69.90125388,43.78909768,-9.8463393805662,59,interpolated ADCIRC
-69.90125029,43.78909679,-9.84533122592298,60,interpolated ADCIRC
-69.90124671,43.7890959,-9.84432297387715,61,interpolated ADCIRC
-69.90124313,43.78909501,-9.84331472183131,62,interpolated ADCIRC
-69.90123954,43.78909412,-9.84230656718796,63,interpolated ADCIRC
-69.90123596,43.78909323,-9.84129831514226,64,interpolated ADCIRC
-69.90123238,43.78909234,-9.84029006310476,65,interpolated ADCIRC
-69.90122879,43.78909145,-9.83928190845308,66,interpolated ADCIRC
-69.90122521,43.78909056,-9.83827365640724,67,interpolated ADCIRC
-69.90122163,43.78908967,-9.83726540436987,68,interpolated ADCIRC
-69.90121804,43.78908879,-9.83626897015929,69,interpolated ADCIRC
-69.90121446,43.7890879,-9.83526071811345,70,interpolated ADCIRC
-69.90121088,43.78908701,-9.83425246607609,71,interpolated ADCIRC
-69.90120729,43.78908612,-9.8332443114244,72,interpolated ADCIRC
-69.90120371,43.78908523,-9.83223605937857,73,interpolated ADCIRC
-69.90120013,43.78908434,-9.83122780734106,74,interpolated ADCIRC
-69.90119654,43.78908345,-9.83021965268952,75,interpolated ADCIRC
-69.90119296,43.78908256,-9.82921140064369,76,interpolated ADCIRC
-69.90118937,43.78908167,-9.82820324600047,77,interpolated ADCIRC
-69.90118579,43.78908078,-9.82719499395464,78,interpolated ADCIRC
-69.90118221,43.78907989,-9.8261867419088,79,interpolated ADCIRC
-69.90117862,43.789079,-9.82517858726559,80,interpolated ADCIRC
-69.90117504,43.78907811,-9.82417033521975,81,interpolated ADCIRC
-69.90117146,43.78907722,-9.82316208318225,82,interpolated ADCIRC
-69.90116787,43.78907633,-9.8221539285307,83,interpolated ADCIRC
-69.90116429,43.78907544,-9.82114567648487,84,interpolated ADCIRC
-69.90116071,43.78907455,-9.82013742444736,85,interpolated ADCIRC
-69.90115712,43.78907366,-9.81912926979582,86,interpolated ADCIRC
-69.90115354,43.78907277,-9.81812101774999,87,interpolated ADCIRC
-69.90114996,43.78907188,-9.81711276571248,88,interpolated ADCIRC
-69.90114637,43.78907099,-9.8161046110608,89,interpolated ADCIRC
-69.90114279,43.7890701,-9.81509635902343,90,interpolated ADCIRC
-69.90113921,43.78906921,-9.8140881069776,91,interpolated ADCIRC
-69.90113562,43.78906832,-9.81307995232591,92,interpolated ADCIRC
-69.90113204,43.78906744,-9.81208342072132,93,interpolated ADCIRC
-69.90112845,43.78906655,-9.81107526607796,94,interpolated ADCIRC
-69.90112487,43.78906566,-9.81006701403213,95,interpolated ADCIRC
-69.90112129,43.78906477,-9.80905876199462,96,interpolated ADCIRC
-69.9011177,43.78906388,-9.80805060734308,97,interpolated ADCIRC
-69.90111412,43.78906299,-9.80704235529724,98,interpolated ADCIRC
-69.90111054,43.7890621,-9.80603410325974,99,interpolated ADCIRC
-69.90110695,43.78906121,-9.80502594860819,100,interpolated ADCIRC
-69.90110337,43.78906032,-9.80401769656236,101,interpolated ADCIRC
-69.90109979,43.78905943,-9.80300944452485,102,interpolated ADCIRC
-69.9010962,43.78905854,-9.80200128987331,103,interpolated ADCIRC
-69.90109262,43.78905765,-9.80099303782748,104,interpolated ADCIRC
-69.90108904,43.78905676,-9.79998478578997,105,interpolated ADCIRC
-69.90108545,43.78905587,-9.79897663113843,106,interpolated ADCIRC
-69.90108187,43.78905498,-9.79796837910092,107,interpolated ADCIRC
-69.90107829,43.78905409,-9.79696012705509,108,interpolated ADCIRC
-69.9010747,43.7890532,-9.79595197240354,109,interpolated ADCIRC
-69.90107112,43.78905231,-9.79494372036604,110,interpolated ADCIRC
-69.90106753,43.78905142,-9.79393556571435,111,interpolated ADCIRC
-69.90106395,43.78905053,-9.79292731366866,112,interpolated ADCIRC
-69.90106037,43.78904964,-9.79191906163115,113,interpolated ADCIRC
