X,Y,Zlidar,STA,SOURCE
-69.90099228,43.78903274,-999,132,-999
-69.9009887,43.78903185,-999,133,-999
-69.90098511,43.78903096,-999,134,-999
-69.90098153,43.78903007,-999,135,-999
-69.90097795,43.78902918,-999,136,-999
-69.90097436,43.78902829,-999,137,-999
-69.90097078,43.7890274,-999,138,-999
-69.9009672,43.78902651,-999,139,-999
-69.90096361,43.78902562,-999,140,-999
-69.90096003,43.78902473,-999,141,-999
-69.90095644,43.78902385,-999,142,-999
-69.90095286,43.78902296,-999,143,-999
-69.90094928,43.78902207,-999,144,-999
-69.90094569,43.78902118,-999,145,-999
-69.90094211,43.78902029,-999,146,-999
-69.90093853,43.7890194,-999,147,-999
-69.90093494,43.78901851,-999,148,-999
-69.90093136,43.78901762,-999,149,-999
-69.90092778,43.78901673,-999,150,-999
-69.90092419,43.78901584,-999,151,-999
-69.90092061,43.78901495,-999,152,-999
-69.90091703,43.78901406,-999,153,-999
-69.90091344,43.78901317,-999,154,-999
-69.90090986,43.78901228,-999,155,-999
-69.90090628,43.78901139,-999,156,-999
-69.90090269,43.7890105,-999,157,-999
-69.90089911,43.78900961,-999,158,-999
-69.90089552,43.78900872,-999,159,-999
-69.90089194,43.78900783,-999,160,-999
-69.90088836,43.78900694,-999,161,-999
-69.90088477,43.78900605,-999,162,-999
-69.90088119,43.78900516,-999,163,-999
-69.90087761,43.78900427,-999,164,-999
-69.90087402,43.78900338,-999,165,-999
-69.90087044,43.78900249,-999,166,-999
-69.90086686,43.78900161,-999,167,-999
-69.90086327,43.78900072,-999,168,-999
-69.90085969,43.78899983,-999,169,-999
-69.90085611,43.78899894,-999,170,-999
-69.90085252,43.78899805,-999,171,-999
-69.90084894,43.78899716,-999,172,-999
-69.90084536,43.78899627,-999,173,-999
-69.90084177,43.78899538,-999,174,-999
-69.90083819,43.78899449,-999,175,-999
-69.9008346,43.7889936,-999,176,-999
-69.90083102,43.78899271,-999,177,-999
-69.90082744,43.78899182,-999,178,-999
-69.90082385,43.78899093,-999,179,-999
-69.90082027,43.78899004,-999,180,-999
-69.90081669,43.78898915,-999,181,-999
-69.9008131,43.78898826,-999,182,-999
-69.90080952,43.78898737,-999,183,-999
-69.90080594,43.78898648,-999,184,-999
-69.90080235,43.78898559,-999,185,-999
-69.90079877,43.7889847,-999,186,-999
-69.90079519,43.78898381,-999,187,-999
-69.9007916,43.78898292,-999,188,-999
-69.90078802,43.78898203,-999,189,-999
-69.90078444,43.78898114,-999,190,-999
-69.90078085,43.78898025,-999,191,-999
-69.90077727,43.78897937,-999,192,-999
-69.90077369,43.78897848,-999,193,-999
-69.9007701,43.78897759,-999,194,-999
-69.90076652,43.7889767,-999,195,-999
-69.90076293,43.78897581,-999,196,-999
-69.90075935,43.78897492,-999,197,-999
-69.90075577,43.78897403,-999,198,-999
-69.90075218,43.78897314,-999,199,-999
-69.9007486,43.78897225,-999,200,-999
-69.90074502,43.78897136,-999,201,-999
-69.90074143,43.78897047,-999,202,-999
-69.90073785,43.78896958,-999,203,-999
-69.90073427,43.78896869,-999,204,-999
-69.90073068,43.7889678,-999,205,-999
-69.9007271,43.78896691,-999,206,-999
-69.90072352,43.78896602,-999,207,-999
-69.90071993,43.78896513,-999,208,-999
-69.90071635,43.78896424,-999,209,-999
-69.90071277,43.78896335,-999,210,-999
-69.90070918,43.78896246,-999,211,-999
-69.9007056,43.78896157,-999,212,-999
-69.90070201,43.78896068,-999,213,-999
-69.90069843,43.78895979,-999,214,-999
-69.90069485,43.7889589,-999,215,-999
-69.90069126,43.78895801,-999,216,-999
-69.90068768,43.78895713,-999,217,-999
-69.9006841,43.78895624,-999,218,-999
-69.90068051,43.78895535,-999,219,-999
-69.90067693,43.78895446,-999,220,-999
-69.90067335,43.78895357,-999,221,-999
-69.90066976,43.78895268,-999,222,-999
-69.90066618,43.78895179,-999,223,-999
-69.9006626,43.7889509,-999,224,-999
-69.90065901,43.78895001,-999,225,-999
-69.90065543,43.78894912,-999,226,-999
-69.90065185,43.78894823,-999,227,-999
-69.90064826,43.78894734,-999,228,-999
-69.90064468,43.78894645,-999,229,-999
-69.90064109,43.78894556,-999,230,-999
-69.90063751,43.78894467,-999,231,-999
-69.90063393,43.78894378,-999,232,-999
-69.90063034,43.78894289,-999,233,-999
-69.90062676,43.788942,-999,234,-999
-69.90062318,43.78894111,-999,235,-999
-69.90061959,43.78894022,-999,236,-999
-69.90061601,43.78893933,-999,237,-999
-69.90061243,43.78893844,-999,238,-999
-69.90060884,43.78893755,-999,239,-999
-69.90060526,43.78893666,-999,240,-999
-69.90060168,43.78893577,-999,241,-999
-69.90059809,43.78893489,-999,242,-999
-69.90059451,43.788934,-999,243,-999
-69.90059093,43.78893311,-999,244,-999
-69.90058734,43.78893222,-999,245,-999
-69.90058376,43.78893133,-999,246,-999
-69.90058017,43.78893044,-999,247,-999
-69.90057659,43.78892955,-999,248,-999
-69.90057301,43.78892866,-999,249,-999
-69.90056942,43.78892777,-999,250,-999
-69.90056584,43.78892688,-999,251,-999
-69.90056226,43.78892599,-999,252,-999
-69.90055867,43.7889251,-999,253,-999
-69.90055509,43.78892421,-999,254,-999
-69.90055151,43.78892332,-999,255,-999
-69.90054792,43.78892243,-999,256,-999
-69.90054434,43.78892154,-999,257,-999
-69.90054076,43.78892065,-999,258,-999
-69.90053717,43.78891976,-999,259,-999
-69.90053359,43.78891887,-999,260,-999
-69.90053001,43.78891798,-999,261,-999
-69.90052642,43.78891709,-999,262,-999
-69.90052284,43.7889162,-999,263,-999
-69.90051926,43.78891531,-999,264,-999
-69.90051567,43.78891442,-999,265,-999
-69.90051209,43.78891353,-999,266,-999
-69.9005085,43.78891265,-999,267,-999
-69.90050492,43.78891176,-999,268,-999
-69.90050134,43.78891087,-999,269,-999
-69.90049775,43.78890998,-999,270,-999
-69.90049417,43.78890909,-999,271,-999
