X,Y,Zlidar,STA,SOURCE
-69.89121662,43.78876106,-999,2,-999
-69.8912204,43.78876082,-999,3,-999
-69.89122417,43.78876058,-999,4,-999
-69.89122794,43.78876034,-999,5,-999
-69.89123172,43.7887601,-999,6,-999
-69.89123549,43.78875986,-999,7,-999
-69.89123926,43.78875962,-999,8,-999
-69.89124304,43.78875937,-999,9,-999
-69.89124681,43.78875913,-999,10,-999
-69.89125059,43.78875889,-999,11,-999
-69.89125436,43.78875865,-999,12,-999
-69.89125813,43.78875841,-999,13,-999
-69.89126191,43.78875817,-999,14,-999
-69.89126568,43.78875793,-999,15,-999
-69.89126945,43.78875769,-999,16,-999
-69.89127323,43.78875745,-999,17,-999
-69.891277,43.7887572,-999,18,-999
-69.89128077,43.78875696,-999,19,-999
-69.89128455,43.78875672,-999,20,-999
-69.89128832,43.78875648,-999,21,-999
-69.89129209,43.78875624,-999,22,-999
-69.89129587,43.788756,-999,23,-999
-69.89129964,43.78875576,-999,24,-999
-69.89130341,43.78875552,-999,25,-999
-69.89130719,43.78875527,-999,26,-999
-69.89131096,43.78875503,-999,27,-999
-69.89131473,43.78875479,-999,28,-999
-69.89131851,43.78875455,-999,29,-999
-69.89132228,43.78875431,-999,30,-999
-69.89132605,43.78875407,-999,31,-999
-69.89132983,43.78875383,-999,32,-999
-69.8913336,43.78875359,-999,33,-999
-69.89133737,43.78875334,-999,34,-999
-69.89134115,43.7887531,-999,35,-999
-69.89134492,43.78875286,-999,36,-999
-69.89134869,43.78875262,-999,37,-999
-69.89135247,43.78875238,-999,38,-999
-69.89135624,43.78875214,-999,39,-999
-69.89136001,43.7887519,-999,40,-999
-69.89136379,43.78875166,-999,41,-999
-69.89136756,43.78875142,-999,42,-999
-69.89137133,43.78875117,-999,43,-999
-69.89137511,43.78875093,-999,44,-999
-69.89137888,43.78875069,-999,45,-999
-69.89138265,43.78875045,-999,46,-999
-69.89138643,43.78875021,-999,47,-999
-69.8913902,43.78874997,-999,48,-999
-69.89139398,43.78874973,-999,49,-999
-69.89139775,43.78874949,-999,50,-999
-69.89140152,43.78874924,-999,51,-999
-69.8914053,43.788749,-999,52,-999
-69.89140907,43.78874876,-999,53,-999
-69.89141284,43.78874852,-999,54,-999
-69.89141662,43.78874828,-999,55,-999
-69.89142039,43.78874804,-999,56,-999
-69.89142416,43.7887478,-999,57,-999
-69.89142794,43.78874756,-999,58,-999
-69.89143171,43.78874732,-999,59,-999
-69.89143548,43.78874707,-999,60,-999
-69.89143926,43.78874683,-999,61,-999
-69.89144303,43.78874659,-999,62,-999
-69.8914468,43.78874635,-999,63,-999
-69.89145058,43.78874611,-999,64,-999
-69.89145435,43.78874587,-999,65,-999
-69.89145812,43.78874563,-999,66,-999
-69.8914619,43.78874539,-999,67,-999
-69.89146567,43.78874514,-999,68,-999
-69.89146944,43.7887449,-999,69,-999
-69.89147322,43.78874466,-999,70,-999
-69.89147699,43.78874442,-999,71,-999
-69.89148076,43.78874418,-999,72,-999
-69.89148454,43.78874394,-999,73,-999
-69.89148831,43.7887437,-999,74,-999
-69.89149208,43.78874346,-999,75,-999
-69.89149586,43.78874321,-999,76,-999
-69.89149963,43.78874297,-999,77,-999
-69.8915034,43.78874273,-999,78,-999
-69.89150718,43.78874249,-999,79,-999
-69.89151095,43.78874225,-999,80,-999
-69.89151472,43.78874201,-999,81,-999
-69.8915185,43.78874177,-999,82,-999
-69.89152227,43.78874153,-999,83,-999
-69.89152604,43.78874129,-999,84,-999
-69.89152982,43.78874104,-999,85,-999
-69.89153359,43.7887408,-999,86,-999
-69.89153737,43.78874056,-999,87,-999
-69.89154114,43.78874032,-999,88,-999
-69.89154491,43.78874008,-999,89,-999
-69.89154869,43.78873984,-999,90,-999
-69.89155246,43.7887396,-999,91,-999
-69.89155623,43.78873936,-999,92,-999
-69.89156001,43.78873911,-999,93,-999
-69.89156378,43.78873887,-999,94,-999
-69.89156755,43.78873863,-999,95,-999
-69.89157133,43.78873839,-999,96,-999
-69.8915751,43.78873815,-999,97,-999
-69.89157887,43.78873791,-999,98,-999
-69.89158265,43.78873767,-999,99,-999
-69.89158642,43.78873743,-999,100,-999
-69.89159019,43.78873718,-999,101,-999
-69.89159397,43.78873694,-999,102,-999
-69.89159774,43.7887367,-999,103,-999
-69.89160151,43.78873646,-999,104,-999
-69.89160529,43.78873622,-999,105,-999
-69.89160906,43.78873598,-999,106,-999
-69.89161283,43.78873574,-999,107,-999
-69.89161661,43.7887355,-999,108,-999
-69.89162038,43.78873526,-999,109,-999
-69.89162415,43.78873501,-999,110,-999
-69.89162793,43.78873477,-999,111,-999
-69.8916317,43.78873453,-999,112,-999
-69.89163547,43.78873429,-999,113,-999
-69.89163925,43.78873405,-999,114,-999
-69.89164302,43.78873381,-999,115,-999
-69.89164679,43.78873357,-999,116,-999
-69.89165057,43.78873333,-999,117,-999
-69.89165434,43.78873308,-999,118,-999
-69.89165811,43.78873284,-999,119,-999
-69.89166189,43.7887326,-999,120,-999
-69.89166566,43.78873236,-999,121,-999
-69.89166943,43.78873212,-999,122,-999
-69.89167321,43.78873188,-999,123,-999
-69.89167698,43.78873164,-999,124,-999
-69.89168076,43.7887314,-999,125,-999
-69.89168453,43.78873115,-999,126,-999
-69.8916883,43.78873091,-999,127,-999
-69.89169208,43.78873067,-999,128,-999
-69.89169585,43.78873043,-999,129,-999
-69.89169962,43.78873019,-999,130,-999
