X,Y,Zadcirc,STA,source
-70.20671081,43.64875885,-34.6636629949602,2,interpolated ADCIRC
-70.20671381,43.64875718,-34.6241064862479,3,interpolated ADCIRC
-70.20671681,43.64875551,-34.5845499776272,4,interpolated ADCIRC
-70.2067198,43.64875384,-34.5450219247099,5,interpolated ADCIRC
-70.2067228,43.64875217,-34.5054654161296,6,interpolated ADCIRC
-70.2067258,43.6487505,-34.4659089073769,7,interpolated ADCIRC
-70.2067288,43.64874883,-34.4263523987966,8,interpolated ADCIRC
-70.2067318,43.64874716,-34.3867958900439,9,interpolated ADCIRC
-70.20673479,43.64874549,-34.3472678372586,10,interpolated ADCIRC
-70.20673779,43.64874381,-34.3075255813959,11,interpolated ADCIRC
-70.20674079,43.64874214,-34.2679690728156,12,interpolated ADCIRC
-70.20674379,43.64874047,-34.2284125640629,13,interpolated ADCIRC
-70.20674679,43.6487388,-34.1888560553506,14,interpolated ADCIRC
-70.20674978,43.64873713,-34.1493280025653,15,interpolated ADCIRC
-70.20675278,43.64873546,-34.1097714938126,16,interpolated ADCIRC
-70.20675578,43.64873379,-34.0702149852323,17,interpolated ADCIRC
-70.20675878,43.64873212,-34.0306584764796,18,interpolated ADCIRC
-70.20676177,43.64873045,-33.9911304236943,19,interpolated ADCIRC
-70.20676477,43.64872878,-33.9515739149416,20,interpolated ADCIRC
-70.20676777,43.64872711,-33.9120174063613,21,interpolated ADCIRC
-70.20677077,43.64872544,-33.8724608976086,22,interpolated ADCIRC
-70.20677377,43.64872377,-33.8329043888963,23,interpolated ADCIRC
-70.20677676,43.6487221,-33.793376336111,24,interpolated ADCIRC
-70.20677976,43.64872042,-33.7536340802483,25,interpolated ADCIRC
-70.20678276,43.64871875,-33.714077571668,26,interpolated ADCIRC
-70.20678576,43.64871708,-33.6745210629153,27,interpolated ADCIRC
-70.20678876,43.64871541,-33.634964554335,28,interpolated ADCIRC
-70.20679175,43.64871374,-33.5954365014177,29,interpolated ADCIRC
-70.20679475,43.64871207,-33.555879992797,30,interpolated ADCIRC
-70.20679775,43.6487104,-33.5163234840443,31,interpolated ADCIRC
-70.20680075,43.64870873,-33.476766975464,32,interpolated ADCIRC
-70.20680375,43.64870706,-33.4372104667112,33,interpolated ADCIRC
-70.20680674,43.64870539,-33.397682413926,34,interpolated ADCIRC
-70.20680974,43.64870372,-33.3581259052137,35,interpolated ADCIRC
-70.20681274,43.64870205,-33.318569396461,36,interpolated ADCIRC
-70.20681574,43.64870038,-33.2790128878807,37,interpolated ADCIRC
-70.20681874,43.64869871,-33.2394563791279,38,interpolated ADCIRC
-70.20682173,43.64869703,-33.1997425792327,39,interpolated ADCIRC
-70.20682473,43.64869536,-33.1601860705204,40,interpolated ADCIRC
-70.20682773,43.64869369,-33.1206295618997,41,interpolated ADCIRC
-70.20683073,43.64869202,-33.0810730531874,42,interpolated ADCIRC
-70.20683373,43.64869035,-33.0415165445666,43,interpolated ADCIRC
-70.20683672,43.64868868,-33.0019884916494,44,interpolated ADCIRC
-70.20683972,43.64868701,-32.9624319830287,45,interpolated ADCIRC
-70.20684272,43.64868534,-32.9228754743164,46,interpolated ADCIRC
-70.20684572,43.64868367,-32.8833189655636,47,interpolated ADCIRC
-70.20684871,43.648682,-32.8437909127784,48,interpolated ADCIRC
-70.20685171,43.64868033,-32.8042344040661,49,interpolated ADCIRC
-70.20685471,43.64867866,-32.7646778954454,50,interpolated ADCIRC
-70.20685771,43.64867699,-32.7251213867331,51,interpolated ADCIRC
-70.20686071,43.64867532,-32.6855648781123,52,interpolated ADCIRC
-70.2068637,43.64867364,-32.6458510780851,53,interpolated ADCIRC
-70.2068667,43.64867197,-32.6062945694644,54,interpolated ADCIRC
