X,Y,Zadcirc,STA,source
-70.21629065,43.6514705,-53.9171764847899,2,interpolated ADCIRC
-70.21629201,43.65146794,-53.9239476851053,3,interpolated ADCIRC
-70.21629337,43.65146539,-53.9307428486084,4,interpolated ADCIRC
-70.21629473,43.65146283,-53.9375140489239,5,interpolated ADCIRC
-70.2162961,43.65146027,-53.9443801446225,6,interpolated ADCIRC
-70.21629746,43.65145771,-53.9511513450728,7,interpolated ADCIRC
-70.21629882,43.65145515,-53.9579225453713,8,interpolated ADCIRC
-70.21630018,43.65145259,-53.9646937456867,9,interpolated ADCIRC
-70.21630154,43.65145003,-53.9714649460022,10,interpolated ADCIRC
-70.21630291,43.65144747,-53.9783310417008,11,interpolated ADCIRC
-70.21630427,43.65144491,-53.9851022420163,12,interpolated ADCIRC
-70.21630563,43.65144235,-53.9918734423147,13,interpolated ADCIRC
-70.21630699,43.65143979,-53.9986446427651,14,interpolated ADCIRC
-70.21630836,43.65143723,-54.0055107384636,15,interpolated ADCIRC
-70.21630972,43.65143467,-54.0122819387791,16,interpolated ADCIRC
-70.21631108,43.65143211,-54.0190531390946,17,interpolated ADCIRC
-70.21631244,43.65142955,-54.0258243394101,18,interpolated ADCIRC
-70.2163138,43.65142699,-54.0325955397085,19,interpolated ADCIRC
-70.21631517,43.65142443,-54.0394616355419,20,interpolated ADCIRC
-70.21631653,43.65142187,-54.0462328358574,21,interpolated ADCIRC
-70.21631789,43.65141931,-54.0530040361729,22,interpolated ADCIRC
-70.21631925,43.65141675,-54.0597752364884,23,interpolated ADCIRC
-70.21632061,43.65141419,-54.0665464367868,24,interpolated ADCIRC
-70.21632198,43.65141163,-54.0734125326203,25,interpolated ADCIRC
-70.21632334,43.65140907,-54.0801837329358,26,interpolated ADCIRC
-70.2163247,43.65140651,-54.0869549332512,27,interpolated ADCIRC
-70.21632606,43.65140395,-54.0937261335667,28,interpolated ADCIRC
-70.21632743,43.65140139,-54.1005922293831,29,interpolated ADCIRC
-70.21632879,43.65139883,-54.1073634296986,30,interpolated ADCIRC
-70.21633015,43.65139627,-54.1141346300141,31,interpolated ADCIRC
