header
IE0.0    -15.556       1       1 8.9963  6.9956  6.9601    56.14   56.14
OF80.0   -16.772    0.00 8.9979     0.00    0.00    0.00    0.00    0.00
OF81.0   -16.772    0.00 8.9979     0.00    0.00    0.00    0.00    0.00
OF82.0   -16.772    0.00 8.9979     0.00    0.00    0.00    0.00    0.00
OF83.0   -16.772    0.00 8.9979     0.00    0.00    0.00    0.00    0.00
OF84.0   -16.772    0.00 8.9979     0.00    0.00    0.00    0.00    0.00
OF85.0   -16.772    0.00 8.9979     0.00    0.00    0.00    0.00    0.00
OF86.0   -16.772    0.00 8.998      0.00    0.00    0.00    0.00    0.00
OF87.0   -16.772    0.00 8.998      0.00    0.00    0.00    0.00    0.00
OF88.0   -16.772    0.00 8.998      0.00    0.00    0.00    0.00    0.00
OF89.0   -16.772    0.00 8.998      0.00    0.00    0.00    0.00    0.00
OF90.0   -16.772    0.00 8.998      0.00    0.00    0.00    0.00    0.00
OF91.0   -16.772    0.00 8.998      0.00    0.00    0.00    0.00    0.00
OF92.0   -16.745    0.00 8.998      0.00    0.00    0.00    0.00    0.00
OF93.0   -16.662    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF94.0   -16.579    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF95.0   -16.496    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF96.0   -16.412    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF97.0   -16.329    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF98.0   -16.246    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF99.0   -16.163    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF100.0  -16.079    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF101.0  -15.996    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF102.0  -15.913    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF103.0  -15.830    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF104.0  -15.747    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF105.0  -15.663    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF106.0  -15.580    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF107.0  -15.497    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF108.0  -15.414    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF109.0  -15.331    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF110.0  -15.247    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF111.0  -15.164    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF112.0  -15.081    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF113.0  -14.998    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF114.0  -14.915    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF115.0  -14.831    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF116.0  -14.748    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF117.0  -14.665    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF118.0  -14.582    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF119.0  -14.498    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF120.0  -14.415    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF121.0  -14.332    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF122.0  -14.249    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF123.0  -14.165    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF124.0  -14.082    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF125.0  -13.999    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF126.0  -13.916    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF127.0  -13.833    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF128.0  -13.749    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF129.0  -13.666    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF130.0  -13.583    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF131.0  -13.500    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF132.0  -13.416    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF133.0  -13.333    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF134.0  -13.250    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF135.0  -13.167    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF136.0  -13.084    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF137.0  -13.000    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF138.0  -12.917    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF139.0  -12.834    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF140.0  -12.751    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF141.0  -12.667    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF142.0  -12.584    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF143.0  -12.501    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF144.0  -12.418    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
